"BC_HKB0112_933_T"	"BC_HKB0775_1470_T"	"HKB0036_3006_T"	"HKB0210_3006_T"	"BC_HKB0187_1214_T"	"BC_HKB0759_1488_T"	"BC_HKB2107_1620_T"	"BC_HKB2116_1671_T"	"HKB0004_3006_T"	"HKB0019_3006_T"	"HKB0092_3000_T"	"HKB0161_3001_T"	"HKB0211_3002_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0892_1559_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"BC_HKB2109_1628_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0215_1134_T"	"BC_HKB0582_1333_T"	"BC_HKB0730_1441_T"	"BC_HKB0754_1481_T"	"BC_HKB0757_1496_T"	"BC_HKB0763_1511_T"	"BC_HKB0772_1460_T"	"BC_HKB0828_M1542_T"	"BC_HKB0830_1541_T"	"BC_HKB0838_1563_T"	"BC_HKB0874_1537_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0915_M1647_T"	"BC_HKB0921_1575_T"	"BC_HKB1365_M1665_T"	"BC_HKB1366_1663_T"	"BC_HKB2106_1619_T"	"BC_HKB2113_1657_T"	"BC_HKB2118_1689_T"	"BC_HKB2119_1690_T"	"BC_HKB2128_1735_T"	"HKB0086_3006_T"	"HKB0157_3006_T"
"DUSP21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97452931248388	0	0	0	0	0	0	0	0	0
"FLJ43859"	0	0	0.070389327891398	0	0	0	0	0	0.0426443374084937	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575312330687437	0	0	0	0	0	0	0	0	0	0	0
"SNORA41"	0	0	4.56620629346551	5.03342300153745	7.64255717959562	7.13391281423904	0	0	3.14404636961671	3.44625622988956	4.25927248703759	4.44691786486603	3.85897561429202	5.10894256866079	0	0	0	0	0	0	0	0	0	0	0	6.09191135749191	4.35402893805439	3.73876783680019	3.605257262939	4.18428029441938	0	3.4931349223055	5.18428029441938	2.77188557851537	5.07210580048042	4.33771109212829	0	0	3.61235249875266	2.4594316186373	5.69682846458871	0	3.43162295971329	0	3.60169651648096	4.06953032516231	3.49569516262407	3.36457243229586	4.63749432520631	4.02680005934372	3.12598165385472	4.45154083301783	0	0	4.47508488294878	0	2.95046841415012	4.93640237772506	2.72246602447109	4.69376571221778	4.80374366850523	3.99276843076892	4.74631276642546	0	0	0	0	0	0	0	0	3.27649666564036	0	3.05484847699562	3.51727569320958	0	6.00764403087801	5.92029330021101	0	6.03979640762002	0	0	0	0	0	0	5.35402893805439	6.15055967657538	0	0	0	0	0	0	0	0	0	7.78443854716401	0	2.71369581484336	0
"LOC200726"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDX4"	0	0	0	0	0	0	0	0	0	0	0	0.214124805352847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31034012061215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT72"	0	0	0	0.0426443374084937	0	0	0	0	0.298658315564515	0.27500704749987	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0.0840642647884745	0.0426443374084937	0	0.545968369105292	0.176322772640463	0	0	0.0840642647884745	0	0	0.263034405833794	0.070389327891398	0.0565835283663675	0	0	0	0	0	0	0	0.0285691521967709	0.0426443374084937	0.0285691521967709	0.0426443374084937	0.16349873228288	0.356143810225275	0	0	0	0.298658315564515	0	0	0.0976107966264223	0	0	0	0	0	0.16349873228288	0	0.0426443374084937	0	0.0840642647884745	0	0.0976107966264223	0.933572638261024	0	0	0.495695162624069	0	0	0	0	0	0	0	0.863938450423971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709
"CRX"	0	0	0.0426443374084937	0.0143552929770701	0	0	0	0	0	0	0	0	0.31034012061215	0.321928094887362	0	0	0	0.367371065648529	0	0	0	0	0	0	0	0	0.0143552929770701	0	0.0285691521967709	0	0	0.0143552929770701	0.0143552929770701	0	0	0	0.0143552929770701	0	0	0	0	0.333423733725192	0	0.0143552929770701	0.0143552929770701	0	0	0	0	0	0.0426443374084937	0.0143552929770701	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DMRTB1"	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0.815575428862573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT74"	0	0	0	0	0	0	0	0	0.0565835283663675	0.0143552929770701	0	0.0565835283663675	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0.0426443374084937	0	0	0.0143552929770701	0	0	0	0.0426443374084937	0	0.0565835283663675	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0.0426443374084937	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709
"C14orf86"	0	0	0	0.137503523749935	0	0	0	0	0	0	0.263034405833794	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0.0285691521967709	0	0	0	0	0.0285691521967709	0	0	0	0	0	0.0565835283663675	0	0	0	0.0426443374084937	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LILRP2"	0	0	0.0285691521967709	0.070389327891398	0	0	0	2	0	0	0.0285691521967709	0	0.070389327891398	0	0	0	0	0	0	0.604071323668861	0	0	0	0	0	0.37851162325373	0	0	0.0285691521967709	0	0.111031312388744	0	0.0840642647884745	0.0565835283663675	0	0.0143552929770701	0	0	0	0.0426443374084937	0	0.124328135002202	0.0285691521967709	0	0	0	0	0	0	0.0285691521967709	0.0840642647884745	0	0.0285691521967709	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0.0426443374084937	0.0565835283663675	0.333423733725192	0.0285691521967709	0.263034405833794	0	0	0.0976107966264223	0.0285691521967709	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0.37851162325373	0	0	0	0	0	0	0	0	0	0.286881147788162	0	0
"CNGB1"	0	0	0.0143552929770701	0.0143552929770701	0	0	0	0	0.214124805352847	0.070389327891398	0.27500704749987	0.0565835283663675	0.189033824390017	0	0	0	0	0.748461233004036	0	0	0	0	0.910732661902913	0	0	0	0.070389327891398	0	0.0143552929770701	0	0.505890929729957	0.6959938131099	0	0	0.0565835283663675	0.0285691521967709	0.0565835283663675	0.0143552929770701	0	0.0143552929770701	0.0285691521967709	0.0285691521967709	0.0143552929770701	0.0143552929770701	0.807354922057604	0	0.0143552929770701	0	0	0.0143552929770701	0	0.111031312388744	0.0976107966264223	0	0.0143552929770701	0.0143552929770701	0	0.27500704749987	0	0.0143552929770701	0	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.150559676575381	0.432959407276106	0.0143552929770701	0	0.0840642647884745	0.0285691521967709	0	0	0	0	0.871843648509318	0	0	0	0	0	0	0	0	0.27500704749987	0	0	0	0	0	0	0.464668267003444	0	0	0	0	0.887525270741587	0	0	0	0.0143552929770701
"LOC286135"	0.622930350920177	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0.124328135002202	0.84799690655495	0	1.03562390973072	0	0.545968369105292	0.855989697308481	1	0	0	0	0	1.0703893278914	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526068811667588	0	0	0	0.650764559116902	0	0.454175893185802	0	0	0	0	0	0	0.632268215499513	0	0	0
"LOC729467"	0	0	0	0	0	0	0	0	0	0	0	0	0.422233000683048	0	0	1.62760683812965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0.150559676575381	0.0565835283663675	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27500704749987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23878685958712	0	0	1.89141918684608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM117A"	2.41142624572647	3.57893871309339	2.60880924267552	4.62935662007961	2.32768736417605	3.23112515787905	0.7311832415722	1.43829285157915	1.87578006306849	2.19534759832222	1.97085365434048	3.73768676140986	2.31034012061215	2.38404980679516	3.48155728070859	3.07382023329167	2.30451104180995	2.95791459863299	2.79285535236249	2.114367024952	2.74200621086674	3.52356195605701	1.56071495447448	3.97361127551947	0.799087306074004	2.58976348698498	2.65535182861255	3.20476675065461	2.76128527336162	2.37573453858316	3.60644222813161	2.07724299893246	3.66562016406638	2.58736499093646	2.87578006306849	3.4594316186373	2.65535182861255	2.4276061727819	2.89917563048051	3.53106949272595	3.28243980500639	2.65992455840238	3.05484847699562	3.41006969175638	3.43162295971329	4.24564777363675	2.75915583380027	3.03738222200308	2.93168305705981	2.52606881166759	3.5933537709803	2.26303440583379	2.03562390973072	3.02147972741045	3.799087306074	2.8073549220576	3.5298209465287	2.26303440583379	3.79597469420667	3.31324585178756	3.41142624572647	3.20476675065461	3.31469652565629	2.81966818349646	2.74631276642546	2.10433665981474	2.46466826700344	3.38543103719352	2.23266075679027	2.09085343045111	1.91073266190291	2.8011586560937	3.56315813040281	3.25247621413522	2.86789646399265	2.31324585178756	1.799087306074	1.76977173924945	2.54101915313356	1.43829285157915	2.02856915219677	1.74416109557041	3.03913839390696	1.57531233068744	1.4594316186373	4.5090623863619	2.82171021503467	2.34198574722862	2.46727948045998	2.24488705912353	1.78659636189081	1.83995958748953	2.79701297783614	1.71808758396052	3.99186193055632	3.29865831556452	3.13093086982645	2.81966818349646	0.650764559116902	3.21412480535285	2.19849415363908
"KLHL3"	0.903038270112912	2.94860084749336	1.0496307677246	0.895302621333307	3.01256867350306	0	2.17951105027151	1.62760683812965	0.807354922057604	0.790772037862	1.56071495447448	2.11769504266975	1.46466826700344	2.53356334821451	2.89141918684608	1.20789285164133	0.545968369105292	2.36737106564853	1.29865831556452	0.948600847493356	1.97819562968165	3.12763327972587	2.54349588342577	0.443606651475615	2.58736499093646	0.584962500721156	1.65992455840238	2.05311133645956	2.07724299893246	0.613531652917927	1.799087306074	0.6959938131099	1.28688114778816	0.704871964456353	2.05658352836637	2.16349873228288	1.87578006306849	1.0071955014042	1.71808758396052	1.68257329734758	2.12101540096137	1.19534759832222	0.765534746362977	1.34482849699744	1.36737106564853	1.32192809488736	2.08406426478847	1.57046293102604	2.03210084316702	1.32192809488736	2.18269229751619	1.15055967657538	1.09085343045111	2.75488750216347	2.52105073690096	1.38404980679516	1.40053792958373	1.84799690655495	2.99095486039699	1.34482849699744	2.63923216324928	1.36737106564853	1.6959938131099	1.63691458035588	1.7311832415722	0.992768430768924	1.01435529297707	1.51601514700366	1.47508488294878	0.454175893185802	1.58496250072116	2.14404636961671	2.16349873228288	2.08065766334523	1.17632277264046	1.33342373372519	2.06695024392463	0.505890929729957	1.1243281350022	0.37851162325373	1.25701061820602	2.03913839390696	0.475084882948783	0.895302621333307	0.263034405833794	1.36176835941915	0.918386234446348	1.48542682717024	2.34482849699744	0.773996325111173	2.08406426478847	0.238786859587116	0.214124805352847	1.58014548442338	1.02856915219677	1.790772037862	0.344828496997441	0.333423733725192	0	1.33913738491959	1.18269229751619
"HHLA1"	0.722466024471091	0	0.0143552929770701	0.189033824390017	0	0	0.37851162325373	0	0.0285691521967709	0	0.0143552929770701	0	0.16349873228288	0.31034012061215	0	0	0	0.356143810225275	0	0	0	0	0	0.765534746362977	0	0.432959407276106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0.356143810225275	0	0.286881147788162	0.475084882948783	0	0	0.807354922057604	0	0	0	0	0.389566811762726	0	0	0	0	0	0.604071323668861	0.622930350920177	0.650764559116902	0	0	0	0	0
"C7orf34"	3.73984810269933	0	0	0	0	1.58496250072116	2.47248777146274	3.66448284036468	0	0	0.20163386116965	0	0	0	1.56559717585423	3.69710657447697	0	3.94860084749336	0	0	2.27500704749987	0	0	1.38404980679516	0	1.83995958748953	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0.263034405833794	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	2.83187724119167	0	1.30451104180995	5.22458056608344	0	5.61176256006487	2.93545974780529	3.44757919654888	0	1.40053792958373	0	4.20867331962947	2.19849415363908	0	2.17312743348066	2.89336221076387	1.56559717585423	2.83187724119167	0	0	5.70265754339091	1.54596836910529	0	0
"KRTAP5.8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2BFM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98550043030488	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0.584962500721156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POM121L2"	0	0	0.0143552929770701	0	0	0	0	0	0.0285691521967709	0.0565835283663675	0.0143552929770701	0	0.214124805352847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0.0285691521967709	0.0285691521967709	0	0	0	0	0	0.0565835283663675	0	0	0	0	0.0143552929770701	0.0976107966264223	0	0.0143552929770701	0	0	0	0	0.0565835283663675	0	0.124328135002202	0	0	0	0.0285691521967709	0	0	0	0.0143552929770701	0	0	0	0	0.0565835283663675	0	0	0	0.0143552929770701	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0
"HTR5A"	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545968369105292	0	0	0	0	0	0	0	0	0
"C3orf24"	1.4541758931858	1.33913738491959	0.150559676575381	0	3.84799690655495	1.94110631094643	2.88166461932035	2.3533232911629	0.321928094887362	0.0565835283663675	0.948600847493356	0.0840642647884745	0.704871964456353	2.22342254993494	0	3.60050764534579	1.35614381022528	2.43028527297778	1.82374936030827	3.84398384404833	1.23878685958712	4.70818723602071	1.47508488294878	0	1.48026512205446	3.20945336562895	0	0	0.070389327891398	0	0	0	0	0.0565835283663675	0	0	0.070389327891398	0.321928094887362	0	0	0	0.516015147003665	0.0565835283663675	1.36737106564853	0.16349873228288	0	0.070389327891398	0.0565835283663675	0.0840642647884745	0.0565835283663675	0.0976107966264223	0	0.176322772640463	0	0	1.03562390973072	0	0.659924558402378	0.0840642647884745	0	0	0	0	0.070389327891398	0.0840642647884745	0.070389327891398	0.27500704749987	0	0	0.189033824390017	0.464668267003444	0.782408564927373	0.111031312388744	0	0.137503523749935	0.622930350920177	3.73984810269933	1.9560566524124	2.15704371014558	0	1.50589092972996	0	3.88557436437143	1.55090066464752	2.54843662469604	0	2.17951105027151	2.54596836910529	1.47508488294878	1.82374936030827	5.44194819050336	2.23572705983806	0	3.21101219348551	2.75274859140713	1.33913738491959	0	0	1.89530262133331	0.0840642647884745	0
"CD247"	3.06177619758669	3.25550073314839	2.52606881166759	2.93168305705981	0	1.37295209791183	0.910732661902913	1.09761079662642	1.76553474636298	1.31614574229336	1.0703893278914	1.87184364850932	1.4541758931858	2.99276843076892	2.06004738366994	4.73930807086039	1.4594316186373	2.56315813040281	3.83086375675176	1.87184364850932	2.0036022366802	4.01435529297707	3.58736499093646	5.25361115194717	3.78659636189081	1.34482849699744	2.20789285164133	2.01435529297707	1.31614574229336	2.24792751344359	4.67412163263239	3.01256867350306	1.51096191927738	3.24336442569366	2.60407132366886	3.48026512205446	2.04614178164472	2.16671544496642	1.76128527336162	3.03210084316702	2.75915583380027	2.67807190511264	3.27649666564036	2.63459326844576	2.70929063572336	2.51349074558812	2.26603689399532	1.84799690655495	2.69376571221778	2.38128337250378	2.43295940727611	2.01435529297707	2.37573453858316	2.43295940727611	1.84799690655495	2.4905701304462	4.11852584893567	1.01435529297707	3.33199177823206	3.1906148602095	2.49825086752783	2.67581593117227	3.31903981556254	3.18586654531133	2.70708299177171	2.87184364850932	3.58496250072116	4.21412480535285	3.13586316536868	4.33485426933163	2.75274859140713	2.18269229751619	4.96301164759943	2.05311133645956	3.32337006906127	3.09761079662642	1.79493566280354	0	0	0.650764559116902	0	0.831877241191673	0	0	0	2.31903981556254	0.739848102699327	2.35614381022528	0	0	0	3.72900887033786	1.24488705912353	2.6667565918848	1.75702324650746	2.59693514238723	1.799087306074	0.985500430304885	1.70929063572336	0.799087306074004	1.87578006306849
"C12orf77"	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0.070389327891398	0	0.0285691521967709	0	0	0	0	0.0426443374084937	0.0426443374084937	0	0	0.0426443374084937	0.0285691521967709	0	0	0	0	0.0565835283663675	0.0285691521967709	0	0	0.111031312388744	0	0	0.0565835283663675	0	0	0	0	0	0	0.0426443374084937	0	0	0.0426443374084937	0	0.0565835283663675	0	0	0	0	0.137503523749935	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CYP2U1"	3.28835856219366	2.84599177066457	2.15704371014558	2.7311832415722	1.26303440583379	0.604071323668861	3.85299758761332	1.08406426478847	2.35614381022528	2.10768786931437	2.04264433740849	2.07382023329167	2.7158933705476	2.09085343045111	1.36737106564853	1.15704371014558	1.71808758396052	2.25398926623079	2.26002565596146	1.11103131238874	2.15380533607904	1.82374936030827	1.11103131238874	0.925999418556223	1.54596836910529	1.23266075679027	2.1243281350022	2.69821847822441	2.30158764660319	1.46466826700344	2.47508488294878	1.41683974191283	2.18903382439002	1.50080205305716	2.85399564717639	2.36737106564853	2.39231742277876	1.87184364850932	1.94860084749336	1.94860084749336	3.22958792274065	1.94110631094643	1.64616265715789	2.54843662469604	1.59454854955035	2.60169651648096	1.84799690655495	2.58976348698498	2.60407132366886	2.11769504266975	2.8073549220576	1.35049724708413	2.03913839390696	2.33342373372519	2.93168305705981	2.25398926623079	2.04264433740849	1.97819562968165	2.89336221076387	2.01792190799726	3.01077983875324	2.3533232911629	2.28095631383106	2.97085365434048	3.03210084316702	1.37295209791183	1.86789646399265	2.47248777146274	2.48026512205446	1.83187724119167	2.55581615506164	2.90110824301451	2.29572302453997	2.51349074558812	2.47767732756531	2.10768786931437	2.74416109557041	1.03562390973072	1.63226821549951	0.799087306074004	3.00898878322725	3.58736499093646	1.55090066464752	2.44095219802964	2.02147972741045	1.97452931248388	1.58014548442338	1.1243281350022	2.65535182861255	0.55581615506164	1.91456452349394	0.748461233004036	1.59454854955035	2.64154602908752	1.84799690655495	2.10097764772482	2.95419631038688	1.6959938131099	2.57773093149008	2.03562390973072	1.9297909977186
"CREG2"	0	0	0.111031312388744	0.111031312388744	0	0	0	0	0.150559676575381	0.124328135002202	0.0976107966264223	0.0976107966264223	0.0976107966264223	0	0	0	0	0	0.722466024471091	0.84799690655495	0.748461233004036	0	0	0	0	0	0.070389327891398	0.0426443374084937	0.070389327891398	0.0976107966264223	0.0285691521967709	0.0285691521967709	0.0143552929770701	0	0.0840642647884745	0	0	0.0143552929770701	0.20163386116965	0.0143552929770701	0.111031312388744	0.0143552929770701	0	0.070389327891398	0.0565835283663675	0.0143552929770701	0.0143552929770701	0.0285691521967709	0.176322772640463	0.0143552929770701	0.070389327891398	0.0426443374084937	0.0143552929770701	0.0143552929770701	0.070389327891398	0	0.0285691521967709	0.0840642647884745	0.137503523749935	0.137503523749935	0.070389327891398	0.0285691521967709	0	0.0285691521967709	0.070389327891398	0.0143552929770701	0	0	0.0426443374084937	0	0.070389327891398	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0.0285691521967709	0.454175893185802	0	0	0	0	0	0	0	0	0	0	0	0	1.19534759832222	0	0.389566811762726	1.08406426478847	0.75702324650746	0.443606651475615	0.815575428862573	0	0	0.422233000683048	0.176322772640463	0.0143552929770701
"PKD1L1"	0.400537929583729	2.15055967657538	0.189033824390017	0.150559676575381	0	0	0.669026765509631	0	0.31034012061215	0.0840642647884745	1.14404636961671	0.505890929729957	0.333423733725192	0	1.03562390973072	0	0.20163386116965	0	0.687060688339892	0.678071905112638	0	0	0.20163386116965	0	0.992768430768924	0	0.150559676575381	0.495695162624069	0.321928094887362	0.321928094887362	0.53605290024021	0.176322772640463	0.298658315564515	0.176322772640463	0.575312330687437	0.505890929729957	0.622930350920177	0.286881147788162	0.367371065648529	0.475084882948783	0.356143810225275	0.150559676575381	0.687060688339892	0.263034405833794	0.189033824390017	0.176322772640463	0.31034012061215	0.464668267003444	0.910732661902913	0.389566811762726	0.807354922057604	0.286881147788162	0.214124805352847	1.32192809488736	0.411426245726465	0.20163386116965	0.584962500721156	0.189033824390017	0.55581615506164	0.37851162325373	0.485426827170242	0.443606651475615	0.545968369105292	0.356143810225275	0.333423733725192	0.31034012061215	0.214124805352847	0.641546029087524	0.22650852980868	0.124328135002202	0.344828496997441	0.475084882948783	0.505890929729957	0.584962500721156	0.55581615506164	2.35049724708413	0	0	0	1.39506279951758	0	0	0.16349873228288	0.20163386116965	0.176322772640463	0.22650852980868	0.16349873228288	0.20163386116965	0.422233000683048	0	0.286881147788162	0	0	2.02856915219677	0.344828496997441	0	0	0	0	0.344828496997441	0.189033824390017
"KLK1"	1.62760683812965	0	0.286881147788162	0.910732661902913	0	0	0	0	0.84799690655495	0.137503523749935	0	2.70043971814109	2.0036022366802	0	0	0	1.52606881166759	0.790772037862	0	0	0	0	0	1.25096157353322	0	0	0.27500704749987	0.432959407276106	0.0840642647884745	0	0.516015147003665	0.070389327891398	0.400537929583729	0.0565835283663675	0.189033824390017	0.748461233004036	0.485426827170242	1.55090066464752	0	0.37851162325373	0.20163386116965	0.150559676575381	0.263034405833794	0.298658315564515	0.189033824390017	0.150559676575381	0.669026765509631	0.250961573533219	0.263034405833794	0.411426245726465	0.214124805352847	0.0840642647884745	1.13750352374994	0.475084882948783	0.389566811762726	0.286881147788162	0.454175893185802	1.74846123300404	0.622930350920177	0.722466024471091	0	0.189033824390017	0.0976107966264223	0.298658315564515	0.20163386116965	0.622930350920177	0	0.807354922057604	0.20163386116965	0	0	0.150559676575381	0.124328135002202	0.464668267003444	0.16349873228288	0.20163386116965	0	0	0	0	0	1.4276061727819	0	2.7311832415722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722466024471091
"FAM169B"	0	0	0.0426443374084937	0.0143552929770701	0	0	0	0	0	0	0	0	0.443606651475615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0.0143552929770701	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
