"BC_HKB0112_933_T"	"BC_HKB0775_1470_T"	"HKB0036_3006_T"	"HKB0210_3006_T"	"BC_HKB0187_1214_T"	"BC_HKB0759_1488_T"	"BC_HKB2107_1620_T"	"BC_HKB2116_1671_T"	"HKB0004_3006_T"	"HKB0019_3006_T"	"HKB0092_3000_T"	"HKB0161_3001_T"	"HKB0211_3002_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0892_1559_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"BC_HKB2109_1628_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0215_1134_T"	"BC_HKB0582_1333_T"	"BC_HKB0730_1441_T"	"BC_HKB0754_1481_T"	"BC_HKB0757_1496_T"	"BC_HKB0763_1511_T"	"BC_HKB0772_1460_T"	"BC_HKB0828_M1542_T"	"BC_HKB0830_1541_T"	"BC_HKB0838_1563_T"	"BC_HKB0874_1537_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0915_M1647_T"	"BC_HKB0921_1575_T"	"BC_HKB1365_M1665_T"	"BC_HKB1366_1663_T"	"BC_HKB2106_1619_T"	"BC_HKB2113_1657_T"	"BC_HKB2118_1689_T"	"BC_HKB2119_1690_T"	"BC_HKB2128_1735_T"	"HKB0086_3006_T"	"HKB0157_3006_T"
"CLDN22"	5.65420637794429	6.43229133824778	0.0143552929770701	1.02147972741045	6.42475416700455	5.95396359887078	6.76659516172927	4.40599235967584	0.0976107966264223	0	0.0285691521967709	0.0285691521967709	0.16349873228288	5.0703893278914	4.96716860753263	4.61353165291793	5.29682445864937	6.09761079662642	4.06781078378962	4.02147972741045	5.04875931191986	3.99276843076892	4.65706830120158	2.21101219348551	5.06608919045777	3.99457972421575	0.0565835283663675	0	0.0976107966264223	0.0143552929770701	0	0.0565835283663675	0	0.0285691521967709	0.0285691521967709	0	0.0426443374084937	0	0.0285691521967709	0.0426443374084937	0.0565835283663675	0.0285691521967709	0.0143552929770701	0.0143552929770701	0	0.0426443374084937	0	0.0426443374084937	0.0285691521967709	0.0143552929770701	0.0285691521967709	0	0	0	0.0285691521967709	0.0285691521967709	0.0285691521967709	0	0.0285691521967709	0	0	0	0	0.070389327891398	0	0.0840642647884745	0.0285691521967709	0	0	0.485426827170242	0	0	0.070389327891398	0	0	0.0285691521967709	3.22032995487956	6.35367615775164	4.76553474636298	4.93781516880342	6.56071495447448	5.36876834909033	5.42525787199921	5.87921563716567	3.79701297783614	5.94673086014031	3.55336050333533	5.73822740036724	6.09676785471469	7.03573386705259	6.00584907569669	5.51664555778096	4.47378691161437	4.96532254836725	5.87798958538721	3.6915341649192	6.99480597608493	5.01480160235136	7.62680414493225	0	0
"HIST1H2BA"	0	0	0	0	0	0	0	0	0	1.05658352836637	0	0	0.27500704749987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263034405833794	0	0	0	0	0	0	0.464668267003444	0	0	0	2.08406426478847	0	0.75702324650746	0	0	0	0	0.22650852980868	0	0.214124805352847	0.632268215499513	0	0.545968369105292	0	0	0	0	0	0	1.38404980679516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC6A5"	0	0	0	0.250961573533219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR8B12"	0	4.52919626799939	0	0	0	0	0	0	0	0	0	0	0.389566811762726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99819550315325	0	0	0	0	0	0	0	0	0	0	1.48026512205446	0	2.7311832415722	0	0	0	0	0	0	0	0	0	0	0
"OR2T12"	2.90303827011291	2.09085343045111	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35614381022528	0	0	1.66448284036468	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41683974191283	0	0	0	0	0	0	0	1.21412480535285	0	2.43295940727611	1.33913738491959	0	0	0	0	0	0
"NKX2.4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6B1"	3.64270157183323	2.59931779369823	0	0	0	0	1.46466826700344	0	0	0	0	0	0	2.32768736417605	2.83794324189103	0	0	3.17791779219584	1.25701061820602	2.16992500144231	2.80322703643493	0	0	1.18903382439002	2.790772037862	2.3305584000308	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37295209791183	2.87970576628229	1.09761079662642	0	0	0	0	1.34482849699744	2.31903981556254	0	0	2.29865831556452	0	0	1.23878685958712	1.16349873228288	2.01435529297707	0	1.42223300068305	0	0	0	0	0
"NPBWR2"	0	0	0	0	0	0	0	2.85798099512757	0.0565835283663675	0	0	0	0	0	1.27500704749987	0	0	0	0	0	1.25096157353322	0	0	0	0	0.948600847493356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31614574229336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C3orf79"	0	2.88166461932035	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79493566280354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4E2"	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82374936030827	0	0	0.070389327891398	0	0	0	0	0	0.31034012061215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
