"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"HKB0004_3006_T"	0.00102079511313286	0.00220946531439548	0.0426765629828252	0.0473783314576217	8.33877002614424e-15	0.0285588055141545	0.197405480981375	0.0280314699834258
"HKB0005_3001_T"	1.23649532094355e-14	1.23649532094355e-14	0.0699135463963545	0.0229535950884658	1.23649532094355e-14	0.0248605712859666	0.168559897000985	0.0347168411218993
"HKB0006_3006_T"	0.00338047846458261	0.00232737409160469	1.45378466899726e-14	0.00038719876138853	1.45378466899726e-14	1.45378466899726e-14	1.45378466899726e-14	0.0382979889311376
"HKB0007_3005_T"	0.167832609228716	0.0209456417066985	0.241836439334339	1.23093906211854e-14	1.23093906211854e-14	0.00370690747048163	0.0482194469379998	0.179768179748643
"HKB0008_3006_T"	0.152227702042401	0.122068281655836	0.00811360255053335	1.22267525164022e-14	1.22267525164022e-14	0.159571731161157	0.0260795827505326	0.147662280145016
"HKB0016_3006_T"	0.148573465587984	0.0498442362641213	0.039788297480006	1.41047205982543e-14	1.41047205982543e-14	0.0352786797203699	0.0199452642221728	0.14611685499244
"HKB0019_3006_T"	1.31603566099448e-14	0.00769517297907556	0.0827763253753839	0.058596908660027	1.31603566099448e-14	0.00424300957710584	0.147484717815685	0.151994902962152
"HKB0023_3006_T"	0.0198574397853938	0.00473039990758657	1.51644866766695e-14	0.0352733273268338	1.51644866766695e-14	0.107701824704126	0.18546148561222	0.275607963223994
"HKB0031_3001_T"	0.00155741013798634	0.119151387102884	1.43171970225324e-14	0.0151803429293277	0.00833896115368636	0.172830153225486	0.0256701931927782	0.0122272114704518
"HKB0033_3006_T"	0.000989016989355294	0.116954837894665	2.09498715201275e-14	0.0104358899527384	0.0156746786384531	2.09498715201275e-14	0.0600584238215881	0.179634117790837
"HKB0035_3006_T"	0.130317367222506	1.32009918575107e-14	0.0882108083404919	0.0105799224521986	1.32009918575107e-14	0.0320962387282252	0.00775796015094565	0.0371564464943167
"HKB0036_3006_T"	0.00441259991624595	0.00640741691585662	0.0881818190182776	0.047612808475405	1.02927969680611e-14	0.00710035908952887	0.175346577624073	0.0832454654039251
"HKB0038_3006_T"	0.0267443546605036	0.0305205932073926	0.00813591840965567	0.0242140578759084	1.44679749289393e-14	0.0239997019602643	0.147936434503236	0.319924101238117
"HKB0040_3002_T"	0.466063575366115	0.0719154067494321	0.155909627173767	0.045162594429272	6.36751803646965e-15	0.0632475813373016	0.0121551847454034	0.00661326056183706
"HKB0044_3006_T"	0.137496350515588	7.72458000036019e-15	0.262872163497399	0.00117399294752114	7.72458000036019e-15	7.47002723316449e-06	0.0997601997795809	0.0171218692003854
"HKB0049_3006_T"	0.112115085475872	0.176336902593098	1.84546425326573e-14	0.0119010561364873	0.0441386551161061	0.0166462457845719	0.0538445986014192	0.270745523966969
"HKB0050_3005_T"	0.316274808621309	2.61072665980901e-05	0.241972401970168	1.20386797394029e-14	1.20386797394029e-14	0.0954009815326696	0.0226590292667486	0.0105126698612437
"HKB0052_3000_T"	0.273281442459744	0.03317745287114	0.0333706647205226	0.00998935206138273	0.117628967747614	0.0787318575079995	0.0182625312374948	0.10055255936983
"HKB0054_3000_T"	0.496118926995147	0.057634913899243	0.0920049993124035	1.31177094995274e-05	0.0233025341550712	0.0321309711359937	0.0660658675449712	0.0254715346639451
"HKB0056_3002_T"	0.0396852259077997	0.0152170971588662	0.264240208573765	0.148945506946905	9.57890843162448e-15	9.57890843162448e-15	0.0411563428375861	0.0462657581535899
"HKB0064_3004_T"	0.0275642801974517	0.411472705172496	1.42317341229343e-14	0.0374465303262494	0.015602614340186	0.0189447288060083	0.0290379030834228	0.0338019013075948
"HKB0065_3006_T"	0.0580267293114907	9.8279296449285e-15	0.136907581600496	0.0773664864627943	9.8279296449285e-15	0.0370866513436414	0.191020147038882	0.0566458657968563
"HKB0067_3006_T"	0.163427901708447	0.194876359958168	0.0420730632356411	0.0126681727161782	1.66341369211415e-14	0.0550497856696962	1.66341369211415e-14	0.0869330730188559
"HKB0069_3000_T"	0.326425935336683	0.0208954747709789	0.200398419327839	0.00468821212844145	1.00701613851177e-14	0.0541646377232003	0.0382586639087328	0.0514370604438186
"HKB0070_3002_T"	0.0507154606370151	0.0969873541998406	1.76489629412174e-14	0.000893778180807135	1.76489629412174e-14	0.017954829364067	0.0438996095475387	1.76489629412174e-14
"HKB0074_3000_T"	0.336897420355019	0.00942459612139883	0.0581427509223236	3.51763768134152e-09	0.0677150475201061	0.139226147385716	0.0542964817685631	0.0320997926529156
"HKB0078_3000_T"	0.0207675139841977	0.0048515339122548	1.63265435728278e-14	0.0115474297370322	1.63265435728278e-14	0.04255102973942	0.0682383267192133	0.07811627683641
"HKB0079_3006_T"	0.189015538186703	0.0420445218945105	0.194580799477339	0.0399871191234548	9.18366216375976e-15	0.0250573521959639	0.0993731525749171	0.0460269473861928
"HKB0080_3006_T"	1.33229043414164e-14	0.00684378005318863	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	0.010695493639987
