"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"HKB0004_3006_T"	0.0135273358310281	8.78760689139647e-15	0.0218777357859142	8.78760689139647e-15	0.037479254235546	0.0287443714840264	6.72929943264047e-09
"HKB0005_3001_T"	0.00281228100979791	1.48037303585201e-05	0.00832882894979539	9.41333634554196e-15	0.0778088022787834	0.0821811295115354	0.0519169028571501
"HKB0006_3006_T"	1.07951845052651e-14	1.07951845052651e-14	0.00384057217480389	1.07951845052651e-14	0.0456339233514033	0.0344402398543803	1.07951845052651e-14
"HKB0007_3005_T"	0.14864152018173	0.0922844243170666	0.0466399293703078	1.11697098503488e-14	0.00941889942570228	0.0591709944034284	0.0405004395491236
"HKB0008_3006_T"	0.103085761994717	0.118894954041761	0.0615482875616632	0.0232139270745015	0.0288403060266891	0.12892620778059	1.29192810201062e-14
"HKB0016_3006_T"	0.0578051311918387	0.142395550789221	0.0207174255483817	1.20221230636803e-14	0.0210302300014701	0.126211361453463	0.113369858156524
"HKB0019_3006_T"	0.0219915693789533	1.18855415882216e-14	0.0194903315810639	1.18855415882216e-14	0.0718099120126799	0.0386066679521574	1.18855415882216e-14
"HKB0023_3006_T"	0.0101301243892632	0.0172642977573012	0.0140892728404162	1.36912951983329e-14	0.106347145268482	0.0918014091246682	0.00534450960213367
"HKB0031_3001_T"	7.16788376875332e-14	0.0210907836934105	0.0242053086072498	1.52226352585795e-14	0.0120931177117052	0.0341422002521736	0.0512483427353802
"HKB0033_3006_T"	0.00110078559723188	0.00544121084518973	1.96691277315569e-14	0.00178080227434312	0.0895220084711649	0.144847509568463	0.0318402072671894
"HKB0035_3006_T"	0.0915282904259269	0.103556096971785	0.110850942312606	1.05077350433201e-14	0.0661355270337977	0.0413230962600531	0.00873512412674417
"HKB0036_3006_T"	0.0313806715083644	8.11114329061343e-15	0.00892049871478056	8.11114329061343e-15	0.0474008773087445	0.0237669728622888	0.034585526950859
"HKB0038_3006_T"	1.66141069728188e-10	0.000474409430450915	1.54771119934048e-14	1.54771119934048e-14	0.0110608445862119	1.54771119934048e-14	0.0864574435275674
"HKB0040_3002_T"	0.26183104531013	0.389982643594114	0.0212235159855138	5.89497114126498e-15	0.0334584412688066	0.0456109096597898	0.0101515760176058
"HKB0044_3006_T"	0.270563379292505	0.0919472169515184	0.100921480044698	8.79078026816237e-15	0.00704233469020672	8.79078026816237e-15	8.79078026816237e-15
"HKB0049_3006_T"	0.0521621608205773	0.0865122650496687	1.61912859805304e-14	0.0286406215693644	0.0339315745970257	0.1497419802188	1.61912859805304e-14
"HKB0050_3005_T"	0.25215197573867	0.268444255533477	0.0239640973268536	1.02170481221971e-14	0.00884891339138891	1.02170481221971e-14	0.0182462866331402
"HKB0052_3000_T"	0.0332644063358607	0.367962484060311	0.0262940222305899	0.0645884053259128	0.00202971889198276	0.0899031539621811	0.0327498971866547
"HKB0054_3000_T"	0.142477405660068	0.40881589874929	0.00182116656686609	0.0156788414751283	0.0299904188988883	0.0234420182632481	0.0159228382881894
"HKB0056_3002_T"	0.140107589597383	0.0210759916106483	8.01407174955958e-05	1.10024045824513e-14	2.57372864481881e-10	0.104648889491772	0.0366505210022613
"HKB0064_3004_T"	0.0261919000383845	0.044845687556952	0.135823406974492	0.0320216355825986	1.55880568391865e-14	0.0608000102527821	7.99560438899358e-06
"HKB0065_3006_T"	0.121860322033107	0.0577553622525689	0.0010699361865423	1.18451346903832e-14	0.0982653109729076	0.0551284103880983	1.18451346903832e-14
"HKB0067_3006_T"	0.105705793398057	0.131643127516368	1.68421169710816e-14	1.68421169710816e-14	0.00563284208079159	0.0735284667941605	0.0617946298325163
"HKB0069_3000_T"	0.206795278855989	0.204040508986574	0.115415950560328	9.25632279972111e-15	0.0279104164105696	0.047101581409913	9.25632279972111e-15
"HKB0070_3002_T"	0.0191644979626011	0.00853274100775073	0.00882903525604616	0.00751693760566902	0.0222300373171181	0.0267945750476864	1.6120953009477e-14
"HKB0074_3000_T"	0.0923853279649946	0.43973417497307	0.00510307759945433	0.0228823338623918	0.129124511780009	0.0237455397790289	0.0747751227315639
"HKB0078_3000_T"	1.30069495804354e-14	0.0186559078348764	1.30069495804354e-14	1.30069495804354e-14	0.0412030352042145	0.133288074462406	0.0716236865890752
"HKB0079_3006_T"	0.254342066522967	0.150894630532306	2.97835531961538e-13	9.37203333573639e-15	0.00821418362667292	0.0184629188407955	0.0466576644099854
"HKB0080_3006_T"	0.0222951935787074	1.25801188013498e-14	0.0499975640792407	1.25801188013498e-14	0.00849750355768201	0.0419178359598831	4.65645028761574e-10
"HKB0082_3006_T"	0.361637456696514	0.103977514689418	0.0505985176273638	1.01531424432734e-14	0.0231002183220734	0.00680458724518387	0.00565723813382655
"HKB0084_3000_T"	0.179417009915799	0.0808459445604507	0.00149848362388022	1.1882898143512e-14	1.1882898143512e-14	0.183732591519948	1.1882898143512e-14
"HKB0086_3006_T"	0.0191349574140996	1.43174115841155e-14	0.0262553374615705	1.43174115841155e-14	1.43174115841155e-14	0.14588673491461	0.0120935519213145
"HKB0088_3000_T"	0.103773566200354	0.0334725272033471	0.0499510406295059	0.0234865206064453	0.0198891822363623	0.134141771378005	8.06558290223623e-11
"HKB0089_3001_T"	0.12433477858875	0.111072876365562	0.118314397578964	1.26608149296354e-14	0.0113284868064248	1.26608149296354e-14	0.102031459636257
"HKB0091_3001_T"	0.19909987183224	0.0801787930860902	0.0379434151760005	8.05850094260986e-15	0.238935310814494	0.0361726748838658	8.05850094260986e-15
"HKB0092_3000_T"	0.000935210159837168	6.4589260409327e-15	0.0135969126712687	6.4589260409327e-15	0.0562126183258439	0.0597295204629157	0.0124662890478986
"HKB0094_3006_T"	0.112288446510381	0.252597200828066	0.0144521617949879	1.07492992244774e-14	1.07492992244774e-14	0.077567185412666	1.07492992244774e-14
"HKB0096_3001_T"	9.99565470338812e-15	9.99565470338812e-15	0.0643467683754219	9.99565470338812e-15	9.99565470338812e-15	0.00565260726079936	0.0291266489217909
"HKB0097_3000_T"	1.60636378934515e-14	0.0556263085497733	1.60636378934515e-14	0.00226324970232366	1.60636378934515e-14	1.60636378934515e-14	1.60636378934515e-14
"HKB0098_3005_T"	0.136858498173472	0.138713442420168	5.69560979016467e-09	1.16668988236828e-14	0.150573960117838	0.034777625018093	0.0298978226294324
"HKB0100_3006_T"	6.39370635173561e-15	0.0128949328305021	0.00449122526527657	6.39370635173561e-15	0.00353712984087421	0.0266388791059648	0.000245685644483508
"HKB0101_3000_T"	0.0472838296950742	0.162917201289843	0.109131115429187	1.54486731686273e-14	0.0091347823985819	0.13260382564013	1.54486731686273e-14
"HKB0102_3006_T"	0.00707304930910178	0.00143819874810213	1.80923469954047e-14	8.89769965094609e-05	0.0531775069828918	0.0562175567657927	0.0693804290669189
"HKB0104_3006_T"	8.60871590823517e-15	0.0263015523223537	0.0550333783304016	8.60871590823517e-15	8.60871590823517e-15	0.0819803648503905	0.0386767454545008
"HKB0106_3006_T"	1.69032550805235e-14	0.00751716972566931	0.111866194274859	1.69032550805235e-14	0.00461579966649659	1.69032550805235e-14	0.0065711733878683
"HKB0108_3000_T"	1.14978066684064e-14	1.14978066684064e-14	0.0122541560399345	1.14978066684064e-14	0.012792156610005	0.00168421638892322	0.0486102745554901
"HKB0109_3006_T"	0.0179654683169058	0.00316158607094319	0.00242386206416504	1.53305411253881e-14	0.012581531863656	0.0173425538106972	1.53305411253881e-14
"HKB0115_3006_T"	0.111701792761859	0.185504954502954	1.35821812151503e-14	1.35821812151503e-14	0.0370955623780709	0.033900355053351	0.00597842410914853
"HKB0120_3000_T"	0.0948527103943249	0.213225558732161	0.103366658172929	0.0775502443438228	0.018152759866933	0.00569419774981927	0.0221546665077069
"HKB0121_3006_T"	0.0921465108749	0.0859613147885483	0.0270193255066469	1.20946620433235e-14	0.00114968222862065	1.20946620433235e-14	0.0206174830436604
"HKB0123_3006_T"	0.00220575575266376	1.30555674445749e-14	0.0451867083463209	1.30555674445749e-14	0.060858749443932	1.30555674445749e-14	6.74282026322143e-12
"HKB0124_3003_T"	0.00477211710093799	0.0104836953404368	0.0217367346125763	0.0096538924428179	1.7138765952303e-14	0.0737914118943914	0.0301467912406742
