"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"HKB0004_3006_T"	0.0084636096976155	0.212145504619007	0.00380497094081637	0.028042707223087	1.52397822902155e-08
"HKB0005_3001_T"	1.1414838395201e-14	0.0952857513613458	1.1414838395201e-14	0.0527375491267912	1.1414838395201e-14
"HKB0006_3006_T"	9.98806478262209e-15	0.117558178268181	9.98806478262209e-15	0.230500805081526	9.98806478262209e-15
"HKB0007_3005_T"	0.192931707210048	0.121362312159936	1.30136039190997e-14	0.0179735522900203	0.416590585370776
"HKB0008_3006_T"	0.0787791877584486	0.1037071086746	0.0682176936525796	0.254763776927514	0.379557212859137
"HKB0016_3006_T"	0.107945607895623	0.14432668464397	1.23038269314194e-14	0.127869056784274	0.383451633740939
"HKB0019_3006_T"	0.00915505603379251	0.111771920144289	0.012311673965775	0.0316435774107873	1.10472626213032e-11
"HKB0023_3006_T"	0.116151911478889	0.0478377317763198	0.0426650312607697	0.16237297102812	0.104658966568406
"HKB0031_3001_T"	0.0513188444861675	0.199219761996719	0.00637520994304607	0.0741539719480634	0.226560537898083
"HKB0033_3006_T"	1.84161882964045e-14	0.0588797197878849	1.84161882964045e-14	0.17282712710696	0.0736655399600605
"HKB0035_3006_T"	0.15258578324317	0.0998960565432906	1.4130701169275e-14	0.128389029245117	0.334542921173862
"HKB0036_3006_T"	1.29002555818788e-14	0.0660607295939426	0.00337746443732682	0.0417658559865318	0.0329288316828309
"HKB0038_3006_T"	1.34903365884925e-14	0.0311480174089537	1.34903365884925e-14	1.93552874671262e-06	3.55898729424726e-07
"HKB0040_3002_T"	0.561010333102855	0.113741776650467	3.70693770199018e-15	0.031160159589403	0.23113956733973
"HKB0044_3006_T"	0.142558161896924	0.0690783429622059	9.89073182040842e-15	0.079545614833308	0.456815451802928
"HKB0049_3006_T"	0.0466728597859001	0.0450214622560662	0.254687370586066	0.100941989241207	0.191338700159995
"HKB0050_3005_T"	0.424143682589489	1.04860258793147e-14	1.04860258793147e-14	0.0130482334531364	0.541737100045911
"HKB0052_3000_T"	0.314575326189429	0.13556393677988	0.119990722843426	0.0585658545199968	0.240112640095662
"HKB0054_3000_T"	0.539868590715185	0.0666303828241217	0.0190971568929466	0.0407255280972936	0.259468359287714
"HKB0056_3002_T"	0.0860227282583522	0.280126930847771	1.22375395845576e-14	0.00552572156255253	0.199053710512158
"HKB0064_3004_T"	0.000394439386117807	0.0408026378257283	0.138230916190133	0.195345752728979	0.267471762316588
"HKB0065_3006_T"	0.0925288215408483	0.0908119381806853	1.36548207006061e-14	0.0126757201414189	0.233907768298759
"HKB0067_3006_T"	0.113386546004721	0.0246498634915995	0.10055495383234	0.0738624778615203	0.42563214798723
"HKB0069_3000_T"	0.570686556522328	0.0529471654396926	7.81148282676649e-15	0.0348974326986393	0.266847180676483
"HKB0070_3002_T"	0.000330321362882374	0.0472524725934868	0.0395669430490858	0.0577092016018086	0.202707026203662
"HKB0074_3000_T"	0.403296901312877	0.041225991353332	0.0808313183146476	0.0517345628821453	0.248490115689131
"HKB0078_3000_T"	1.25375799195612e-14	0.0383634345083843	0.0084144204365354	0.205123465034044	0.000451026772941057
