"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"HKB0004_3006_T"	0.493417568985333	6.78413061933581e-15	0.000764715345832635	0.198659885173075	0.041855344304707	9.38524966767066e-05
"HKB0005_3001_T"	0.307303116120027	7.35063637889501e-15	0.0427515931391634	0.293161271194204	0.0816321579144083	0.00534093497521924
"HKB0006_3006_T"	0.0177937143198571	8.08777745691584e-15	0.00154326155750264	8.08777745691584e-15	0.0930038859001202	0.35845350290809
"HKB0007_3005_T"	0.0791960425310208	9.92215969464816e-15	0.136603963787836	0.275308557446953	0.297632723468547	0.0569025918891295
"HKB0008_3006_T"	0.00984524011974911	1.26715486777811e-14	0.374095561417899	0.0989353122701109	0.296195551528673	0.183461147945003
"HKB0016_3006_T"	1.04866867383111e-14	1.04866867383111e-14	0.148122532818606	0.190888142922158	0.203074244732417	0.183876347464529
"HKB0019_3006_T"	0.34267833260017	8.48305800761374e-15	0.116502807314058	0.238063485208234	0.00270043902079427	8.48305800761374e-15
"HKB0023_3006_T"	0.179166464433796	1.13136855141578e-14	0.387581294996483	0.0285530308392037	0.363124474107055	0.00848275181765329
"HKB0031_3001_T"	1.00663691354217e-14	1.00663691354217e-14	0.012900638937992	0.0473659775281305	0.149446736095237	0.303220771232238
"HKB0033_3006_T"	0.00721565962806122	1.29774858749091e-14	0.296667198393985	1.29774858749091e-14	0.100050322969403	0.384015926612026
"HKB0035_3006_T"	9.11825118936119e-15	9.11825118936119e-15	9.11825118936119e-15	0.0727129505208628	0.032964687448935	0.311800589748257
"HKB0036_3006_T"	0.28128999810682	8.307597620534e-15	0.0913350040112938	0.344189287583646	8.307597620534e-15	0.0276105634504961
"HKB0038_3006_T"	0.167453854357008	1.04922187208009e-14	0.411254425024982	0.155479887837571	0.118004836818913	0.0622329034722049
"HKB0040_3002_T"	0.0755776894357109	7.89698425357946e-15	7.89698425357946e-15	0.725341773761492	0.101205480759413	2.0989202234234e-12
"HKB0044_3006_T"	0.190223059630007	8.52091162316774e-15	8.52091162316774e-15	0.350963403645693	0.18795648842846	8.52091162316774e-15
"HKB0049_3006_T"	0.00310665373043049	0.00567989389198181	0.342788698344397	0.0985449692594756	0.275646936122957	0.196249369988137
"HKB0050_3005_T"	9.56212951175848e-15	9.56212951175848e-15	0.00311311723098133	0.364269016188397	0.0991033249513259	0.0493155303497398
"HKB0052_3000_T"	0.120354217712326	0.0278509229357671	0.280552641922727	0.0620923768256756	0.322752868113875	0.127899518792578
"HKB0054_3000_T"	0.0901175741404756	0.0597459541587468	0.165307359040992	0.353258405200133	0.18643792226611	0.000232567653564939
"HKB0056_3002_T"	0.215313836483607	7.35977798794205e-15	7.35977798794205e-15	0.466841380332845	0.0304101360290534	0.0297923234782785
"HKB0064_3004_T"	0.0333557492299245	0.0881478162637357	0.266492945023216	0.131869236341759	0.221446955391847	0.10110771211652
"HKB0065_3006_T"	0.374822634756184	7.46785426064388e-15	0.111859130348616	0.275916522003151	7.46785426064388e-15	1.87966250057457e-13
"HKB0067_3006_T"	1.19153829886833e-14	1.19153829886833e-14	0.0758953097101585	0.227568675503901	0.247618669706924	0.186687176328729
"HKB0069_3000_T"	0.11957612724373	1.05398896250016e-14	0.0329466263177129	0.554643156639177	0.139892798242735	0.0135107372719357
"HKB0070_3002_T"	0.0715266802206175	1.41216387532854e-13	0.0238279387556126	0.172025707486489	0.319528209061589	0.0823932007623727
"HKB0074_3000_T"	0.210385021855102	0.341755135207008	0.123698651975287	0.0274611665392304	0.232921002798851	0.063253394656661
"HKB0078_3000_T"	0.0234080746663574	1.09538330265438e-14	0.0898029695693289	1.09538330265438e-14	0.170114808508745	0.305401085453149
"HKB0079_3006_T"	0.173728429643742	9.7902939151578e-15	0.0264970615587734	0.51851560612583	0.130366872339621	8.92365539325719e-09
"HKB0080_3006_T"	0.000513218041773956	8.67682171572179e-15	0.0199623825476302	8.67682171572179e-15	0.17134041082617	0.23662318286402
"HKB0082_3006_T"	0.0678979735627767	8.45051970667412e-15	0.00836514289231021	0.574541270001892	0.122279337875215	0.0108293982892223
"HKB0084_3000_T"	0.294466817738512	8.05287542580235e-15	0.111267011773932	0.349520273863285	8.05287542580235e-15	0.0149778817379079
"HKB0086_3006_T"	0.0589653651858456	1.23890211246089e-14	0.342213100152587	0.0515895799127571	0.278333970185005	0.131977312399319
"HKB0088_3000_T"	0.108602139833997	1.12050825267403e-14	0.327303974622174	0.163161839702761	0.302031172507028	0.026798174158478
"HKB0089_3001_T"	0.0701426436753426	2.93215596984689e-09	0.0232650991941031	0.181451238993229	0.24884203669957	0.173953069804461
"HKB0091_3001_T"	0.209153018929488	8.20170294201339e-15	0.0544804273083749	0.416893744634396	8.20170294201339e-15	0.0785714722740532
"HKB0092_3000_T"	0.196829400326803	9.89495035554178e-15	0.0296431125794735	0.107965773990344	0.310927227589111	0.138193888285376
"HKB0094_3006_T"	0.0195649751610035	1.15865190795339e-14	0.00248539016193702	0.0259027087217887	0.251111058006659	0.2030994958167
