"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"HKB0004_3006_T"	0.0656326705414714	0.0960829992978636	0.0741748752354084	1.25983154235208e-14	2.58939707396874e-13	0.122782985448745
"HKB0005_3001_T"	0.0196586882875072	0.0957683984112899	0.0430674392646098	1.10647732257831e-14	0.0782490722402196	0.187115606697848
"HKB0006_3006_T"	1.16517560546708e-14	0.06023487041277	0.431687105908401	1.16517560546708e-14	0.00754874715785334	2.08801441489113e-06
"HKB0007_3005_T"	1.35897941164384e-14	0.090280392222976	0.129060787486804	0.104876079319789	0.29297678129923	0.0658230595920846
"HKB0008_3006_T"	1.09495330067549e-14	0.0930391503502456	0.169131475108007	0.134643707706363	0.356276256254373	0.19213851428402
"HKB0016_3006_T"	0.0106313473789025	0.137444618829096	0.225273628242859	0.118191864857127	0.197977913459281	0.00903550553790928
"HKB0019_3006_T"	0.0306549959304828	0.0808735213308667	0.00713597998148159	1.18388516596742e-14	0.0985829140118797	0.206691347808415
"HKB0023_3006_T"	1.18023251714417e-14	0.0981898372499101	0.138244208373538	0.0103043967558514	0.485265947928433	0.0502656568070799
"HKB0031_3001_T"	1.21351543233103e-14	0.00123597164797204	0.212633740116016	0.105089724044055	0.139271506473394	0.13738312397895
"HKB0033_3006_T"	0.0226525458930277	0.174085622859065	0.235331774758387	0.00448498672320073	0.273525710249164	0.142096782932053
"HKB0035_3006_T"	1.33332315360893e-14	0.0934226784046197	0.261375421088076	0.00738244670618642	0.0853197451194977	1.33332315360893e-14
"HKB0036_3006_T"	0.0429419788836217	0.0731070952382544	1.80835414596643e-05	1.01694807067655e-14	0.0311357089597961	0.0555552807617373
"HKB0038_3006_T"	1.30369554545666e-14	0.033219527123544	0.0668667876267556	1.30369554545666e-14	0.438089098810935	0.0462580101766762
"HKB0040_3002_T"	8.95668814817179e-15	0.109589616640538	8.95668814817179e-15	0.578999917441862	8.95668814817179e-15	0.0594375731502644
"HKB0044_3006_T"	1.00228840133454e-14	0.116632140331628	0.0387818635985021	0.0607057066821511	0.0126857811793723	0.119979331746206
"HKB0049_3006_T"	0.0603992495941998	0.0442564833054861	0.141087270298672	0.176058888397354	0.405152495698851	0.147895263387534
"HKB0050_3005_T"	1.10564628006887e-14	0.154948897903417	0.0447326912485062	0.160071460726756	0.0611625768231817	0.024137136466028
"HKB0052_3000_T"	0.160975896628312	0.122645049926767	0.125187050398682	0.226557964556354	0.276588799507566	0.00845698236780529
"HKB0054_3000_T"	0.0817261586525968	0.12225974866234	0.128195994161863	0.386868900660875	0.0769583058342031	0.0973184366731221
"HKB0056_3002_T"	0.0138006203494416	0.197912462104405	0.00614246860377461	0.00976639493812681	1.05030083773538e-14	0.0861734443400453
"HKB0064_3004_T"	0.0557535275006946	0.258734209573904	0.111842487300886	0.115918943617751	0.126231932074385	0.222029205798702
"HKB0065_3006_T"	0.0418470358617931	0.0817917159274952	0.0166986804665781	1.33594217333605e-14	0.0141207967041555	0.231267930244024
"HKB0067_3006_T"	1.32499021305576e-14	0.106461274134928	0.180284878110022	0.184362487902617	0.231842599872288	0.045771887672026
"HKB0069_3000_T"	1.36065344786139e-14	0.0731217615540107	1.36065344786139e-14	0.214907068578415	0.139158538608701	0.116558271859714
"HKB0070_3002_T"	1.39245423677061e-14	0.0491161352584431	0.298954515309732	0.0182176007086597	0.0290675442194838	0.265586876905962
"HKB0074_3000_T"	0.228753477151686	0.157114707152341	0.0438799756922387	0.374018391499284	0.137252679585618	0.0512594183279843
"HKB0078_3000_T"	1.1132690512447e-14	0.0288829612174658	0.353322521366787	0.0417580827035527	0.0542948775383393	0.0488031597337201
"HKB0079_3006_T"	1.19463920971547e-14	0.0908793718347048	1.19463920971547e-14	0.1565225117578	0.123956491260656	0.124577100238622
"HKB0080_3006_T"	1.18960169631653e-14	0.0811926229089309	0.234445102850735	1.18960169631653e-14	0.144708812405836	0.00231842229825062
"HKB0082_3006_T"	1.36792414588068e-14	4.3766894582086e-07	0.031422226822906	0.134542378529777	0.042206330707091	0.203282932238424
"HKB0084_3000_T"	0.036260929332467	0.0367153665183385	1.5570354783792e-14	0.0220362158463371	0.125812147367973	0.100670433294723
"HKB0086_3006_T"	1.45304553157986e-14	0.0252720267252021	0.480799360396762	0.0242810880593027	0.177256664875773	0.0978451805492517
"HKB0088_3000_T"	1.12606558027973e-14	0.0526580321303751	0.264583078025413	0.089006064342109	0.231577927127772	0.164975426236035
"HKB0089_3001_T"	8.59344856714936e-06	0.213209315272328	1.19083318442156e-14	0.138074902636498	0.196793505683846	1.19083318442156e-14
"HKB0091_3001_T"	0.0380216761796988	0.0276517688172556	0.0234125134063611	0.120239756515775	2.01194297102699e-06	0.123633553773912
"HKB0092_3000_T"	0.00101205386310219	0.300497126102103	0.125771428317568	1.09614970433561e-14	0.101543695954981	1.09614970433561e-14
"HKB0094_3006_T"	0.0210819771768496	0.122149116976807	0.198985497450793	0.155859227463753	1.53030320765204e-14	0.012422990066886
"HKB0096_3001_T"	0.00151410649735294	0.0544913428240485	0.224907977814555	1.13739621253754e-14	1.13739621253754e-14	0.00320262268821936
"HKB0097_3000_T"	0.0133941776201997	0.0965312104375529	0.363362031257913	0.00428439810858867	0.0262993417599085	1.72808553778886e-14
"HKB0098_3005_T"	1.46036106650025e-05	0.0486939778620235	0.13849651026706	0.180085261714831	0.408247915526783	0.0507499074622438
"HKB0100_3006_T"	0.0148719705197474	0.130581058696479	0.199470976717779	0.0105710237550854	0.08288985529851	0.0166126934418427
"HKB0101_3000_T"	1.18765175468435e-14	0.0892766828554243	0.133034752968057	0.188536960321597	0.353453706575576	1.18765175468435e-14
"HKB0102_3006_T"	0.0236030457935299	0.0240370269093682	0.291618208740759	0.0827924257971102	0.286448214104016	2.10557575054621e-09
"HKB0104_3006_T"	9.69194366578262e-15	0.0564915289084111	0.230078936163211	0.00532647908301049	9.69194366578262e-15	9.69194366578262e-15
"HKB0106_3006_T"	0.0066265837220659	0.118621292871936	0.0731457413673065	1.22959414139216e-14	0.0447235369345347	1.22959414139216e-14
"HKB0108_3000_T"	1.05090915177386e-14	0.0954692311234593	0.199004333630238	1.05090915177386e-14	1.05090915177386e-14	1.05090915177386e-14
"HKB0109_3006_T"	1.19326228415279e-14	0.0686314579681305	0.280416911483209	0.0216521495822656	0.0105853053435913	1.19326228415279e-14
"HKB0115_3006_T"	0.00315812188562835	0.13935712575644	0.17619034513596	0.0515801099071959	0.123840159009305	9.92558875963275e-05
"HKB0120_3000_T"	0.234124887667934	0.0214930700633027	0.0247233204139823	0.290211501986635	0.262179327385206	0.167267892482918
"HKB0121_3006_T"	0.00288631778234	0.0551894884889444	0.176818011846395	0.0140919642435774	0.0266789475294342	0.0689940446484419
"HKB0123_3006_T"	0.000582210581157789	0.0568828849552108	0.0907389307407806	1.4602431745503e-14	0.145998270487664	0.0665610137569451
"HKB0124_3003_T"	0.0867238728676727	0.260235593878019	0.201131969705585	0.0298313218780937	0.0711863132297141	0.0544023741545955
"HKB0125_3006_T"	1.22496084049549e-14	0.112710872273544	0.139939788362235	1.22496084049549e-14	1.22496084049549e-14	0.0996798794566257
"HKB0127_3006_T"	1.4807866356568e-14	0.270204862072585	0.119055613017255	0.182970209550505	0.0711310543750603	0.0134386392264136
"HKB0129_3000_T"	0.293377326047315	0.186802907348867	0.125047507116457	0.20959481561763	0.0865219499166804	1.05688150627626e-14
"HKB0132_3006_T"	1.68966511825333e-14	0.122615612458642	0.0390703600183092	0.059962843295665	1.68966511825333e-14	1.68966511825333e-14
"HKB0134_3006_T"	0.0327912321135511	0.0254145796145951	0.0107480384082466	0.047601408017016	0.0485566900223104	0.228776040132733
"HKB0137_3002_T"	1.25130098577903e-14	0.192630357066178	0.151711925361514	0.0207114942852493	0.0401954731948729	0.0765093381603521
"HKB0141_3006_T"	0.00269444970382778	0.0782853607871694	0.423444065823349	0.0420963667965316	0.22175767162847	1.65615998052782e-14
"HKB0143_3006_T"	0.0104620316295598	0.0396907171857732	0.17387629807839	0.0856361204718448	0.218981825235386	0.270476978497436
"HKB0147_3000_T"	1.07801605630121e-14	0.137625046379521	0.264372329345242	1.07801605630121e-14	0.0451092590905281	1.07801605630121e-14
"HKB0150_3006_T"	9.3153463919398e-15	0.0614138874827111	0.166645151440733	9.3153463919398e-15	0.0123947890984534	9.3153463919398e-15
