"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"HKB0004_3006_T"	0.0604486610856155	0.496455622753333	0.0478448168577335	0.0903900170293284	0.130092201068803	0.0129714294432319	0.0403965523476791	0.0589488435276979	0.0562174442796269	0.0062344116069504
"HKB0005_3001_T"	0.0858196090778823	0.397076016039398	0.0645515940585112	0.0488221187030465	0.112066767408771	0.002763388532074	0.122334986613911	0.0707529058908726	0.0950668340062283	0.000745779669304712
"HKB0006_3006_T"	0.0242552867555067	0.0144146913436381	0.00103253227243224	0.0507670256803098	0.375379167803252	0.00108466454320501	0.118956138468952	0.407872250630209	0.00179845172845375	0.00443979077404216
"HKB0007_3005_T"	0.167280026979975	0.0546840346244523	0.0624662950168993	0.0458872861324768	0.101093603302852	9.40131469034395e-05	0.107274269435871	0.0913913838024478	0.233928213750213	0.135900873807909
"HKB0008_3006_T"	0.254180617278553	0.0130239131077993	0.155365495819548	0.0235552517872029	0.0348346123026739	0.0101718128988732	0.133955492149038	0.144322651241577	0.122420739033774	0.10816941438096
"HKB0016_3006_T"	0.157783192891954	0.00516288008534294	0.0535516872326906	0.0543074442638302	0.15080400557562	0.00121609415751663	0.130433082157803	0.166251549502683	0.152352034858006	0.128138029274553
"HKB0019_3006_T"	0.208778312883997	0.349355399862819	0.117286314143913	0.0622137401107568	0.0763835952168048	0.0139885845218244	0.0468641955441194	0.0222706794042733	0.0986623119908983	0.00419686632059383
"HKB0023_3006_T"	0.371447515787582	0.159142731349364	0.0148943343932589	0.0499625805595601	0.0845021522835828	0.00513545701917432	0.104554334021242	0.130977583905714	0.0277333824605367	0.0516499282199843
"HKB0031_3001_T"	0.11531119175167	0.00985515630762606	0.214621958795522	0.104094461234373	0.131551861401619	0.00276773026283477	0.0710716321498535	0.192744420347019	0.0944207471444527	0.0635608406050297
"HKB0033_3006_T"	0.315659959473513	0.0237186133706183	0.147297975743994	0.0637079122171163	0.0999571133249128	0.0122799299268014	0.129158197757197	0.183986510772528	0.0187126915634937	0.00552109584982659
"HKB0035_3006_T"	0.0388369971453488	0.0319267441914609	0.00901289207076053	0.0779321477628889	0.145334009914632	1.83200134463386e-14	0.0859849962894313	0.236276072241068	0.190317006010576	0.184379134373815
"HKB0036_3006_T"	0.1431907232229	0.394189781756811	0.0315546766567257	0.129108527960481	0.0759093537003094	0.0106774847131179	0.0531932880361078	0.0458512359190495	0.114033816246689	0.00229111178780854
"HKB0038_3006_T"	0.444533509601442	0.166448374013339	0.093374833208094	0.0849495524655696	0.0485948545405059	1.4823142303294e-14	0.0351084612094702	0.0632272181005993	0.0571769108205558	0.00658628604040957
"HKB0040_3002_T"	0.0792127887335582	0.0591355120712892	0.0584805415739596	0.0348288025715286	0.0567680722160144	5.73917453099714e-15	0.029460472885184	0.0192227524965386	0.290351667248389	0.372539390203533
