"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"HKB0004_3006_T"	0.493415878569404	6.78413396964265e-15	0.000768802279017449	0.198657994580757	0.0418547387084777	9.4862653389243e-05
"HKB0005_3001_T"	0.307303072235555	7.35063660004944e-15	0.0427523321506226	0.293161789483496	0.0816329376530818	0.00533818844425867
"HKB0006_3006_T"	0.0177936604758293	8.08777765872752e-15	0.00154373964763736	8.08777765872752e-15	0.093003726627471	0.358453307431012
"HKB0007_3005_T"	0.0791960425310208	9.92215969464816e-15	0.136603963787836	0.275308557446953	0.297632723468547	0.0569025918891295
"HKB0008_3006_T"	0.00984524148197469	1.26715489306079e-14	0.374095580060066	0.0989353067937302	0.296195567153387	0.183461141577054
"HKB0016_3006_T"	1.04866867383111e-14	1.04866867383111e-14	0.148122532818606	0.190888142922158	0.203074244732417	0.183876347464529
"HKB0019_3006_T"	0.342678332600166	8.48305800761375e-15	0.116502807314056	0.238063485208233	0.00270043902080322	8.48305800761375e-15
"HKB0023_3006_T"	0.179166447973088	1.13136852962542e-14	0.387581129198037	0.0285530153853966	0.363124285924557	0.00848335308348461
"HKB0031_3001_T"	1.00663691354217e-14	1.00663691354217e-14	0.0129006389379937	0.047365977528129	0.149446736095237	0.303220771232238
"HKB0033_3006_T"	0.00721565962806122	1.29774858749091e-14	0.296667198393985	1.29774858749091e-14	0.100050322969403	0.384015926612026
"HKB0035_3006_T"	9.11825118936119e-15	9.11825118936119e-15	9.11825118936119e-15	0.0727129505208628	0.032964687448935	0.311800589748257
"HKB0036_3006_T"	0.28128999810682	8.307597620534e-15	0.0913350040112954	0.344189287583647	8.307597620534e-15	0.0276105634504911
"HKB0038_3006_T"	0.167453854357104	1.04922187207789e-14	0.411254425022472	0.155479887838612	0.118004836817135	0.0622329034768743
"HKB0040_3002_T"	0.0755776894356939	7.89698425357966e-15	7.89698425357966e-15	0.72534177376135	0.101205480759314	2.52716066100423e-12
"HKB0044_3006_T"	0.190223059630007	8.52091162316774e-15	8.52091162316774e-15	0.350963403645693	0.18795648842846	8.52091162316774e-15
"HKB0049_3006_T"	0.00310656840286993	0.00568373306037469	0.342787334996182	0.0985445186282412	0.275646048870334	0.196248523246789
"HKB0050_3005_T"	9.56212951135444e-15	9.56212951135444e-15	0.00311311653091459	0.364269016279567	0.0991033248228025	0.049315531403064
"HKB0052_3000_T"	0.120354217712326	0.0278509229357722	0.280552641922725	0.0620923768256752	0.322752868113874	0.127899518792576
"HKB0054_3000_T"	0.0901166697714641	0.0597423460428087	0.165304136326662	0.353259254062928	0.186432044385172	0.000251260306987597
"HKB0056_3002_T"	0.215313836483607	7.35977798794205e-15	7.35977798794205e-15	0.466841380332845	0.0304101360290535	0.0297923234782782
"HKB0064_3004_T"	0.0333557492299245	0.0881478162637358	0.266492945023216	0.131869236341759	0.221446955391847	0.10110771211652
"HKB0065_3006_T"	0.374822634756172	7.46785426064393e-15	0.111859130348575	0.275916522003125	7.46785426064393e-15	3.10248370437613e-13
"HKB0067_3006_T"	1.19153829886833e-14	1.19153829886833e-14	0.0758953097101585	0.227568675503901	0.247618669706924	0.186687176328729
