"BC_HKB0555_1321_T"	"BC_HKB0668_1298_T"	"BC_HKB0662_1294_T"	"BC_HKB0892_1559_T"	"BC_HKB0778_1480_T"	"BC_HKB0832_1546_T"	"BC_HKB2118_1689_T"	"BC_HKB2123_1695_T"	"BC_HKB2112_1636_T"	"BC_HKB0022_649_T"	"BC_HKB0570_1319_T"	"BC_HKB0567_M1337_T"	"BC_HKB0561_1308_T"	"BC_HKB0729_1445_T"	"BC_HKB0740_1454_T"	"BC_HKB0730_1441_T"	"BC_HKB0834_1553_T"	"BC_HKB0830_1541_T"	"BC_HKB0878_1544_T"	"BC_HKB0904_1595_T"	"BC_HKB0782_1497_T"	"BC_HKB0896_1590_T"	"BC_HKB0923_1584_T"	"BC_HKB2104_1610_T"	"BC_HKB1383_1724_T"	"BC_HKB0917_1656_T"	"BC_HKB0055_2940_T"	"BC_HKB0741_1471_T"	"BC_HKB0827_1539_T"	"BC_HKB0767_1534_T"	"BC_HKB0757_1496_T"	"BC_HKB0882_1555_T"	"BC_HKB1381_1703_T"	"BC_HKB0915_M1647_T"	"BC_HKB2124_M1715_T"	"BC_HKB2106_1619_T"	"BC_HKB1384_1734_T"	"BC_HKB0112_933_T"	"BC_HKB0056_809_T"	"BC_HKB0733_1459_T"	"BC_HKB0744_1465_T"	"BC_HKB0828_M1542_T"	"BC_HKB0775_1470_T"	"BC_HKB0831_1520_T"	"BC_HKB0772_1460_T"	"BC_HKB0764_1510_T"	"BC_HKB0763_1511_T"	"BC_HKB2109_1628_T"	"BC_HKB2128_1735_T"	"BC_HKB2119_1690_T"	"BC_HKB1372_1697_T"	"BC_HKB0922_1579_T"	"BC_HKB2107_1620_T"	"BC_HKB0921_1575_T"	"BC_HKB0187_1214_T"	"BC_HKB0689_M1326_T"	"BC_HKB0759_1488_T"	"BC_HKB0838_1563_T"	"BC_HKB0841_M1565_T"	"BC_HKB2125_1717_T"	"BC_HKB1385_1721_T"	"BC_HKB2114_1660_T"	"BC_HKB1366_1663_T"	"BC_HKB0075_849_T"	"BC_HKB0199_1263_T"	"BC_HKB0588_M1349_T"	"BC_HKB0641_1392_T"	"BC_HKB0582_1333_T"	"BC_HKB0738_1475_T"	"BC_HKB0761_1499_T"	"BC_HKB0779_1486_T"	"BC_HKB0876_1543_T"	"BC_HKB0881_1548_T"	"BC_HKB0873_1549_T"	"BC_HKB2108_1624_T"	"BC_HKB1370_1673_T"	"BC_HKB0890_1550_T"	"BC_HKB2116_1671_T"	"BC_HKB0905_1623_T"	"BC_HKB0927_1609_T"	"BC_HKB2113_1657_T"	"BC_HKB0906_1627_T"	"BC_HKB2122_1692_T"	"BC_HKB0632_1381_T"	"BC_HKB0745_1398_T"	"BC_HKB0715_1407_T"	"BC_HKB0726_1446_T"	"BC_HKB0874_1537_T"	"BC_HKB0839_M1561_T"	"BC_HKB0902_1617_T"	"BC_HKB0786_1508_T"	"BC_HKB0899_M1605_T"	"BC_HKB0913_1654_T"	"BC_HKB1369_1679_T"	"BC_HKB0894_1583_T"	"BC_HKB1365_M1665_T"	"BC_HKB0215_1134_T"	"BC_HKB0543_1306_T"	"BC_HKB0728_1447_T"	"BC_HKB0769_1519_T"	"BC_HKB0774_1469_T"	"BC_HKB0754_1481_T"	"BC_HKB0833_1552_T"	"BC_HKB2127_1726_T"	"BC_HKB2105_1618_T"	"BC_HKB1368_1669_T"	"BC_HKB0895_1582_T"	"BC_HKB0217_1153_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0019_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0074_3000_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0092_3000_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0097_3000_T"	"HKB0098_3005_T"	"HKB0100_3006_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0104_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0121_3006_T"	"HKB0123_3006_T"	"HKB0124_3003_T"	"HKB0125_3006_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0150_3006_T"	"HKB0155_3000_T"	"HKB0157_3006_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0233_3006_T"	"HKB0540_3000_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0626_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0659_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0677_3000_T"	"HKB0683_3000_T"	"HKB0692_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0704_3000_T"	"HKB0710_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"
"S01"	0.0445279393099996	0.0916495965614297	0.0895951598559189	0.0771114071612713	0.0492025665021757	0.0212268710478225	0.0749244139121719	0.0195504592480497	0.0175167161037326	0.116336665551469	0.0211329137886284	0.0528950634867338	0.0131972675301912	0.0208679782357349	0.0257950166756329	0.00936934243997416	0.0263045075145699	0.0864692604709091	0.0278059595062743	0.0899646579276643	0.0282862600364883	0.020831038124373	0.0367215876279306	0.0287806192832769	0.0539905960142106	0.0599880057324103	0.0572696266971037	0.0449514610720232	0.0248114401496837	0.0387805727996299	0.0123386320602154	0.073539006365344	0.0146179879529092	0.0640406633830559	0.0175135507752158	0.0660804442687897	0.0244062043438818	0.158247762813535	0.0550878887775348	0.0412416208522999	0.0124538010863319	0.0390084252864782	0.0611942680438292	0.242417315872256	0.0385104794071647	0.0444248810604767	0.0152854240541463	0.122982295054661	0.0707695213182553	0.0416971015125611	0.0348658430699259	0.00909545304494984	0.108118793583179	0.182529063991589	0.0134287485074418	0.0280887205515935	0.0500698716880177	0.0266427679400164	0.0492779162310077	0.0382202204521988	0.242589823421552	0.0174961715946803	0.0446220620635892	0.021983397787183	0.128895520468577	0.0471544568860637	0.0208185810504245	0.0273194898873266	0.00291704678451269	0.000849258518499729	0.272080485934718	0.00657958203919718	0.010182534252608	0.199945109168307	0.00764284889737353	0.0189664815598595	0.145725220783897	0.106941101267198	0.0410786157764652	0.0100684416941405	0.0463363620176099	0.0146343411920734	0.0275425595809084	0.0322423403649993	0.0284303246876345	0.0230588343285606	0.0276072283703529	0.0458597278595205	0.0300033079440676	0.0884009347353437	0.0340230925476728	0.20535455356958	0.0718905367609484	0.0360154511914465	0.0248911487137488	0.0509560043449285	0.00672225082304572	0.247840628019997	0.18189656145639	0.0117819974525456	0.0663795089918873	0.0126316534757264	0.080061078361444	0.051438799875423	0.0126766299520769	0.0252103811518972	7.22020102565569e-10	0.0146489665509542	7.01456648880747e-15	7.47696514825788e-15	0.00167466705018132	0.112048163258714	0.144132349061365	0.156834609089325	0.00130828667433523	0.0487973371460304	0.131932734039242	0.00897666923140022	0.0601718746169058	7.55350518605443e-15	7.58884988948634e-15	0.36950306670857	0.0732563680083902	0.0578472029085773	0.241900773482647	0.189030506476814	0.334922492159409	0.0143360540347486	0.0853199750071814	3.51735677633305e-09	0.196874182208746	0.18041522546333	0.113864557267428	0.331253396517336	2.41622251206659e-06	0.115721762139429	0.00167411723456874	0.0743536465172356	0.0184969001650344	0.0681427488328996	0.109459077456286	0.116834042779024	0.0734980527436732	9.92451201214696e-15	0.219643710056465	0.000294095391530374	0.0442236479209148	0.166690468294539	0.00117784260035239	0.15669231867198	0.0482152948284418	8.12960082926509e-15	1.10797129966636e-12	1.04009860577544e-14	0.0122226445819935	0.162238584964357	0.152832179100964	0.0236018462543189	0.00399041389938739	0.0037451720794303	7.54560249908287e-15	0.265122206247186	0.250440154614728	0.110602741111418	0.0696988557723474	0.0316060891534538	0.0270706436127886	0.06432808581262	0.00516147669963804	8.37179143527219e-15	0.181057236962521	0.0303356961329961	0.113067344872727	2.07880716575974e-08	0.0023677102049429	0.138049601437087	0.147826741736241	0.140108538038656	0.161326181502791	0.0364063375440343	0.0442392836271112	0.0374225845036899	0.209251256046903	0.103624701163223	0.209447536883754	1.09795502778342e-14	0.185146787936835	0.102448048950826	0.0244836970721197	6.18716069517148e-14	0.0417771613545316	0.169540439903661	1.02353722105e-14	9.94815402549825e-13	0.219190184354052	0.102272767663774	0.0763762954749073	1.01904079223231e-14	0.0124039886779894	0.0963057525000286	1.24536787672021e-13	0.00892933819943736	8.94831859978952e-15	6.11657969997774e-15	0.00319976522193702	0.0317029862187678	0.0499520123537236	0.101426394237563	0.266937774026083	0.0635483747166088	0.255658927551934	0.000518670226129447	0.00818276979882466	0.112437639384911	0.111830476969447	9.6324681515789e-15	0.0115095769796048	0.00642200800872497	7.03180982498204e-15	0.222584677125571	0.0466700966998378	1.18547282650408e-14	0.175052290634393	1.07278661819013e-13	0.0700445905742471	0.286418543165348	0.0145525767673953	0.200888641149428	0.00344437084314312	0.0380149154895267	0.0202879862403548	8.77337957294503e-15	0.101145737727102	9.86044907143399e-08	0.0965683864192593	0.149051275777138	0.0224330980699227	0.0485853717102557	0.00178306035732956	1.18356098636993e-14	0.437837564313122	0.114049551523173	9.0277336455939e-15	0.124006755443799	0.0572463354376163	0.259593997590509	0.152786476829047
"S02"	0.0192988372985514	0.0264144020489691	6.8298338019487e-15	0.0918233517534921	0.0930383143049952	0.0461610430631074	0.0254814641504343	0.007586758453969	3.8317874731577e-12	0.0184187593082558	7.52630887676906e-15	5.42979875217167e-10	0.038333702156879	0.103370338723371	0.0805232808445121	0.000816554865324727	6.40905439004491e-15	0.00497327745097022	0.0292964084419374	0.0378199625171011	6.41808992843676e-15	0.0177418131502987	0.0215247817686957	0.0186444268883534	0.0345295715014127	2.97962685556853e-13	0.0458619554975081	0.0129962139657787	6.99516165054777e-15	2.09221626908202e-05	3.8166174718701e-12	6.84401724146044e-08	0.0238184909969842	7.25154173290149e-15	6.72900965034474e-06	6.97932406579025e-15	6.18087270428845e-15	5.91089381319962e-15	6.41641532284519e-15	8.20880125327533e-15	1.08991814648669e-14	0.0165647721191632	0.0262637577504281	0.00684736014518426	0.124985929874005	5.56375021739784e-15	0.0228333454286458	8.27345042960377e-15	5.83132145553182e-09	0.0127086505492249	0.0204695969455015	7.6691583709446e-15	0.0172275399226249	2.82750614287268e-05	0.043299736471849	0.117001004114811	0.134479538509263	7.50132711050075e-15	6.76344997824148e-15	0.00712306959534043	0.119157241707382	7.62280958883636e-15	4.33731706330624e-14	0.0235078977418133	0.0243915929214951	7.36877223699658e-15	7.72852966276824e-15	7.79874651518753e-15	0.0385162620028256	0.0172699415260465	6.38623069105931e-15	0.0627322675605293	5.80590273084623e-15	0.0505297477978486	0.0308184564131974	0.147344704100637	0.035035497347923	0.0792182139551632	0.04761442996429	5.69855760390251e-15	0.0473015338385579	0.064403999383839	0.0150110508418217	0.00846654061296834	6.47687288862053e-15	0.0110133905042131	5.7622793791486e-06	7.05119398519431e-15	0.0626697009564517	7.26702847297504e-15	0.00764734863011538	3.80952349541889e-15	0.0579144249174577	6.74113954304842e-15	0.0623665442598632	0.056558611051819	0.0982448336506749	0.0228185263822569	6.74361044621103e-15	0.0288344474067115	1.24556153995904e-07	0.0365999731377237	0.0269799855290724	6.10946437612667e-15	0.0508148917028931	0.0441882983628009	0.0935887812615386	0.005276481786951	0.0328729710141546	7.47696514825788e-15	0.0677190627271849	0.0496814615758833	0.188086557135867	0.137180611321625	7.53992648826932e-07	0.0761485188254445	0.264104007759944	0.257686700249282	1.10782769732057e-14	7.55350518605443e-15	0.0755516968583902	1.42121305388475e-13	0.0628796026004541	0.0830326573793253	8.61945602942579e-15	0.0497877155040609	0.0616483813051432	6.04077080782582e-15	0.287211837608376	0.000840644020611845	0.232344522756265	0.0574235342104793	0.189544725661443	1.46342876858047e-07	0.0810598605322633	0.0769690652175959	0.14978948995878	0.0059977877566239	7.18551912313783e-15	0.185152847332275	0.109916592117731	0.359701771743863	0.0210827725651325	9.92451201214696e-15	2.77904832220737e-14	0.07300717697407	0.0221526344629326	0.110707927783933	0.101724597772638	0.137367261762811	0.263375143026242	0.0547350521261688	0.0209219064359632	0.0342195126841061	0.0969143032375913	1.17427420070662e-11	0.113302713969308	0.000313951522003351	0.265998728487936	0.0296795925734818	7.54560249908287e-15	0.178683057195335	0.00174800727224748	5.52042313795146e-09	0.0289067453616348	0.0877902265664917	0.116786974458821	0.121656340693959	0.156737977465097	8.37179143527219e-15	0.0336589671811783	9.52403563175934e-15	0.10708292819792	0.0917308147439575	0.0205621274165996	0.019133082166177	0.209513275161722	0.201336732621396	7.30288493634106e-09	1.02813328597869e-14	0.0745292459151511	1.34925191317376e-05	0.00795169794679041	0.127125075413045	0.0142165250550507	0.0992718746431936	0.0941036442882012	0.13877769112049	0.131855616651893	0.0089545155995199	0.00925887411444786	0.0605434918345926	0.00864985631848116	0.22459004276901	6.09433258652243e-15	0.151109152841356	0.266644251657994	0.0376772784357323	0.25838641969932	0.206383873336089	0.0734532382351027	0.180791587547133	2.15127330266543e-10	6.11657969997774e-15	0.129364187562588	0.045812896583722	0.0657907094325607	5.17645138011686e-07	6.2864666639101e-15	0.0945867193780107	5.11660860648664e-05	0.0497256103316994	0.0924686639035313	0.0827355435043299	1.00185093540005e-14	0.00011556603759908	0.278834972975301	0.0827707818324918	7.03180982498204e-15	9.63574992584215e-08	0.0346067283854491	0.0183123955332008	4.40834959757831e-15	0.0662742132746258	0.191825249571819	4.68568105079986e-15	0.0517454004143277	0.0179658333590067	0.00290885501139542	0.108549215631674	0.131797568568513	0.0238637392821512	0.0661070536299284	0.104700452746697	0.0293219724450757	0.0237661524952259	1.02441919601504e-14	0.191626618236489	0.235882797441763	0.0309247318558711	4.87699635084677e-15	0.000128981222816976	0.102388454821466	6.05762471019169e-11	0.164846847668631	8.21723690411653e-09	0.195802153860308
"S03"	0.00978701722339997	0.0165877649746867	0.108852540992105	0.0885424269991838	0.0341707754533046	0.00429715479019475	0.0308481634848972	0.0267621157733218	0.0093813479060294	0.122598827905681	7.52630887676906e-15	0.0529282684497126	0.0383296635378813	0.019101411479313	7.73997836524711e-15	1.38843713337491e-05	0.0283112012854132	0.0347467069677668	0.00757492247298157	0.0240150716645072	0.00419897166200524	0.0113786299469221	0.00955756095210568	0.00577633385199737	0.00894453298633898	0.0201452319709327	0.00346006473200114	8.02255479133497e-15	0.0439391137314614	0.0342701676996217	0.00310667660870302	0.107863208244031	0.014112191342477	7.25154173290149e-15	1.37507671680542e-06	0.00616002484518236	6.18087270428845e-15	0.00206868501854396	0.0563299736973504	8.20880125327533e-15	5.13278614298606e-05	0.0102533201292962	0.023713078781285	0.134396149451096	0.00533862319723479	0.0229508234493041	0.00159141717231873	0.132286397009223	0.0562114949591272	0.014916376283485	6.56117254040661e-15	0.0298016568195194	0.00994012369047696	0.155273402301777	0.0452694937132349	6.91492683229909e-15	0.0490706007582662	0.030396943612769	1.12797944273086e-09	0.0140534929883945	0.177054082511951	7.62280958883636e-15	0.0216486932266778	0.000749706072404164	0.0027857973917242	0.00183610355460878	0.00595909438222235	0.0255292543498613	6.80897789573492e-15	0.000175570923785112	0.148957780603251	0.0157703582650163	0.00173701841491586	0.0580854068954443	0.00747001770967599	6.91752211328694e-15	0.0964735885109896	0.137502444436656	0.0274448961400458	5.69855760390251e-15	0.130865936245687	0.00582781581895273	6.79392879644382e-13	0.102976922951107	0.00984646322881696	0.0355308146094026	0.0289922509634952	0.00852263236871471	0.0570170435125626	0.0591418587732996	7.80742500215626e-15	0.26113752982836	0.0107178934246475	6.74113954304842e-15	0.0120785889485966	0.0550203002592242	7.14781555598583e-15	0.302794517829712	6.74361044621103e-15	0.00595619112182269	7.04422459627038e-15	0.0187187307736255	6.81308680277169e-15	6.10946437612667e-15	0.0215957382374211	0.00831498670118071	0.014639746633236	0.0281577775124594	0.00329147491587315	0.0140388100168883	0.00249171378860883	0.262168932867721	0.0552565061115865	0.106839742968848	0.0948639713719238	0.00173935693151941	0.0206537710734833	4.59548767903971e-14	0.172718053998729	0.0799484477628945	0.0770698973715243	0.296361379708991	0.386142512706246	0.0316165641474537	0.349943745553876	0.0266852282357091	0.149606898959977	0.231032097337487	0.00481319671748459	0.183415449430985	0.0586188567898978	0.264666144038152	0.0778988493058724	0.0625314422606742	0.0018329776615717	0.293463346756633	1.15228067104596e-14	0.369666236668401	0.308045159608613	8.63799216825012e-15	0.1209697136442	0.0811132626958132	0.313704944707356	0.0463223371139038	0.142587715335473	1.16157705197249e-14	0.00851914489973468	0.256903154315651	0.0356949570059762	0.0189338826979772	0.00541254305126797	8.12960082926509e-15	1.19618369995765e-14	0.00359565340080808	0.108531312858933	0.0829535581016811	0.0321997288646703	0.175657205726659	1.02202003328061e-14	1.09384125703987e-14	7.54560249908287e-15	0.0192436203204209	0.00287766386673698	0.0308311284051197	0.213847932974417	0.315652101144821	1.22691671176714e-14	0.0933890267167325	1.18061169732747e-14	8.37179143527219e-15	0.0849812776530523	0.0241871052515993	0.0716747232343109	0.14544150460543	5.83663698288183e-15	8.12889811990054e-15	0.0606854433615366	0.0318669996401179	0.451886650584551	1.02813328597869e-14	0.0742744437967181	8.04829896835722e-15	0.0536285748865812	0.147430070979098	0.336510913218467	0.0127380219765323	0.106795141595051	0.0124231154024817	0.115709440820537	0.103756349843103	0.044232563305528	0.0775687082084441	0.00140769774323664	0.00169144824507259	0.202951757873061	0.131445483804859	0.00775516332078354	1.01904079223231e-14	0.0421268875873392	0.110992549305051	0.0362834072582437	9.21903015443755e-15	8.94831859978952e-15	6.11657969997774e-15	0.112715310947791	9.34363563776522e-15	0.0556779486995176	1.06773656667929e-14	0.131022801316249	0.0760465089428575	0.109487539554366	9.86014142850996e-15	0.184985619009145	0.198785168130962	0.0186616389755749	0.00854372274914194	0.0170288010786744	1.18052021174929e-13	7.03180982498204e-15	0.158267858577178	0.080468697385317	1.18547282650408e-14	0.252658688850216	9.66311781893506e-15	0.0851721017976927	0.309561819990491	8.09741588197834e-15	0.235912920801832	9.53822954006893e-15	0.0570998519411848	0.0596072808584401	0.0220591123617834	0.405644387828071	0.00074712614472468	0.328584494870843	9.83904275681721e-15	0.0424680149334813	0.159608250387623	1.07762395882306e-14	1.18356098636993e-14	0.311907784453671	0.109579365697507	9.0277336455939e-15	0.105202865054664	0.0274415691570554	0.26268717448903	0.34737564936979
"S04"	0.0250407880770324	1.17770437497794e-09	0.00786345127668499	0.0325885942375362	0.0326245277725648	0.0293328811136276	6.12894169480157e-15	0.0151671684906359	0.0713243979337603	0.288405746807504	0.0199695734890943	0.103136643009476	0.0243782721693491	0.0241066026494243	0.0273027722596673	0.03547057671471	0.0225021645428743	0.018328850527638	0.00203953504817296	0.00138733224172881	0.0133576626199341	6.52578781917049e-15	0.00721403187011002	0.0085534217052415	0.00338376719379236	0.0374037250207877	0.0220675528529185	0.0454793185884186	0.0154792134120928	4.38633877524969e-13	0.0220531053463827	0.0307081967655467	0.0280144941675292	0.0135178434561588	0.0071672034499962	0.036374011969184	0.0204955978406724	0.0536484124207834	0.0467698311266536	0.0521385066512934	0.0383962079962893	0.110049141166109	0.0644127214615774	0.0322678827301777	0.13013768797317	0.0334781016867573	0.0379136976271728	0.0117615019579621	0.02501455928784	0.0371799704856736	0.0144783034579332	6.57694421962177e-09	0.0100677643247604	0.00013239293874139	0.00972308834427308	0.0437318065285151	4.10437151957762e-12	0.0144001708625343	0.0195682890250572	0.0067159829532525	0.0427717383479088	0.0858855176846075	0.000710796461995207	0.0153457042427627	0.188709730965636	0.0409818115061511	7.72852966276824e-15	0.0349796991662844	0.0741248014711004	0.194128895954649	0.0497379292761152	0.0560878468948574	0.0117971513264143	0.00442635617499465	0.000237118934284047	6.91752211328694e-15	0.0535609206992234	0.0627188851159512	0.040077205713177	5.69855760390251e-15	0.0554417840893198	0.0485444818826094	0.0436131551618484	0.0384394366925472	0.00750544014625416	0.00666913798395671	0.0383827358533136	0.0617264032271952	0.0592542106545512	1.21913389560424e-05	0.0540367756402625	0.08005445746238	0.0140793184610246	0.0398352089464847	0.0174118176264425	0.00781789813235322	0.086183803830413	0.0889911442023209	0.0332586777142078	0.0316711374664804	0.0492032042523079	6.24261710271654e-15	0.00117079356928329	0.0481984597318645	0.00462630295388259	0.01794875485124	0.071075501531242	0.0096576635159243	0.101629743105749	0.0423768376775677	0.012897642187857	0.11192617002549	0.173095062960062	0.122929419666751	0.174651868562194	0.0927221914135853	0.15071554492963	0.165220382575496	1.10782769732057e-14	0.10790538628689	0.194819522473372	0.108079545620367	0.0249911142102082	0.253879991133495	0.00758113003047187	0.0649000233603072	0.114863283959688	0.149055119945345	0.364332574497887	0.126620433567059	0.184346112239911	0.0994026897249295	0.151751463165319	0.0806326397160202	0.0446023993108046	0.122576816653321	0.0485106877135297	0.0731840160239681	0.0909381556672359	0.18008889387036	0.128119880649854	0.0930006724357593	0.1183625436965	0.0261654746584488	0.0131552026205111	0.00277349210448471	1.31016136604038e-14	0.0576929658135487	0.0203925669448805	0.00399512475611161	0.114152398380565	8.12960082926509e-15	1.19618369995765e-14	1.04009860577544e-14	0.040848284072408	1.03572010592341e-05	0.209635902190401	0.137740287128819	0.081369757709319	0.00393161458692659	0.0842892858742836	0.0818534298662422	0.0110903080113762	0.0306194485395856	0.20906977874951	0.138082103003563	0.00533496261654807	0.247757413296035	8.00597792162562e-07	8.37179143527219e-15	0.128384939472392	0.0161013307242087	0.158268310132691	0.0208802000864593	0.0474050397321404	0.0996880813995453	0.0705976656923108	0.137127190546239	0.217936866317486	1.02813328597869e-14	0.139153436616391	0.181183668829153	0.224386135145117	0.077015823852456	0.0671811277771998	0.0480206354812282	0.0242765807469994	8.67431557631505e-15	0.137793083042208	0.0499416855729341	0.0759920347331844	0.0801426167488137	0.0286284480461067	0.0586649128637174	0.118828192988418	0.130070847731421	0.112756393021446	0.00595312607815868	7.11499446935803e-05	0.123953392305143	0.183682096580358	0.160139910689596	0.0146290925857348	6.11657969997774e-15	0.0264712228917661	0.090365961577165	0.0477834672157438	0.0280974008520859	0.132271433494005	0.329372089536702	0.0771097994334906	0.00867631549312051	0.0436618601690343	0.0359412459567273	0.0617158053640707	0.0692453648142224	0.0603004456308399	0.0309469787518475	0.0307162918079057	0.00837952706842834	1.12641558817229e-14	0.105763848596996	0.125472181823224	0.041783360376962	0.0305584523309622	0.0689957921442583	0.185106790673368	1.59086643946217e-07	0.00183676927849144	0.125749934782383	0.197732373036901	0.122000599121506	0.0865700862942884	0.0415961797633424	0.137218023127854	9.83904275681721e-15	0.0688904331828375	0.0483239888875209	0.063424121618094	0.0304629679607715	0.0263800375119596	0.0990674777442996	0.099382667046671	0.0196870903082848	0.0904639108804881	0.0723667985910797	0.0822050645949574
