GeneSymbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ATXN1L	NA	NA	21.4424634130058	25.2208726195209	NA	1	NA	1	1	NA	1	93.5550214488169	NA	NA	NA	20.3152213208827	1	NA	NA	1	NA	1
ATXN2	33.5075347472905	NA	16.4628747551182	45.1665320885443	NA	NA	0	NA	0	0	NA	NA	24.1633078056522	15.6963792674191	NA	16.6932034683593	NA	NA	38.5626165402567	40.8773198298313	NA	NA
ATXN2L	64.2786045754345	NA	NA	61.1477379604915	NA	26.4537434478803	NA	NA	NA	0	NA	NA	NA	50.6394321148873	NA	26.6864137484668	NA	77.2483836317236	NA	NA	0	NA
ATXN3	NA	NA	32.9917608282453	31.9767383751005	NA	14.3716316634489	1	1	NA	NA	NA	68.4794658898371	NA	NA	NA	24.2496989799699	NA	1	32.5170996725637	35.127199623099	607.102438304871	45.8220958206181
ATXN3L	1.01455476351423	1.01655618374009	0.993644480595491	0.992374430126117	1	1.002352045319	1.01169732862505	0.99120549634159	1.01562731888345	0.992358436548155	0.996248306269947	1.0230601722752	0.99127138941862	0.996716177175077	0.995963722731357	1.00517666523248	0.995155519863781	1.00835945160542	0.999304621558499	1.01837447111562	0.929729524560808	0.981920048786391
ATXN7	36.820863870614	NA	18.565338979941	51.8463375699828	818.918591483957	15.6344573944186	NA	NA	0	NA	NA	NA	0	NA	NA	13.2220299311278	NA	35.6976082630464	26.7706096856715	44.4908668316949	NA	NA
ATXN7L1	NA	22.0103846392784	17.9545608883196	22.4141621364125	782.540538714739	7.7793909052773	NA	0	0	NA	27.5926415355652	NA	NA	NA	0	9.20121373302978	NA	NA	16.8284809937249	21.0000645190268	254.710345223137	NA
ATXN7L2	7.8020932322126	NA	3.67588939072774	7.83793171628054	NA	NA	0	6.02596744304003	0	0	7.60553271584024	NA	0	6.14784672672293	9.01450673299069	2.62947741175193	NA	13.1078875087351	2.33536799395442	4.2312102675589	NA	NA
ATXN7L3	37.8158302370385	NA	NA	NA	NA	23.6401681793992	1	63.8923091803088	NA	1	NA	1	NA	33.3443458996724	NA	16.6810419450861	NA	NA	29.2677178788351	1	1	NA
ATXN7L3B	NA	NA	95.8479250868811	NA	0	56.8354591900476	NA	165.0724220942	NA	0	NA	NA	NA	50.6948759543607	NA	42.3704261078602	NA	NA	48.8197025002802	NA	NA	NA
ATXN8OS	1.87649053996236	1	0.583981268794839	1	1	1.0292080066616	1	1	NA	1	1	1	1.6016410196846	0.698331877740878	0.932154648498566	0.902443602383511	1	1	2.21002544265507	1.17243426110212	1	1
