"ID"	"Cell State"
"HKB0040_3002_T"	"S01"
"HKB0052_3000_T"	"S01"
"HKB0054_3000_T"	"S01"
"HKB0074_3000_T"	"S01"
"HKB0120_3000_T"	"S01"
"HKB0129_3000_T"	"S01"
"HKB0155_3000_T"	"S01"
"HKB0186_3000_T"	"S01"
"HKB0207_3001_T"	"S01"
"HKB0220_3000_T"	"S01"
"HKB0573_3000_T"	"S01"
"HKB0579_3000_T"	"S01"
"HKB0736_3000_T"	"S01"
"HKB0008_3006_T"	"S02"
"HKB0031_3001_T"	"S02"
"HKB0033_3006_T"	"S02"
"HKB0064_3004_T"	"S02"
"HKB0067_3006_T"	"S02"
"HKB0089_3001_T"	"S02"
"HKB0102_3006_T"	"S02"
"HKB0143_3006_T"	"S02"
"HKB0162_3006_T"	"S02"
"HKB0164_3006_T"	"S02"
"HKB0038_3000_N"	"S02"
"HKB0007_3005_T"	"S03"
"HKB0044_3006_T"	"S03"
"HKB0069_3000_T"	"S03"
"HKB0079_3006_T"	"S03"
"HKB0082_3006_T"	"S03"
"HKB0098_3005_T"	"S03"
"HKB0137_3002_T"	"S03"
"HKB0167_3006_T"	"S03"
"HKB0194_3006_T"	"S03"
"HKB0221_3001_T"	"S03"
"HKB0674_3000_T"	"S03"
"HKB0710_3000_T"	"S03"
"HKB0718_3000_T"	"S03"
"HKB0751_3000_T"	"S03"
"HKB0752_3000_T"	"S03"
"HKB0216_3000_N"	"S03"
"HKB0220_3003_N"	"S04"
"HKB0648_3000_N"	"S04"
"HKB0160_3000_T"	"S05"
"HKB0004_3000_N"	"S05"
"HKB0006_3000_N"	"S05"
"HKB0019_3000_N"	"S05"
"HKB0023_3000_N"	"S05"
"HKB0033_3000_N"	"S05"
"HKB0036_3000_N"	"S05"
"HKB0040_3000_N"	"S05"
"HKB0049_3000_N"	"S05"
"HKB0050_3000_N"	"S05"
"HKB0052_3004_N"	"S05"
"HKB0064_3000_N"	"S05"
"HKB0067_3000_N"	"S05"
"HKB0074_3003_N"	"S05"
"HKB0094_3000_N"	"S05"
"HKB0096_3000_N"	"S05"
"HKB0097_3004_N"	"S05"
"HKB0098_3000_N"	"S05"
"HKB0102_3000_N"	"S05"
"HKB0106_3000_N"	"S05"
"HKB0109_3000_N"	"S05"
"HKB0115_3000_N"	"S05"
"HKB0121_3000_N"	"S05"
"HKB0122_3002_N"	"S05"
"HKB0123_3000_N"	"S05"
"HKB0124_3000_N"	"S05"
"HKB0129_3002_N"	"S05"
"HKB0132_3000_N"	"S05"
"HKB0133_3000_N"	"S05"
"HKB0137_3000_N"	"S05"
"HKB0143_3000_N"	"S05"
"HKB0150_3000_N"	"S05"
"HKB0155_3003_N"	"S05"
"HKB0157_3000_N"	"S05"
"HKB0158_3000_N"	"S05"
"HKB0159_3000_N"	"S05"
"HKB0160_3001_N"	"S05"
"HKB0161_3000_N"	"S05"
"HKB0162_3000_N"	"S05"
"HKB0167_3000_N"	"S05"
"HKB0179_3000_N"	"S05"
"HKB0186_3002_N"	"S05"
"HKB0196_3000_N"	"S05"
"HKB0198_3000_N"	"S05"
"HKB0207_3000_N"	"S05"
"HKB0210_3000_N"	"S05"
"HKB0211_3000_N"	"S05"
"HKB0214_3000_N"	"S05"
"HKB0219_3000_N"	"S05"
"HKB0221_3000_N"	"S05"
"HKB0222_3000_N"	"S05"
"HKB0226_3000_N"	"S05"
"HKB0227_3000_N"	"S05"
"HKB0571_3000_N"	"S05"
"HKB0574_3000_N"	"S05"
"HKB0577_3000_N"	"S05"
"HKB0583_3000_N"	"S05"
"HKB0597_3000_N"	"S05"
"HKB0618_3000_N"	"S05"
"HKB0636_3000_N"	"S05"
"HKB0657_3000_N"	"S05"
"HKB0663_3000_N"	"S05"
"HKB0666_3000_N"	"S05"
"HKB0672_3000_N"	"S05"
"HKB0710_3001_N"	"S05"
"HKB0718_3001_N"	"S05"
"HKB0719_3001_N"	"S05"
"HKB0722_3001_N"	"S05"
"HKB0744_3001_N"	"S05"
"HKB0748_3001_N"	"S05"
"HKB0751_3001_N"	"S05"
"HKB0023_3006_T"	"S06"
"HKB0038_3006_T"	"S06"
"HKB0049_3006_T"	"S06"
"HKB0086_3006_T"	"S06"
"HKB0101_3000_T"	"S06"
"HKB0158_3006_T"	"S06"
"HKB0161_3001_T"	"S06"
"HKB0191_3001_T"	"S06"
"HKB0208_3006_T"	"S06"
"HKB0209_3004_T"	"S06"
"HKB0576_3000_T"	"S06"
"HKB0665_3000_T"	"S06"
"HKB0701_3000_T"	"S06"
"HKB0737_3000_T"	"S06"
"HKB0004_3006_T"	"S07"
"HKB0005_3001_T"	"S07"
"HKB0036_3006_T"	"S07"
"HKB0056_3002_T"	"S07"
"HKB0065_3006_T"	"S07"
"HKB0084_3000_T"	"S07"
"HKB0091_3001_T"	"S07"
"HKB0125_3006_T"	"S07"
"HKB0134_3006_T"	"S07"
"HKB0157_3006_T"	"S07"
"HKB0182_3006_T"	"S07"
"HKB0210_3006_T"	"S07"
"HKB0211_3002_T"	"S07"
"HKB0644_3000_T"	"S07"
"HKB0659_3000_T"	"S07"
"HKB0677_3000_T"	"S07"
"HKB0016_3006_T"	"S08"
"HKB0159_3006_T"	"S08"
"HKB0179_3006_T"	"S08"
"HKB0196_3006_T"	"S08"
"HKB0214_3006_T"	"S08"
"HKB0558_3000_T"	"S08"
"HKB0564_3000_T"	"S08"
"HKB0599_3000_T"	"S08"
"HKB0638_3000_T"	"S08"
"HKB0748_3000_T"	"S08"
"HKB0088_3000_T"	"S09"
"HKB0079_3000_N"	"S09"
"HKB0164_3000_N"	"S09"
