"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"HKB0004_3006_T"	5.3991341769999e-15	0.029061295983937	0.00724060834846463	0.00769617857543097	5.3991341769999e-15	0.0289027390895003	0.575097815401033	0.0345643294878739	0.0286539263278685
"HKB0005_3001_T"	6.0098120480531e-15	6.0098120480531e-15	0.0146021245248835	0.00183619416031559	6.0098120480531e-15	0.0323077530006676	0.449556448318115	0.143083720157646	0.0390396712621097
"HKB0006_3006_T"	0.0030357058132336	0.00869491972159694	0.00354037539639294	6.84826328917851e-15	6.84826328917851e-15	0.012817977793625	0.0118694222413153	0.0847720498720767	0.109618352503638
"HKB0007_3005_T"	0.055845295468443	0.0324191381775427	0.303037369678709	0.0264463734880223	7.9243456502127e-15	0.130419090844008	0.0522584470152435	0.124590687827126	0.085273381432109
"HKB0008_3006_T"	0.132929170407407	0.193777630589597	0.0944456807883413	0.124179939294546	9.90289940581924e-05	0.158104468422059	7.14617969334166e-15	0.136625741679393	0.0956346219387973
"HKB0016_3006_T"	0.0940664126284923	0.133673942084581	0.151218907113299	0.0245819253478512	8.51405219412282e-15	0.116606077174509	8.51405219412282e-15	0.159858583785282	0.0888497501529861
"HKB0019_3006_T"	6.61627753783704e-15	6.61627753783704e-15	0.0627843861560154	0.0913829058099436	6.61627753783704e-15	0.149133380266358	0.215800312622249	0.00458187320863207	6.61627753783704e-15
"HKB0023_3006_T"	0.00176849454162615	0.0403984101897334	0.0277780717567476	1.40974230270827e-11	1.00730090126085e-14	0.342809053370974	0.148653864043648	0.0679263023817437	0.16252330218139
"HKB0031_3001_T"	0.110673127461611	0.223130671381608	0.0369871353679256	0.133951813056587	0.00150661513461151	0.0314458257103635	7.20267136591799e-15	0.0876075815087086	0.0290495419551389
"HKB0033_3006_T"	7.95770620424579e-09	0.327137067614081	0.0105536804168728	0.0764782117859589	0.00251189990100535	0.200565428803186	0.00232103735293272	0.170380236049711	1.29011302891671e-11
"HKB0035_3006_T"	0.0155631718875892	7.75268485322708e-15	0.0595785836264064	7.75268485322708e-15	7.75268485322708e-15	0.0126508902988481	0.0603656317924276	0.116804172634893	0.0524889365458288
"HKB0036_3006_T"	6.57606088312919e-15	6.57606088312919e-15	0.0632267951391988	0.0207237143113229	6.57606088312919e-15	0.108524151192654	0.497602564310709	0.0654030879357803	6.57606088312919e-15
"HKB0038_3006_T"	7.34817936560065e-15	0.068762640365006	0.0784846258928689	0.089169372634306	7.34817936560065e-15	0.303634953265579	0.114007632887889	0.0481040646115917	0.0726298386991346
"HKB0040_3002_T"	0.378939562825122	0.000130517719867124	0.343974764984622	0.0510163296039138	4.1021551755141e-15	0.0143614427387941	0.149872895054329	0.00988164118729752	0.00425494508070805
"HKB0044_3006_T"	0.0255361051888505	0.0415370702755696	0.315495080209829	5.86170347089035e-15	5.86170347089035e-15	0.0201963119780045	0.259519187385038	0.000202238818441945	0.0469836066938351
"HKB0049_3006_T"	0.0579821035870431	0.147851739900242	0.0491630387296351	0.22250538508123	0.0337649929406155	0.232025296529096	0.0152931463097241	0.0682867014859077	0.0936421211143287
"HKB0050_3005_T"	0.15804121162415	7.49045429557388e-15	0.291630541829161	7.49045429557388e-15	7.49045429557388e-15	0.00562227389906464	7.49045429557388e-15	0.0186516187623971	0.073967622092748
"HKB0052_3000_T"	0.200302792663439	0.0649630260182411	0.0457280242579426	1.08204501972075e-14	0.0777859819043827	0.131773055511761	1.08204501972075e-14	0.0443596808338051	0.160706163624346
"HKB0054_3000_T"	0.357291598075728	0.108138301358345	0.172689242116718	0.0536149096125807	0.00309496323677317	0.0511745382893609	0.0264686131559406	0.0356777796883649	0.0790691418665738
"HKB0056_3002_T"	5.56845523291552e-15	5.56845523291552e-15	0.237149485022915	0.0595866672601687	5.56845523291552e-15	0.0369775657462116	0.358798898637789	0.0860717133112783	0.0210330050159842
"HKB0064_3004_T"	0.0988135980974798	0.329211307868083	0.0359042839796949	0.327187712939454	5.86660195663831e-15	0.00773444097331948	5.86660195663831e-15	0.0351062267258749	0.114789868600463
