"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"HKB0004_3006_T"	1.03130807817632e-14	0.160923804305641	3.8641065004298e-14	0.218178799049793	0.144984860983449
"HKB0005_3001_T"	1.10628535279179e-14	0.158695373425779	1.10628535279179e-14	0.187070936789193	0.0840056986018057
"HKB0006_3006_T"	1.00288146316111e-14	3.20630640320013e-08	1.00288146316111e-14	0.356615727894112	0.0720944093039785
"HKB0007_3005_T"	1.29432666183184e-14	0.215790374856285	0.054065358535114	0.187304333478761	0.14994024232902
"HKB0008_3006_T"	1.41961511856509e-14	0.370812278373231	0.217790784958967	0.154137669667149	0.0597485182825731
"HKB0016_3006_T"	1.47835287981558e-14	0.116394538850132	0.092659113481028	0.225236947105095	0.0890599647672263
"HKB0019_3006_T"	1.19928786140348e-14	0.291808904403525	1.19928786140348e-14	0.0866694164551601	0.0827978732411773
"HKB0023_3006_T"	1.36206490463673e-14	0.535581732109357	0.000380344453684535	0.177257773633907	0.0898645643186304
"HKB0031_3001_T"	1.26097871777381e-14	0.0993324993550672	0.0785559917195689	0.118709150797991	0.124093405312665
"HKB0033_3006_T"	0.0251888826588919	0.404802553509372	0.106505706717587	0.101506061815079	0.108681928175097
"HKB0035_3006_T"	1.2581526087559e-14	0.0126547088679011	0.0164670954586022	0.174390564661757	0.103177157650346
"HKB0036_3006_T"	1.01581881292605e-14	0.223483822094878	0.00171385646973143	0.119307757953443	0.244415939148768
"HKB0038_3006_T"	1.21826519152273e-14	0.48135178758353	0.00221960088446732	0.0343965403734294	0.12170897073234
"HKB0040_3002_T"	1.09784200417342e-14	0.00904672980078701	0.546797548106872	0.122364373445069	0.0243613735926232
"HKB0044_3006_T"	1.0461818610081e-14	0.0269076467052173	0.0731607444775824	0.141534813696668	0.239769309676674
"HKB0049_3006_T"	0.132892387404012	0.389663383310204	0.24116461054395	0.0563981308135235	0.0797978340254848
"HKB0050_3005_T"	1.3325156683344e-14	0.0296572004885382	0.130631056741768	0.0199268510427018	0.00861629657591406
"HKB0052_3000_T"	0.170639284699647	0.274943452159751	0.287791977910269	0.113433158882917	0.126788967940604
