"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"HKB0004_3006_T"	0.0135273358787361	8.78760690253325e-15	0.021877735821288	8.78760690253325e-15	0.0374792541398607	0.0287443715953294	8.20504296372102e-09
"HKB0005_3001_T"	0.00281383099686025	1.3296295016359e-05	0.0083288782964714	9.41333325965334e-15	0.0778098672673332	0.0821810680032483	0.0519167765641087
"HKB0006_3006_T"	1.07951845052651e-14	1.07951845052651e-14	0.00384057217480389	1.07951845052651e-14	0.0456339233514033	0.0344402398543803	1.07951845052651e-14
"HKB0007_3005_T"	0.14864152018173	0.0922844243170666	0.0466399293703078	1.11697098503488e-14	0.00941889942570228	0.0591709944034284	0.0405004395491236
"HKB0008_3006_T"	0.103085761994717	0.118894954041761	0.0615482875616632	0.0232139270745015	0.0288403060266891	0.12892620778059	1.29192810201062e-14
"HKB0016_3006_T"	0.0578051311918387	0.142395550789221	0.0207174255483817	1.20221230636803e-14	0.0210302300014701	0.126211361453463	0.113369858156524
"HKB0019_3006_T"	0.0219915693789533	1.18855415882216e-14	0.0194903315810639	1.18855415882216e-14	0.0718099120126799	0.0386066679521574	1.18855415882216e-14
"HKB0023_3006_T"	0.010130123580971	0.0172642981722149	0.0140892746842501	1.36912951397053e-14	0.106347145884825	0.0918014119867535	0.00534449428955436
"HKB0031_3001_T"	9.51713687168475e-14	0.0210907836934027	0.0242053086072504	1.52226352585797e-14	0.0120931177117119	0.0341422002521762	0.0512483427353773
"HKB0033_3006_T"	0.0011007855597032	0.00544121087533193	1.9669127731334e-14	0.00178080226067442	0.0895220084680697	0.144847509566031	0.0318402072634721
"HKB0035_3006_T"	0.0915282904259269	0.103556096971785	0.110850942312606	1.05077350433201e-14	0.0661355270337977	0.0413230962600531	0.00873512412674417
"HKB0036_3006_T"	0.0313806715083644	8.11114329061343e-15	0.00892049871478056	8.11114329061343e-15	0.0474008773087445	0.0237669728622888	0.034585526950859
"HKB0038_3006_T"	1.85165566377981e-10	0.000474409430459234	1.54771119936521e-14	1.54771119936521e-14	0.0110608445803901	1.54771119936521e-14	0.0864574435316522
"HKB0040_3002_T"	0.26183104531013	0.389982643594114	0.0212235159855138	5.89497114126498e-15	0.0334584412688066	0.0456109096597898	0.0101515760176058
"HKB0044_3006_T"	0.270563379292505	0.0919472169515184	0.100921480044698	8.79078026816237e-15	0.00704233469020672	8.79078026816237e-15	8.79078026816237e-15
"HKB0049_3006_T"	0.0521621608205773	0.0865122650496687	1.61912859805304e-14	0.0286406215693644	0.0339315745970257	0.1497419802188	1.61912859805304e-14
"HKB0050_3005_T"	0.25215197573867	0.268444255533477	0.0239640973268536	1.02170481221971e-14	0.00884891339138891	1.02170481221971e-14	0.0182462866331402
"HKB0052_3000_T"	0.0332644063358607	0.367962484060311	0.0262940222305899	0.0645884053259128	0.00202971889198276	0.0899031539621811	0.0327498971866547
"HKB0054_3000_T"	0.142477405660295	0.408815898747979	0.001821166569511	0.0156788414735247	0.0299904188989712	0.0234420182632794	0.015922838288185
"HKB0056_3002_T"	0.140107615817726	0.0210759791022389	7.99216608645439e-05	1.10024047114404e-14	2.93677919585192e-10	0.104648906415235	0.0366505226755431
"HKB0064_3004_T"	0.0261916007459901	0.0448457789191714	0.135823642332248	0.0320226424662498	1.55880471990198e-14	0.0608002733051473	6.44590930842899e-06
"HKB0065_3006_T"	0.121860322033103	0.057755362252568	0.00106993618654227	1.1845134690383e-14	0.0982653109729014	0.055128410388094	1.1845134690383e-14
"HKB0067_3006_T"	0.105705793398057	0.131643127516368	1.68421169710816e-14	1.68421169710816e-14	0.00563284208079159	0.0735284667941605	0.0617946298325163
"HKB0069_3000_T"	0.206795278855989	0.204040508986574	0.115415950560329	9.25632279972111e-15	0.0279104164105696	0.047101581409913	9.25632279972111e-15
"HKB0070_3002_T"	0.0191644979626011	0.00853274100775073	0.00882903525604616	0.00751693760566902	0.0222300373171181	0.0267945750476864	1.6120953009477e-14
"HKB0074_3000_T"	0.0923853279654675	0.43973417497296	0.00510307759978667	0.0228823338624997	0.129124511780779	0.0237455397792679	0.0747751227314419
"HKB0078_3000_T"	1.30069495766975e-14	0.0186559078298045	1.30069495766975e-14	1.30069495766975e-14	0.0412030350732562	0.133288074088033	0.0716236864683717
"HKB0079_3006_T"	0.254342066522985	0.150894630532347	2.17478828800764e-13	9.37203333573678e-15	0.00821418362669792	0.0184629188407986	0.0466576644099904
"HKB0080_3006_T"	0.0222951935782395	1.2580118801144e-14	0.0499975640761293	1.2580118801144e-14	0.00849750357546713	0.041917835969116	4.02856151164015e-10
"HKB0082_3006_T"	0.361637456696514	0.103977514689418	0.0505985176273638	1.01531424432734e-14	0.0231002183220734	0.00680458724518387	0.00565723813382655
"HKB0084_3000_T"	0.179417009915799	0.0808459445604507	0.00149848362388022	1.1882898143512e-14	1.1882898143512e-14	0.183732591519948	1.1882898143512e-14
"HKB0086_3006_T"	0.0191349574140998	1.43174115841155e-14	0.0262553374615711	1.43174115841155e-14	1.43174115841155e-14	0.145886734914609	0.0120935519213193
"HKB0088_3000_T"	0.1037735662011	0.0334725272035574	0.0499510406279943	0.0234865206057487	0.0198891822366253	0.134141771375218	9.65148448510167e-11
"HKB0089_3001_T"	0.12433477858875	0.111072876365562	0.118314397578964	1.26608149296354e-14	0.0113284868064248	1.26608149296354e-14	0.102031459636257
"HKB0091_3001_T"	0.19909987183224	0.0801787930860902	0.0379434151760005	8.05850094260986e-15	0.238935310814494	0.0361726748838658	8.05850094260986e-15
"HKB0092_3000_T"	0.000935210159837168	6.4589260409327e-15	0.0135969126712687	6.4589260409327e-15	0.0562126183258439	0.0597295204629157	0.0124662890478986
"HKB0094_3006_T"	0.112288446510381	0.252597200828066	0.0144521617949879	1.07492992244774e-14	1.07492992244774e-14	0.077567185412666	1.07492992244774e-14
"HKB0096_3001_T"	9.99565470343352e-15	9.99565470343352e-15	0.0643467683868245	9.99565470343352e-15	9.99565470343352e-15	0.00565260726036434	0.0291266489241806
"HKB0097_3000_T"	1.60636378934515e-14	0.0556263085497733	1.60636378934515e-14	0.00226324970232366	1.60636378934515e-14	1.60636378934515e-14	1.60636378934515e-14
"HKB0098_3005_T"	0.136858498187775	0.138713442445173	5.49525247063096e-09	1.16668988241055e-14	0.150573960178413	0.0347776250155287	0.0298978226351089
"HKB0100_3006_T"	6.39370753760593e-15	0.0128949363386085	0.00449122733725239	6.39370753760593e-15	0.00353713009779886	0.0266388661954982	0.000245906661095314
"HKB0101_3000_T"	0.0472838296950742	0.162917201289843	0.109131115429187	1.54486731686273e-14	0.0091347823985819	0.13260382564013	1.54486731686273e-14
"HKB0102_3006_T"	0.00707305651204174	0.001438192168048	1.80923475830975e-14	8.91108599199549e-05	0.0531775075631223	0.0562175657507051	0.0693804517220556
"HKB0104_3006_T"	8.60871590823517e-15	0.0263015523223537	0.0550333783304016	8.60871590823517e-15	8.60871590823517e-15	0.0819803648503905	0.0386767454545008
"HKB0106_3006_T"	1.69032550805235e-14	0.00751716972566931	0.111866194274859	1.69032550805235e-14	0.00461579966649659	1.69032550805235e-14	0.0065711733878683
"HKB0108_3000_T"	1.14978189280176e-14	1.14978189280176e-14	0.0122544477204422	1.14978189280176e-14	0.012792236474359	0.00168553605365119	0.0486098778833327
"HKB0109_3006_T"	0.0179654683169058	0.00316158607094319	0.00242386206416504	1.53305411253881e-14	0.012581531863656	0.0173425538106972	1.53305411253881e-14
"HKB0115_3006_T"	0.111701792761859	0.185504954502954	1.35821812151503e-14	1.35821812151503e-14	0.0370955623780707	0.0339003550533509	0.00597842410914905
