"ID"	"S01"	"S02"	"S03"
"HKB0004_3006_T"	0.231454154814893	0.0338209367414813	0.187679560480537
"HKB0005_3001_T"	0.142008334980719	9.64660315725933e-15	0.157927547192291
"HKB0006_3006_T"	0.142510380626131	0.00550592101748925	0.0142992184145607
"HKB0007_3005_T"	0.304945780559897	1.25020132912404e-14	0.288953806931758
"HKB0008_3006_T"	0.270150588634861	0.00591517454918217	0.422864212434372
"HKB0016_3006_T"	0.27185625638	1.47380820674202e-14	0.303159996634904
"HKB0019_3006_T"	1.11168762206804e-14	0.0590631072792575	0.382651442116383
"HKB0023_3006_T"	0.30811965673446	1.11225767999148e-14	0.245647224729838
"HKB0031_3001_T"	1.45723723744024e-14	1.45723723744024e-14	0.269380567620801
"HKB0033_3006_T"	0.198341668562243	0.0149057455234554	0.358459670489123
"HKB0035_3006_T"	0.175698464093345	1.41892059569663e-14	0.0327334573880414
"HKB0036_3006_T"	0.126756256154609	0.0368055339011611	0.331637982177747
"HKB0038_3006_T"	0.0547681209729189	1.41584801525201e-14	0.514225483295075
"HKB0040_3002_T"	0.175521377120106	7.67725506499008e-15	0.722268465400362
"HKB0044_3006_T"	0.0915053386220877	0.0179435297234104	0.187045400901435
"HKB0049_3006_T"	0.0570378082511651	0.211018721427674	0.504133806387587
"HKB0050_3005_T"	0.663872468817132	7.68887191659795e-15	0.106799044069499
"HKB0052_3000_T"	0.0747626310804479	0.365630080010372	0.21875378706125
"HKB0054_3000_T"	0.166936921055785	0.125665921706908	0.662866580743467
"HKB0056_3002_T"	0.00360843217003889	1.20600668526347e-14	0.400721744880415
"HKB0064_3004_T"	0.35335656160949	0.0783479909313466	0.372147195400015
"HKB0065_3006_T"	0.00269489709608704	0.025512836470372	0.464128853269298
"HKB0067_3006_T"	0.0382639886789046	1.69822164274421e-14	0.369597959574559
"HKB0069_3000_T"	0.0752570979923855	0.056996838794932	0.60955870928629
"HKB0070_3002_T"	0.162481358733482	1.48380599751267e-14	0.142886353018375
"HKB0074_3000_T"	0.152714701163583	0.44300396375301	0.279060395890084
"HKB0078_3000_T"	0.0897507606949017	1.4395001894404e-14	0.172256149898975
"HKB0079_3006_T"	0.105976045203823	0.0283646578748691	0.408296630761777
"HKB0080_3006_T"	1.43293883063351e-14	1.43293883063351e-14	0.0245313242020956
"HKB0082_3006_T"	0.114091701233212	1.2582965393204e-14	0.467072118546551
"HKB0084_3000_T"	0.0133766144396918	0.0221587350918323	0.515577744277073
"HKB0086_3006_T"	0.203764832554993	1.41737703015517e-14	0.303989369503641
"HKB0088_3000_T"	0.0971045569284947	0.0820864199449696	0.470869177230547
"HKB0089_3001_T"	1.46912113761138e-14	0.189529097311052	0.227193100978243
"HKB0091_3001_T"	0.0629183106718511	1.20920509060075e-14	0.472484621054689
"HKB0092_3000_T"	0.213969116556454	9.3197764065402e-15	0.145771361459291
"HKB0094_3006_T"	0.200986974582254	0.0711501370626642	0.141172639212421
"HKB0096_3001_T"	0.0328308731347351	1.11637896108433e-14	1.11637896108433e-14
"HKB0097_3000_T"	0.173927186309942	0.0541389018532492	0.0266760101111766
"HKB0098_3005_T"	0.0941314899562324	1.62318827081995e-14	0.46812240415326
"HKB0100_3006_T"	0.300919816005026	0.0243041217834659	0.036357693298002
"HKB0101_3000_T"	1.90063077451271e-14	0.00356398799054644	0.460826657637186
"HKB0102_3006_T"	0.0383174467778729	0.0748224284844813	0.180500035874355
"HKB0104_3006_T"	8.3377950496651e-15	8.3377950496651e-15	8.3377950496651e-15
"HKB0106_3006_T"	0.0073020091436255	0.119184262615399	0.0341639146960765
"HKB0108_3000_T"	0.234228297509251	9.35413584630641e-15	9.35413584630641e-15
"HKB0109_3006_T"	0.0577648764354107	1.47885921345241e-14	0.0338464877748928
"HKB0115_3006_T"	0.327596656840301	1.54540469750349e-14	0.117477736453684
"HKB0120_3000_T"	0.018483915116328	0.413581969431808	0.43247514847395
"HKB0121_3006_T"	0.113311414625896	1.5719668920506e-14	0.139169959621719
"HKB0123_3006_T"	1.6871940282742e-14	1.6871940282742e-14	0.167981931569758
"HKB0124_3003_T"	0.0425829554523883	0.148940057900545	0.0631605501245703
"HKB0125_3006_T"	0.190220199245904	8.78402156856456e-15	0.21488548173321
"HKB0127_3006_T"	0.28649055279425	0.0306222684170393	0.104827908088725
"HKB0129_3000_T"	0.247318058682753	0.445481518161295	0.197545365055313
"HKB0132_3006_T"	0.133036601992092	1.33939534968856e-14	0.0103731468286565
"HKB0134_3006_T"	0.314890476682318	8.97613233668622e-15	0.455916667228282
"HKB0137_3002_T"	0.595276745304463	8.27672630211035e-15	0.078523599630211
"HKB0141_3006_T"	0.151952207320511	5.4096755934485e-10	0.131031337670992
"HKB0143_3006_T"	0.198971676198263	0.0554478786617034	0.473127943351211
"HKB0147_3000_T"	0.038499887330235	1.07637526693133e-14	0.15083521632059
"HKB0150_3006_T"	0.211256207234905	7.63602234152325e-15	7.63602234152325e-15
"HKB0155_3000_T"	0.347041408528884	0.17365031488736	0.315176237303661
"HKB0157_3006_T"	0.101718490655469	0.0240343949693157	0.181139629141979
"HKB0158_3006_T"	1.4478571150181e-14	0.0447756605098173	0.417423425534887
"HKB0159_3006_T"	0.174216306805044	1.30750336005353e-14	0.14063592582139
"HKB0160_3000_T"	1.11224580739261e-14	0.69852390483796	0.0328130311665854
"HKB0161_3001_T"	0.0922294840140394	0.376365094238382	0.190313222599817
"HKB0162_3006_T"	1.37441419096126e-14	0.0877911946153165	0.357501738457021
"HKB0164_3006_T"	0.135760987246153	0.0280636773942901	0.483906240997381
"HKB0167_3006_T"	0.0390511574889769	9.40852423015037e-15	0.823379674115118
"HKB0168_3006_T"	0.251563879109815	0.00427803730834204	0.153136782688529
"HKB0179_3006_T"	2.22620379368934e-14	0.0182892884042662	0.321841255801433
"HKB0182_3006_T"	0.0157477500148696	0.0724512204175304	0.434844867989867
"HKB0186_3000_T"	0.00866324140830542	0.362492838710168	0.605426042461494
"HKB0191_3001_T"	1.63232142949055e-14	1.63232142949055e-14	0.488030976039679
"HKB0194_3006_T"	0.0872329978516899	1.18448212940679e-14	0.443834530383479
"HKB0196_3006_T"	0.0707436187250322	0.0234752032086544	0.035909660230762
"HKB0207_3001_T"	0.0593736540957641	0.160753239912819	0.359469894997294
"HKB0208_3006_T"	1.84110430555085e-14	0.134269984196894	0.335362550693479
"HKB0209_3004_T"	0.3475534711538	0.0010541902248184	0.42284820928787
"HKB0210_3006_T"	0.369114542743031	0.0157647236061641	0.0269154954566844
"HKB0211_3002_T"	0.426560903182386	0.0169436133928725	0.122726451765579
"HKB0214_3006_T"	0.193837927615444	0.00376194104290537	0.245881896511979
"HKB0217_3005_T"	0.0291315276676863	1.18568685468919e-14	0.0684844230381639
"HKB0219_3001_T"	0.216057677570878	0.0511239862066419	0.135290551978624
"HKB0220_3000_T"	0.047603347763282	0.0313390041034346	0.698193465570422
"HKB0221_3001_T"	0.0916223587238396	1.81051602246357e-14	0.313187994834301
