"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"HKB0004_3006_T"	0.060449249381971	0.496455222408049	0.047844677403267	0.0903900327087859	0.130092224655747	0.0129714317426518	0.0403965595340988	0.058949017381912	0.0562171714041795	0.00623441337933828
"HKB0005_3001_T"	0.0858197586452342	0.39707615346071	0.0645516186551096	0.0488221373061329	0.112066810110957	0.00276338958502972	0.122335013774258	0.0707524136432363	0.0950671973057686	0.00074550751356322
"HKB0006_3006_T"	0.0242554295714701	0.0144146688080737	0.00103237718923477	0.0507670305504399	0.375379202458178	0.00108466464334102	0.118956149450958	0.407872234249896	0.00179845189448644	0.00443979118392272
"HKB0007_3005_T"	0.167280026979981	0.054684034624421	0.0624662950168873	0.0458872861324812	0.101093603302861	9.40131469034484e-05	0.107274269435881	0.0913913838024564	0.233928213750221	0.135900873807906
"HKB0008_3006_T"	0.25418083826537	0.0130239246354866	0.155365629563795	0.0235552720656607	0.0348345068657551	0.01017174116068	0.13395560748769	0.144322373398915	0.122420612141612	0.108169494415035
"HKB0016_3006_T"	0.157783192836103	0.0051628800802775	0.0535516872136523	0.0543074442444629	0.15080400552276	0.00121609415708429	0.130433082381062	0.166251549443789	0.152352034882843	0.128138029237966
"HKB0019_3006_T"	0.208778313196778	0.349355398262635	0.117286314431467	0.0622137404734202	0.0763835978558958	0.0139885845462576	0.0468641956259898	0.0222706770751776	0.0986623122045637	0.00419686632781462
"HKB0023_3006_T"	0.371447469968467	0.159142716993858	0.0148943335692056	0.049962577484576	0.084502147034748	0.00513545670182658	0.1045543283406	0.130977666492429	0.0277333784325918	0.0516499249816983
"HKB0031_3001_T"	0.115311849229396	0.0098552125173797	0.214623182084939	0.104095054327638	0.131547811442583	0.00276774601159719	0.0710720373910452	0.192745519391429	0.0944203841036913	0.0635612035003015
"HKB0033_3006_T"	0.315660374580782	0.0237186459611967	0.147297751142298	0.0637079957861749	0.0999572438931932	0.0122799446826666	0.129158367332313	0.183986751229971	0.0187127837903887	0.00552014160101607
"HKB0035_3006_T"	0.0388369551447974	0.0319267096640526	0.00901301096540251	0.0779320634826038	0.145333844943885	1.83199936340275e-14	0.0859849033003349	0.2362758167186	0.19031668729063	0.184380008489675
"HKB0036_3006_T"	0.143190778322942	0.394189869015786	0.0315546701009795	0.129108556541096	0.0759093705048994	0.0106775336547676	0.0531932998114907	0.0458509683783531	0.114033841860495	0.00229111180918984
"HKB0038_3006_T"	0.444533500763168	0.166448329669122	0.0933749015733177	0.0849495582690664	0.0485948678061893	1.48231430045556e-14	0.0351084593353398	0.0632271818844828	0.057176914242358	0.00658628645694117
"HKB0040_3002_T"	0.0792128201718305	0.0591354403576598	0.0584804394094913	0.034828816560048	0.0567680949464632	5.73917667913611e-15	0.0294605000470472	0.0192227546146994	0.290351649167245	0.37253948472551
"HKB0044_3006_T"	0.0381657082293201	0.183915741093592	0.0631503082227428	0.0890905500853766	0.0447170761953825	0.00215601039356562	0.0246498923825782	0.0692324381750804	0.351897990838717	0.133024284383645
"HKB0049_3006_T"	0.325771321844657	0.0186233413824966	0.160860944152473	0.0321348120621549	0.0269605341248365	0.0858498622628655	0.083273793527705	0.0997160472115967	0.0697282544755014	0.0970810889557127
