"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0019_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0074_3000_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0092_3000_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0097_3000_T"	"HKB0098_3005_T"	"HKB0100_3006_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0104_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0121_3006_T"	"HKB0123_3006_T"	"HKB0124_3003_T"	"HKB0125_3006_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0150_3006_T"	"HKB0155_3000_T"	"HKB0157_3006_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0233_3006_T"	"HKB0540_3000_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0626_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0659_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0677_3000_T"	"HKB0683_3000_T"	"HKB0692_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0704_3000_T"	"HKB0710_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0044_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0079_3000_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0127_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0134_3000_N"	"HKB0137_3000_N"	"HKB0141_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0168_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0216_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0225_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0233_3000_N"	"HKB0538_3000_N"	"HKB0562_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0648_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"
"S01"	5.5305649685154e-15	6.11129478243515e-15	0.0042358688754004	0.0433720845570154	0.1235785048081	0.0829883340955946	6.76929939691748e-15	3.27428452096907e-10	0.118732009762256	2.25359268935981e-09	0.00984028484720046	6.57740938386451e-15	7.42232431655678e-15	0.419475462096991	0.0169146638063141	0.0447796222471914	0.162448037175485	0.192692703250413	0.391422126692325	5.56898897987233e-15	0.07204154892319	5.41410415119478e-15	0.146850823511252	0.161671236642995	0.0594161405412378	0.485043848002977	8.59964471122628e-15	0.0872230645985461	7.87778133094597e-15	0.0516534692221068	6.96353046937686e-15	0.00884220223694522	0.0453869324260406	0.0513528115248138	0.0370765279033717	7.80063469663956e-15	0.119875516821778	7.04030648546211e-15	0.0103206541896437	0.116709959053103	5.03751891759682e-15	0.0711144023013923	0.006046657527384	5.04736990781869e-15	8.26242950451262e-15	6.36675176479639e-15	8.86244149581721e-15	0.0557720226246723	0.226732881975375	8.14097002265833e-15	9.21494237624191e-15	9.87133424328777e-15	5.74778194061283e-15	0.20016146585069	0.302166124230925	0.0258075006235699	0.0313945087195722	4.4936664704947e-08	0.00734709659022485	0.0247434385935717	0.00548488929872764	4.86725152527955e-15	0.213399729928344	0.00274436929091383	0.104787524334387	7.76428051909005e-15	7.57435332745482e-15	0.14007859955456	0.13333995197364	0.126433800847618	0.162160863142573	0.00462976091542269	4.15674245471921e-08	0.00236902144637244	0.321825336797163	0.0520571945745312	0.146227070512385	9.19956416488943e-15	0.243892290353848	0.0430934341334106	6.83355647254021e-15	1.91079837343123e-11	0.00983841298100124	0.123917937545311	7.29254933191394e-15	9.88014542787947e-15	0.32200215811798	0.060105635082433	0.013702885681077	6.7702895471306e-15	9.3429385343973e-15	0.0430717326676291	9.05339020745547e-15	8.7026530984488e-15	6.23923850111602e-15	0.00240642314706737	7.50789646865682e-15	0.001888222943737	0.0134920429821633	0.0309657328218313	0.379947525595423	0.0354292847872605	0.315303613549506	6.90535998525298e-15	7.22834177567453e-15	0.0425736026546101	0.0433219875830606	6.47723527044521e-15	7.2838333335956e-15	0.000159364864047206	5.24443907126258e-15	0.14132852761462	8.53712621105167e-15	9.03355529215486e-15	0.173723287938862	8.20484679716306e-15	0.0176228776258067	0.35815622060941	7.51647876323755e-15	0.11480696926235	0.00191114864467733	0.0125072932365586	6.63794803468754e-15	5.78824954470056e-15	0.055482474737925	7.45285223399679e-15	0.0556452801406318	0.0953919986388149	0.00112921082648409	6.77466711451463e-12	8.72593592207193e-15	8.91329970312846e-15	0.484457297605051	0.0741783852180761	7.51710364615888e-15	0.0242246298891316	0.030855730387338	0.334642948213356	0.118915815988247	0.0803935455668196	0.0545480080085531	0.0636086615951656	0.0133671446401208	0.0507002459691747	0.0182977669196001	0.0221337992499801	0.0182961748426702	0.0980190213373893	0.142699711749563	0.0143476767997228	0.124966548093932	0.0457406600989068	0.104973121733424	6.75465039771026e-15	0.0694719136131387	0.0415770072885989	0.0318147607735743	0.051173251598846	6.95576825107763e-15	0.0687476539642199	0.0488606311439975	0.0328432174772543	0.0163569490147508	0.127889159196274	0.0136300538096337	0.0283076694362465	0.0116755534862537	9.68153922779267e-15	6.69793646650538e-15	0.00389783837383192	9.80334739499048e-15	0.0339578225427318	0.0162786732108093	0.0134882699657194	8.10889503873507e-15	0.0307624104193158	9.23383092117888e-15	0.00244103824678066	1.2448615109165e-14	1.25247160699453e-14	7.02588350380668e-15	0.0268302234056521	0.0627617168467317	0.0196284934498749	0.0307155186247742	7.1067694629007e-15	0.0539996002052685	1.16819710241323e-14	0.0973090706551658	0.0145489328073436	0.0394777923919499	0.0532066200756566	0.0417642472969128	0.0454030896028817	0.11715729271274	0.0405516200301494	0.0158936740779027	0.116177590005684	0.0479802826863103	0.0278567140069399	0.183429814154001	0.0751081528006212	0.1018762080654	0.0495598004225704	0.0546317360359016	1.00243312997709e-14	0.0164451381702699	0.0136305000656215	0.0873172847597877	0.0186353170719344	0.041144043500449	0.0804720254087991	0.0866450710024842	7.84408400993776e-15	0.071772425799589	0.0465938850894839	0.0936015506787844	0.178683166594399	0.0876719509179744	0.0128746527697	0.0159937628634468	8.29827684084397e-15	0.110655670117102	0.0248813879615584	0.093727567462014	0.00631718361540012	0.0177494685641802	0.0146418090970929	0.0721682316695891	9.35917259589446e-15	0.0430310773860582
"S02"	0.0293693987996102	6.11129478243515e-15	0.00435347707292212	0.0162929174824744	0.223341311493976	0.141545996688546	6.76929939691748e-15	0.0350794696265413	0.260922902408232	0.323547470380223	8.0123872897456e-15	6.57740938386451e-15	0.0592749445500892	1.65448926600075e-11	0.0312991983642015	0.160790247427146	7.52972749122078e-15	0.0621026235343181	0.0987671042573078	5.56898897987233e-15	0.38107057643852	5.41410415119478e-15	0.25611379480686	0.08216522164565	0.172885238192022	1.01585949332058e-14	0.00332255661688065	0.0590170228882847	0.0433305331140906	1.0435113749229e-11	6.96353046937686e-15	0.171654984939876	0.114468916502238	0.36634369105377	0.0280032916494437	7.80063469663956e-15	9.10413712555939e-15	0.00945953479781055	9.68536026811381e-15	0.0808134726519098	0.00821101265220676	0.0679519649373052	0.270998716727108	0.0298022934128179	8.26242950451262e-15	1.41137942302551e-07	0.0173619129641257	1.00730367188259e-14	0.196502015910566	8.14097002265833e-15	0.15546064805077	0.00923645798528204	5.74778194061283e-15	0.134040592074467	1.14296059531198e-14	8.69170617182734e-15	0.0410389420154981	0.0469666503766146	0.0511010060246138	0.195146808972167	0.0404737394545645	4.86725152527955e-15	0.0416305725815671	8.31062948654403e-15	0.165084860755686	0.0305067525607819	0.0223814118775647	0.00685768454723763	0.257435572913037	0.270921209365834	0.0010945168019402	9.38514633860114e-15	0.0932554110868852	7.02594264263328e-15	0.10146230103312	0.167744800236959	1.09661094102163e-12	0.0240168282888485	0.125496273182668	0.0475768870749931	0.128433790158105	0.00207670586549082	9.32330322863349e-11	0.0726108439022408	7.29254933191394e-15	0.099622997649909	5.81095302083822e-14	0.149678901750947	0.199599302528902	0.00137762863872715	0.12286979210588	0.165312942037364	9.05339020745547e-15	0.0979903028174463	6.23923850111602e-15	4.23281712787159e-15	0.0646377802047658	0.0334299107235111	0.0243780764553016	1.08502893218515e-14	7.77789637837112e-15	0.122674213305885	0.0135199931724511	0.0201532387071936	0.073861207760827	0.0615089994222682	8.61159891941727e-15	6.47723527044521e-15	0.14415419998416	0.0426934940758238	5.24443907126258e-15	7.23733455874248e-15	8.53712621105167e-15	0.0248608724028557	3.96849455194997e-15	0.0147356968801098	0.152523892105337	4.6853377064697e-13	0.048685231404145	6.37583920414569e-09	0.00478664818521747	0.0713560830918896	0.125627590531306	0.0139983666771682	0.0249382289508136	0.0455712819622774	6.21267929891415e-07	0.0111079549191225	7.89803841314286e-15	0.121459554413603	0.131531092238148	8.91329970312846e-15	4.53251877918989e-15	0.0068558530309468	0.0750363834698689	9.54150446300406e-15	0.0823445886527816	4.93270475571544e-06	0.191495092273577	0.0243197000921263	0.122624867457583	1.14527632283529e-14	0.0339350631573809	0.0470901572322409	0.104130255695242	0.011932118257093	0.0998632832047905	0.262795485022754	2.40415571901676e-07	0.00209500645108754	0.114264333708151	0.0116917618860549	0.0486188549696675	6.75465039771026e-15	0.16876097552448	0.00560565079378939	0.0157021946793351	0.0155793721901356	6.95576825107763e-15	0.04174744219531	0.0417072032867194	0.0313637596872801	0.0381435502865239	0.143170046362614	0.0548426974897653	0.00223898475899784	1.13859558488231e-11	9.68153922779267e-15	0.0365191014594267	0.0597686466536459	0.00906551707788516	0.0213565082262514	0.105545832308734	0.0975374521861742	0.0036347165903352	2.61226801062201e-08	0.00240668270443641	2.91108524759072e-05	0.0252461728358126	0.13548861213731	7.02588350380668e-15	0.0338169530644336	0.0462290761468558	0.0524856542884175	0.0383854592449286	7.1067694629007e-15	0.0500582486390303	0.0363633750512182	0.058397858351944	0.0287273754810987	9.49155335664857e-12	0.00885251911515656	1.04350107975975e-14	0.00813102329777045	0.0461978784393653	0.0716239077586956	0.000108389197849851	6.64362102948077e-05	0.0679470276584113	0.000317379630964453	0.0829697554926774	0.111824436671407	0.0363992241631647	0.114416325178239	1.09772597674964e-14	0.0922862163264433	0.0621435116374751	0.0761641588763454	0.00688093260053055	0.00451669654819484	0.0129580810545582	0.0553966586171932	0.0126805636593774	0.0149369879010975	0.0166701824796424	0.0204928406301948	0.0603942610119702	0.155274200878843	0.000126222535283102	0.00180419637878651	0.0320834621898248	8.29827684084397e-15	0.0155685362283298	0.0110635419337613	0.101107390364393	6.89955253528551e-15	0.00895191374257452	0.0578161098181009	0.00746687632919572	9.35917259589446e-15	1.00558518234289e-14
"S03"	0.00209347867790398	0.0101654643574287	7.49124907981129e-15	0.327420634092321	0.0774795038515727	0.139419938751541	0.0542203445502186	0.011408252701332	0.0196430130201263	9.69021766052582e-15	0.0539583547219458	0.0492828542560861	0.0634995273554482	0.35008914842402	0.339272261441561	0.0343482294346633	0.283704117570869	0.0173955925388299	0.17233568524818	0.232140587410938	0.0296058886234626	0.130059197366911	0.0787990227735494	0.322512122243828	0.0968375874615731	0.0469505000157857	0.00106198589721994	0.318030825865751	7.87778133094597e-15	0.378603376233471	0.271783625457335	8.35943683115615e-15	0.150553756702441	0.124486978963492	0.347150000099741	0.0154500139487918	0.0662161395549496	7.04030648546211e-15	0.00241129162007561	0.295432283796708	0.0268324005242964	0.0193093139653476	0.000266209703812614	5.04736990781869e-15	8.26242950451262e-15	0.00294377673021233	0.0423254105070752	0.0391527066225436	0.0365274604550061	0.0774088820572069	9.21494237624191e-15	9.87133424328777e-15	5.74778194061283e-15	0.0128348543989536	1.14296059531198e-14	0.0107076741177493	0.253445151774844	0.290657292190792	1.15854968171817e-14	0.141672926544907	7.14330563827994e-15	4.86725152527955e-15	0.109040045102757	0.0161848926661705	0.0981551929814906	0.0700934651081283	7.57435332745482e-15	1.08376775981186e-14	0.058409650436524	0.0598109934297325	0.563095293983875	9.38514633860114e-15	0.0721981771745045	0.010535186026208	0.043651935152558	0.175100064742741	0.351660437183041	0.0130192702101037	0.08993098694054	0.0206007075337341	0.130397343481231	0.058225770450716	0.0389892841434564	0.0573586075282399	3.3939929082548e-12	9.88014542787947e-15	0.269211916087928	0.17029388517847	0.0182342293087993	6.7702895471306e-15	0.0226977695076004	0.110671492392838	0.0233339528340906	8.7026530984488e-15	6.23923850111602e-15	4.23281712787159e-15	0.0446895198642713	1.30074993398711e-14	0.0290431685343221	1.08502893218515e-14	0.172604227093161	0.11177051715773	0.121824938986847	6.90535998525298e-15	0.134888501285128	0.158317305108704	0.00582202850891505	0.0130248679446212	0.0121597383755638	8.28969672526131e-15	0.0028229550092043	0.0984102270594337	0.0542701961508363	9.03355529215486e-15	0.283987334909615	8.20484679716306e-15	0.0814294635212342	0.374906798499405	7.51647876323755e-15	0.177513429060116	6.25157865648955e-15	0.047262627583995	0.056475115468831	0.0165963513035803	0.469537905493644	0.00100607339995984	0.415357019481122	6.86601683796296e-11	0.029744262183401	0.143265359313488	0.0060512480593536	8.91329970312846e-15	0.304861371125977	0.126110939558885	7.51710364615888e-15	0.069097131465421	0.0243463995324671	0.329979202115635	0.400151201958946	1.24669886828046e-14	1.14795511201074e-14	1.14527632283529e-14	1.07946960194425e-14	9.09942957413179e-15	1.15340742750826e-11	1.16405425453292e-14	1.20194824677369e-14	0.0055231519967922	0.0608899135355957	1.12241876238184e-14	4.11419131568101e-05	1.23553821691926e-14	0.0259247768599396	6.75465039771026e-15	1.43839806518056e-06	1.02235812909491e-14	9.77661005034331e-15	2.10970975538095e-09	0.0188352053465411	0.010509569858646	6.95651673357123e-15	1.0390304920117e-14	6.39125360106904e-15	2.00095135717223e-13	8.64210339198718e-15	1.07402825836409e-14	6.70109129647374e-15	9.68153922779267e-15	6.69793646650538e-15	6.55239004927413e-15	9.80334739499048e-15	6.19795893099496e-15	6.35763781270393e-15	0.0191997754623181	8.10889503873507e-15	1.15849977776268e-14	9.23383092117888e-15	0.00367829024451557	1.92592056707254e-09	0.00363793982180927	7.02588350380668e-15	0.000178236563354469	1.03260541915088e-14	0.00663270249859878	6.37442200845004e-15	7.1067694629007e-15	6.59516144067969e-15	1.16819710241323e-14	0.0593683710233998	9.25934291183631e-15	4.37709477931619e-09	1.05248478203395e-14	1.04350107975975e-14	0.0315596253875316	0.0378599554265343	0.000126214484834274	0.0656047036429647	0.142279552664902	0.0130191286792	0.374073770638681	0.000373126262823222	0.104499092871581	8.25354853183471e-15	4.54071619578392e-10	2.91372895662442e-10	6.01391349635598e-15	9.55485992439852e-14	1.14797285674569e-14	9.29352267917041e-15	9.6345832657468e-15	1.38310007345355e-12	4.20398864864895e-14	0.0448657431236074	7.84408400993776e-15	5.10649698419643e-15	2.2006741684725e-12	0.000829733929325829	1.8423065786873e-10	9.44304315946814e-15	1.03644255917637e-14	1.00451593875441e-14	8.29827684084397e-15	0.0375083863798986	0.000180858767914078	0.0338826475961135	6.89955253528551e-15	1.13597794120873e-14	0.000113084997591906	0.000826041439744921	9.35917259589446e-15	1.00558518234289e-14
"S04"	0.00736943309453807	0.000695004653760076	7.49124907981129e-15	0.0137893899966756	0.128974006137218	0.0117857664518599	0.0908717674264814	5.44953946486498e-05	0.140830761244898	0.0629970095154556	8.0123872897456e-15	0.0156736806168082	0.0958371709676357	0.034304589639685	6.00112430075684e-15	0.224642204385016	7.52972749122078e-15	8.58904499447716e-10	0.0426262937923342	0.0570739612006875	0.344606008744326	0.0223635138881578	0.101783920803367	0.00800406666818729	0.0843040971705623	1.96671064074356e-06	0.00476177736271153	0.0176216412831084	7.61743951573479e-14	2.14453531555905e-12	1.19776424694392e-06	0.106640697657732	0.0438198728320173	2.55116221411045e-10	0.02716281358721	7.80063469663956e-15	9.10413712555939e-15	7.04030648546211e-15	9.68536026811381e-15	8.28016450530438e-05	5.03751891759682e-15	1.08410138430113e-14	0.0235255016945733	5.04736990781869e-15	8.26242950451262e-15	6.36675176479639e-15	8.86244149581721e-15	1.00730367188259e-14	0.207957163035788	0.0210667224836749	0.0237291289638574	9.87133424328777e-15	0.0368026633675352	0.0309026270234397	1.14296059531198e-14	8.69170617182734e-15	0.0985554453450312	0.0429735367883172	1.15854968171817e-14	0.180629647954483	7.14330563827994e-15	4.86725152527955e-15	0.0573002404521252	8.31062948654403e-15	0.0692942781243154	7.76428051909005e-15	0.0128653653924144	0.0424492485792763	8.54057731741071e-15	0.0758189932497383	0.143290773281638	9.38514633860114e-15	0.00614569322089459	0.056379623212795	0.182189160711763	2.06659989323136e-13	0.00985132183728058	9.19956416488943e-15	8.1328502999329e-15	9.28693751957323e-15	0.0449983819823705	0.00282075467900426	6.65984033882766e-15	1.00787986439519e-14	7.29254933191394e-15	0.0107607301068343	0.0674309201373299	0.0702011873047949	0.0514082962072247	6.7702895471306e-15	9.3429385343973e-15	0.0473550440757986	0.0767657654487973	0.0978771189822902	6.23923850111602e-15	4.23281712787159e-15	7.50789646865682e-15	0.0297966533843703	1.05235143354563e-14	1.08502893218515e-14	0.0715542968365389	0.277216710365913	0.0197474860747566	0.00285487630804701	7.22834177567453e-15	9.99742495254994e-15	8.61159891941727e-15	6.47723527044521e-15	0.00950327262532491	8.28969672526131e-15	5.24443907126258e-15	7.23733455874248e-15	8.53712621105167e-15	0.0391845070673443	0.0429550967153743	0.00355588178469031	7.89116191698358e-15	0.016555315005994	0.063818372725016	9.04929128013068e-15	6.25157865648955e-15	0.0466284866573631	0.13220089632922	0.035388939028117	0.0253514800016707	7.45285223399679e-15	0.0535983445599115	1.16258608852568e-14	0.00548166134566036	8.8126846195322e-15	0.00695851858949452	0.00393047008782297	4.53251877918989e-15	0.0179725537221374	0.0143291403648909	9.54150446300406e-15	0.0348090878049902	0.000106377471178912	0.00576550439149814	1.24669886828046e-14	1.14795511201074e-14	1.14527632283529e-14	0.00599393447137039	0.0809567542183304	0.113778204762051	1.16405425453292e-14	3.75586222303465e-05	0.0320523886005128	0.00602359312782952	1.12241876238184e-14	0.267848223859204	0.0125319717937492	0.160120610627664	0.0146353304108892	0.259736465508444	0.0616725838622026	9.77661005034331e-15	0.00579471707933786	0.0268847303830296	0.243425221813595	0.130193323077528	1.0390304920117e-14	0.153629929490819	0.293459025701217	0.141065687464752	1.07402825836409e-14	0.144678391381304	0.0937143113537459	0.107041017108404	0.0601487830120519	9.80334739499048e-15	0.160592081127727	0.210194526302616	0.165862362126173	8.10889503873507e-15	0.0372730218338482	9.23383092117888e-15	0.0139526284497395	0.0109057222099073	1.25247160699453e-14	0.0117959731978501	0.251900864799825	0.108009805820909	1.08692443570895e-14	0.149601645582895	0.0692176082555652	0.250966797277076	0.0845099750120188	0.0786054976953877	9.25934291183631e-15	0.0451311237724009	1.05248478203395e-14	1.04350107975975e-14	0.0691176485238076	0.0830378131748748	0.238452115953455	0.131656880045694	0.168611826312218	0.00013094098554555	0.112486208597824	0.176164103580099	0.364151412292003	0.0708671372883328	0.232670851837254	1.09772597674964e-14	0.191967443493918	0.133317945969132	1.14797285674569e-14	9.29352267917041e-15	9.6345832657468e-15	0.168760924776116	0.267480601254811	0.161657688309962	0.0696903070990729	0.267583428188564	0.266972929461069	0.149956657631844	0.283464700595515	9.44304315946814e-15	2.17941390533817e-06	0.218365326283936	0.0395568028485433	0.327180858039166	0.021710400058863	0.0423404243430684	0.039796864450254	1.13597794120873e-14	0.258072333004645	0.268791294612981	0.0205922367090847	1.00558518234289e-14
"S05"	5.5305649685154e-15	6.11129478243515e-15	7.49124907981129e-15	8.17319337613755e-15	7.10362920343035e-15	8.81501638305583e-15	6.76929939691748e-15	1.02464290224122e-14	0.000126180652641067	0.000175150849957335	8.0123872897456e-15	6.57740938386451e-15	7.42232431655678e-15	3.50421678370381e-15	6.00112430075684e-15	0.0141892486991106	7.52972749122078e-15	0.0550526646219072	0.000494531644825971	5.56898897987233e-15	5.4163703396828e-15	5.41410415119478e-15	6.97039238623357e-15	6.47569803707025e-15	8.33232494869046e-15	0.0323811597471319	8.59964471122628e-15	6.04494631924014e-15	7.87778133094597e-15	5.9557118079413e-15	6.96353046937686e-15	8.35943683115615e-15	8.96282268736361e-15	6.96070198152151e-15	5.21549365205892e-15	7.80063469663956e-15	9.10413712555939e-15	7.04030648546211e-15	9.68536026811381e-15	7.78118005685052e-15	5.03751891759682e-15	1.08410138430113e-14	1.00509621856366e-14	5.04736990781869e-15	8.26242950451262e-15	6.36675176479639e-15	8.86244149581721e-15	1.00730367188259e-14	0.149491888379847	8.14097002265833e-15	9.21494237624191e-15	0.00387601220501695	5.74778194061283e-15	9.13870377129165e-15	0.14989399809051	8.69170617182734e-15	5.34247108598828e-15	7.68473737236789e-15	1.15854968171817e-14	0.000328156177570723	7.14330563827994e-15	4.86725152527955e-15	0.0137791549263018	8.31062948654403e-15	0.00336169845314567	7.76428051909005e-15	0.461798622388516	0.0404143919133468	0.000266454767292721	0.00428591713435907	3.95320376919579e-15	9.38514633860114e-15	1.0022768990684e-14	7.02594264263328e-15	0.121965826197216	7.58022997155294e-15	6.17718895343468e-15	9.19956416488943e-15	0.118649545366693	9.28693751957323e-15	6.83355647254021e-15	4.69045002723554e-15	6.65984033882766e-15	1.00787986439519e-14	7.29254933191394e-15	9.88014542787947e-15	0.0146339410079445	8.90281490426569e-15	8.40833314392477e-15	6.7702895471306e-15	9.3429385343973e-15	6.82441127306511e-15	9.05339020745547e-15	8.7026530984488e-15	6.23923850111602e-15	0.00877469341569256	7.50789646865682e-15	0.0977353339570277	1.05235143354563e-14	1.08502893218515e-14	0.0148808823812402	5.39277294115043e-15	0.000856109089246783	6.90535998525298e-15	7.22834177567453e-15	9.99742495254994e-15	8.61159891941727e-15	6.47723527044521e-15	7.2838333335956e-15	8.28969672526131e-15	5.24443907126258e-15	7.23733455874248e-15	8.53712621105167e-15	9.03355529215486e-15	3.96849455194997e-15	8.20484679716306e-15	7.89116191698358e-15	0.00932064928906762	7.51647876323755e-15	9.04929128013068e-15	6.25157865648955e-15	8.14646306769425e-15	6.63794803468754e-15	5.78824954470056e-15	4.5501083680932e-15	7.45285223399679e-15	6.68001559705782e-15	0.0350555454414752	7.89803841314286e-15	8.8126846195322e-15	8.72593592207193e-15	8.91329970312846e-15	4.53251877918989e-15	1.01548599964842e-14	7.51710364615888e-15	9.54150446300406e-15	7.50474572894567e-15	7.68712739609745e-15	5.60240972187685e-15	0.21451565678276	0.124952074628131	0.215382960399033	0.511277867644478	0.515021288680589	0.571995924131721	0.126387510597107	0.2016366516311	0.133300012123005	0.357737733369903	0.0864173867608985	0.401918777827458	0.357208398227881	0.485018703687665	0.400609882795892	0.362681363587866	0.568934629431198	0.0726784309894367	0.486936016213553	0.517893998238244	0.478623960901591	0.477656320754955	0.452230723596655	0.463341014517678	0.326235789871296	0.54800616587729	0.206644867805777	0.489140839199457	0.461820833311818	0.435185444700413	0.440791722103844	0.0122994099294354	0.501160660739863	0.504693929125839	0.478851692940067	8.10889503873507e-15	0.288842798822829	0.0413864017841891	0.562137501085711	0.222928553294967	0.310085589160528	0.409778837115567	0.433101546423492	0.42470544413461	0.440509268470884	0.486356194640831	0.392986958200272	0.512178241426716	0.242188492536104	0.384228802923267	0.027006977695714	0.540930194489079	0.34799804121326	0.147417048724549	0.572856091378967	0.416980999573155	0.431374764292793	0.310324907898812	0.406043024063474	0.360015227482102	3.83904989653119e-15	0.438400154040598	0.263333202625595	0.495665243030191	0.383695788055021	0.0754005779019291	0.418747794089777	0.515990654923334	0.0314064967295846	0.111813898603607	0.0495874810236098	0.526267999321405	0.431552701818236	0.511022564702634	0.464956606141166	0.462136699220064	0.466209875853917	0.277943598506661	0.250067272537956	0.0890936231708653	0.300674627119009	0.461783024781972	0.475614791950712	0.364406721696584	0.533043932576522	0.418584252563568	0.471289695739772	0.290860022092503	0.370049747529152	0.424149707811898	0.521406938291531	0.247119717657474
