"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"HKB0004_3006_T"	5.39913417699992e-15	0.0290612959839435	0.00724060834846531	0.00769617857542755	5.39913417699992e-15	0.0289027390895019	0.575097815401069	0.0345643294878745	0.0286539263278859
"HKB0005_3001_T"	6.0098120480531e-15	6.0098120480531e-15	0.0146021245248835	0.00183619416031559	6.0098120480531e-15	0.0323077530006676	0.449556448318115	0.143083720157646	0.0390396712621097
"HKB0006_3006_T"	0.0030357058132336	0.00869491972159694	0.00354037539639294	6.84826328917851e-15	6.84826328917851e-15	0.012817977793625	0.0118694222413153	0.0847720498720767	0.109618352503638
"HKB0007_3005_T"	0.055845295468443	0.0324191381775427	0.303037369678709	0.0264463734880223	7.9243456502127e-15	0.130419090844008	0.0522584470152435	0.124590687827126	0.0852733814321089
"HKB0008_3006_T"	0.132929170388557	0.193777630803717	0.094445680910247	0.124179939259129	9.90289940979039e-05	0.158104468477274	7.14617969417666e-15	0.136625741756404	0.0956346221533316
"HKB0016_3006_T"	0.0940664126284923	0.133673942084581	0.151218907113299	0.0245819253478512	8.51405219412283e-15	0.116606077174509	8.51405219412283e-15	0.159858583785282	0.0888497501529861
"HKB0019_3006_T"	6.61627753783704e-15	6.61627753783704e-15	0.0627843861560154	0.0913829058099436	6.61627753783704e-15	0.149133380266358	0.215800312622249	0.00458187320863207	6.61627753783704e-15
"HKB0023_3006_T"	0.00176849454159213	0.0403984101895797	0.0277780717574556	1.28386695842753e-11	1.00730090126081e-14	0.342809053370295	0.148653864042869	0.0679263023813087	0.162523302180864
"HKB0031_3001_T"	0.110673127461611	0.223130671381608	0.0369871353679256	0.133951813056587	0.00150661513461151	0.0314458257103635	7.20267136591799e-15	0.0876075815087086	0.0290495419551389
"HKB0033_3006_T"	3.67953292384584e-08	0.327137067014612	0.0105536366492796	0.0764782252900129	0.00251189916312257	0.20056542834103	0.00232103722688514	0.170380238933377	1.47248865428107e-11
"HKB0035_3006_T"	0.0155631718875892	7.75268485322708e-15	0.0595785836264064	7.75268485322708e-15	7.75268485322708e-15	0.0126508902988481	0.0603656317924276	0.116804172634893	0.0524889365458288
"HKB0036_3006_T"	6.57606088312919e-15	6.57606088312919e-15	0.0632267951391988	0.0207237143113229	6.57606088312919e-15	0.108524151192654	0.497602564310709	0.0654030879357803	6.57606088312919e-15
