"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"HKB0004_3006_T"	0.0474855891888729	8.26627852812127e-15	0.0208515464758892	0.00326525935306306	0.0158358802099312	0.0559426635022031	8.26627852812127e-15	0.490530863323883
"HKB0005_3001_T"	0.00881388381537558	9.5597634881036e-15	0.0380352919988734	0.0401144154143243	0.0123091058277485	0.119155117381977	9.5597634881036e-15	0.330042975379039
"HKB0006_3006_T"	0.0134187548452446	9.14299044076635e-15	0.0136135520897221	0.0906353273542007	0.123452057007163	0.165299854947698	9.14299044076635e-15	0.00285737456639247
"HKB0007_3005_T"	1.16459804679553e-14	0.000921585599115184	0.173709385711968	0.075737523784636	0.179784483163249	0.0917538520180139	0.0839229701454103	0.0585717910853491
"HKB0008_3006_T"	0.0165189825446795	0.0013566784420696	0.226697666592369	0.214993262549136	0.233211047053494	0.0103536254014909	0.157466610839579	0.020300504299309
"HKB0016_3006_T"	0.0691956828089994	9.98038873073718e-15	0.11618545398627	0.0484670512630441	0.165950936402146	0.231910236514412	0.059496072708492	0.000114721840249193
"HKB0019_3006_T"	0.0098631725367745	9.65147963412868e-15	0.132889419218179	9.65147963412868e-15	0.00089140172649686	0.0315262960930868	0.00451599257478362	0.426536372251626
"HKB0023_3006_T"	0.0132240271664538	1.1639120737108e-14	0.336370650562195	0.155820088928845	0.192115667726094	0.0527196685886167	0.0116798734707945	0.074339119493314
"HKB0031_3001_T"	0.0640810880572331	1.07878754739619e-14	0.036154814164361	0.0520486873350096	0.0895729193103498	0.0679905027086587	0.103118215507637	1.07878754739619e-14
"HKB0033_3006_T"	0.0403822003534834	0.00951805714173068	0.230004253661942	0.0765384621675132	0.149285028965538	0.11852266046359	0.0408335200858501	0.00958121463849623
"HKB0035_3006_T"	0.0359792198621549	1.07841104674539e-14	0.0184718081777827	0.0621511068707623	0.122091084427111	0.108413900720364	0.022789373615539	0.01366708849475
"HKB0036_3006_T"	0.0430109405374925	9.6304776697696e-15	0.100502139288471	0.00649693956796403	0.0543439797154228	0.0622715416297269	0.00500828688416248	0.409669954037165
"HKB0038_3006_T"	0.0652044588638666	9.86719472244341e-15	0.329593747533055	0.00227704259540059	0.0440752894848192	0.116616244239203	0.00674327032384742	0.122173781367443
"HKB0040_3002_T"	0.0608759139007434	8.88189653877332e-15	0.00378404798301598	0.0510655044812006	1.51708339765617e-12	0.12372679172997	0.433960305678779	0.057600620196373
"HKB0044_3006_T"	0.00621052288487596	9.46141956173972e-15	0.0183864561017637	0.0164461025938759	0.141302692178484	0.0610191166616878	0.0792788099047684	0.130786147350479
