"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"HKB0004_3006_T"	0.0084636099142416	0.212145504650321	0.00380497093859036	0.028042707316854	1.44936370153432e-08
"HKB0005_3001_T"	1.1414838395201e-14	0.0952857513613458	1.1414838395201e-14	0.0527375491267912	1.1414838395201e-14
"HKB0006_3006_T"	9.98806478262209e-15	0.117558178268181	9.98806478262209e-15	0.230500805081526	9.98806478262209e-15
"HKB0007_3005_T"	0.192931707210048	0.121362312159936	1.30136039190997e-14	0.0179735522900203	0.416590585370776
"HKB0008_3006_T"	0.078779286616397	0.103707693318025	0.0682184755351758	0.254766808508314	0.379559213071946
"HKB0016_3006_T"	0.107945607895623	0.14432668464397	1.23038269314194e-14	0.127869056784274	0.383451633740939
"HKB0019_3006_T"	0.00915505603442227	0.111771920144213	0.0123116739658075	0.0316435774112209	8.27261173704202e-12
"HKB0023_3006_T"	0.116151911478889	0.0478377317763198	0.0426650312607697	0.16237297102812	0.104658966568406
"HKB0031_3001_T"	0.0513188444861675	0.199219761996719	0.00637520994304607	0.0741539719480634	0.226560537898083
"HKB0033_3006_T"	1.84161882964045e-14	0.0588797197878849	1.84161882964045e-14	0.17282712710696	0.0736655399600605
"HKB0035_3006_T"	0.15258578324317	0.0998960565432906	1.4130701169275e-14	0.128389029245117	0.334542921173862
"HKB0036_3006_T"	1.29002555818788e-14	0.0660607295939426	0.00337746443732682	0.0417658559865318	0.0329288316828309
"HKB0038_3006_T"	1.34903373351705e-14	0.0311479844470671	1.34903373351705e-14	2.04893334820445e-06	3.64789266023261e-07
"HKB0040_3002_T"	0.561010333102855	0.113741776650467	3.70693770199018e-15	0.031160159589403	0.23113956733973
"HKB0044_3006_T"	0.142558161896925	0.0690783429622056	9.89073182040825e-15	0.0795456148333006	0.456815451802912
"HKB0049_3006_T"	0.0466728597858834	0.0450214622560199	0.254687370585695	0.10094198924101	0.191338700159986
"HKB0050_3005_T"	0.424143535008018	1.04860252263995e-14	1.04860252263995e-14	0.0130486042859528	0.541738043179104
"HKB0052_3000_T"	0.314575326189429	0.13556393677988	0.119990722843426	0.0585658545199968	0.240112640095662
"HKB0054_3000_T"	0.539868590715185	0.0666303828241217	0.0190971568929466	0.0407255280972937	0.259468359287714
"HKB0056_3002_T"	0.086022732568298	0.280126898172678	1.22375398968237e-14	0.0055257704433216	0.199053707188535
"HKB0064_3004_T"	0.000337716160656898	0.0408287569786987	0.138244892604752	0.195351411946732	0.267494476331671
"HKB0065_3006_T"	0.0925288215408483	0.0908119381806853	1.36548207006061e-14	0.012675720141419	0.233907768298759
"HKB0067_3006_T"	0.113386546004721	0.0246498634915995	0.10055495383234	0.0738624778615203	0.42563214798723
"HKB0069_3000_T"	0.570686556522328	0.0529471654396926	7.81148282676649e-15	0.0348974326986393	0.266847180676483
"HKB0070_3002_T"	0.000330198920373814	0.0472524783751521	0.039566946784376	0.0577092051147146	0.202707161502627
"HKB0074_3000_T"	0.403296901312877	0.041225991353332	0.0808313183146476	0.0517345628821453	0.248490115689131
"HKB0078_3000_T"	1.25375799195477e-14	0.0383634345078376	0.00841442044025582	0.205123465038593	0.000451026763649866
"HKB0079_3006_T"	0.235083829559029	0.0503510606197724	1.06537626145684e-14	0.0707421412881071	0.442282816527449
"HKB0080_3006_T"	1.24946456252771e-14	0.0327658295574225	0.00242884453871464	0.101793445410161	1.24946456252771e-14
"HKB0082_3006_T"	0.208580260839178	0.0470584651017717	1.0935262367105e-14	1.0935262367105e-14	0.51697780262682
"HKB0084_3000_T"	0.208540453667933	0.0376604756683101	1.09805282082394e-14	0.0680864358514593	0.267025365778254
"HKB0086_3006_T"	0.0172835073339086	0.0623268859836326	1.44725604543655e-14	0.118859586956513	0.117665681042363
"HKB0088_3000_T"	0.0440491668051888	0.0229404305793448	0.0615778678532546	0.0938538548541939	0.290491784103624
"HKB0089_3001_T"	0.0173387809745571	0.118788689351805	0.00790563524924994	0.0217421376706934	0.320672031525115
"HKB0091_3001_T"	0.141366751913519	0.168442318790945	8.73645238612657e-15	8.73645238612657e-15	0.337385109491288
"HKB0092_3000_T"	1.24357334443216e-14	0.0934232913460775	1.24357334443216e-14	0.184759828033063	1.24357334443216e-14
"HKB0094_3006_T"	0.356905382646614	0.0534325600066269	1.10086540997053e-14	0.128627807700961	0.337950545380205
"HKB0096_3001_T"	0.006047252343369	0.0534941065182259	1.03800004412422e-14	0.0335854130838661	1.03800004412422e-14
"HKB0097_3000_T"	0.0169552562820096	0.176681954358337	0.00109746227263176	1.62751434686087e-14	0.0564914569221556
"HKB0098_3005_T"	0.372579970441376	0.0761816278090872	1.15300528567612e-14	0.0197499891727232	0.391014491393811
"HKB0100_3006_T"	0.0120871792132519	0.047371286171947	6.75086128714268e-15	6.95183070541354e-07	0.0298162918930846
"HKB0101_3000_T"	0.180885593858315	0.174134520309897	1.54057299508347e-14	0.21799496264057	0.315133544707023
"HKB0102_3006_T"	1.65615698792539e-14	0.115551271411014	0.118048932646149	1.65615698792539e-14	0.0844868941564824
"HKB0104_3006_T"	0.0324159385390923	0.00410935136772373	9.77721568861434e-15	0.145163396567295	9.77721568861434e-15
"HKB0106_3006_T"	0.00256702232135138	0.130987421365496	1.34096091625802e-14	0.116282318135265	0.0144958540700386
"HKB0108_3000_T"	9.5938489911523e-15	0.0209857841835551	0.0144091621411854	0.105033488301633	9.5938489911523e-15
"HKB0109_3006_T"	0.160087793783447	1.75024133980534e-07	1.64476550007658e-14	0.0468679769048583	0.195596767263934
"HKB0115_3006_T"	0.201010760099515	0.14622477862392	0.0139335424621786	0.112329013394818	0.204779401186969
"HKB0120_3000_T"	0.200620794877264	0.135129627884566	0.221467387132203	0.0162497198810439	0.316054563201266
"HKB0121_3006_T"	0.206649068828078	0.0283287503221414	1.5321445960076e-14	0.00365569607877699	0.292984456247558
"HKB0123_3006_T"	0.00713066424759017	0.0114812034237033	0.0129221994043863	0.0272946343445448	1.29666358481706e-14
"HKB0124_3003_T"	0.00595975336483397	0.103798167349461	0.066024650340289	0.093579849510242	0.0367506733902412
"HKB0125_3006_T"	8.87236986764288e-15	0.0606841520043061	8.87236986764288e-15	0.132888990467404	8.87236986764288e-15
"HKB0127_3006_T"	0.326925560204277	0.0639917037784586	1.30423929439564e-14	0.128867724658219	0.383591907287829
"HKB0129_3000_T"	0.466744977036221	0.0539106550399052	0.162745747161059	0.0788316796807635	0.126861741754682
"HKB0132_3006_T"	0.323215827367619	0.115513206220279	1.12788336072734e-14	0.00825306234235801	0.1803002609313
"HKB0134_3006_T"	0.177535215538944	0.191704280551596	1.01688031196302e-14	0.0156347061132206	0.347971566498081
"HKB0137_3002_T"	0.0575087072542732	0.21226767447292	0.00487205398058367	0.00258523190771386	0.251244142882365
"HKB0141_3006_T"	0.0200496926739248	1.95448366131215e-14	0.000159450812054425	0.21588842481518	0.136568250749972
"HKB0143_3006_T"	0.0980823327071641	0.090819539212409	0.038813128095674	0.0750033193585439	0.510026289661415
"HKB0147_3000_T"	9.97115439111396e-15	0.16209303661345	9.97115439111396e-15	0.0950973237660637	0.0081459862933775
"HKB0150_3006_T"	8.02187585474844e-15	0.0751864520380513	8.02187585474844e-15	8.02187585474844e-15	8.02187585474844e-15
"HKB0155_3000_T"	0.515391958128782	0.0293385380118395	0.0351441239550878	0.0573299276309413	0.362795452273301
"HKB0157_3006_T"	0.202243208580921	0.238896019665286	1.33824220948825e-14	0.00220429617949225	0.161551072405448
"HKB0158_3006_T"	0.148180244809697	0.00115720440971059	0.0737529564153673	0.260809070046034	0.31789332636573
"HKB0159_3006_T"	1.17737967729736e-06	0.291654424191943	3.80031586185814e-09	0.0822502762618696	0.0688892455618842
