"BC_HKB0056_809_T"	"BC_HKB0187_1214_T"	"BC_HKB0775_1470_T"	"BC_HKB0899_M1605_T"	"BC_HKB2109_1628_T"	"HKB0004_3006_T"	"HKB0036_3006_T"	"HKB0089_3001_T"	"HKB0134_3006_T"	"HKB0211_3002_T"	"HKB0629_3000_T"	"HKB0698_3000_T"	"BC_HKB0543_1306_T"	"BC_HKB1385_1721_T"	"HKB0008_3006_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0120_3000_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0112_933_T"	"BC_HKB0555_1321_T"	"BC_HKB0728_1447_T"	"BC_HKB0876_1543_T"	"BC_HKB0892_1559_T"	"BC_HKB1365_M1665_T"	"BC_HKB1370_1673_T"	"BC_HKB2114_1660_T"	"BC_HKB2116_1671_T"	"BC_HKB2119_1690_T"	"HKB0007_3005_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0092_3000_T"	"HKB0125_3006_T"	"HKB0132_3006_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"BC_HKB0662_1294_T"	"BC_HKB0904_1595_T"	"HKB0005_3001_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0084_3000_T"	"HKB0157_3006_T"	"HKB0210_3006_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0677_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0582_1333_T"	"BC_HKB0668_1298_T"	"BC_HKB0689_M1326_T"	"BC_HKB0733_1459_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0772_1460_T"	"BC_HKB0786_1508_T"	"BC_HKB0827_1539_T"	"BC_HKB0828_M1542_T"	"BC_HKB0831_1520_T"	"BC_HKB0838_1563_T"	"BC_HKB0873_1549_T"	"BC_HKB0882_1555_T"	"BC_HKB0902_1617_T"	"BC_HKB0917_1656_T"	"BC_HKB1366_1663_T"	"BC_HKB2106_1619_T"	"BC_HKB2107_1620_T"	"HKB0052_3000_T"	"HKB0074_3000_T"	"HKB0129_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0719_3002_T"	"BC_HKB0759_1488_T"	"BC_HKB0833_1552_T"	"BC_HKB0905_1623_T"	"BC_HKB1369_1679_T"	"BC_HKB2112_1636_T"	"BC_HKB2127_1726_T"	"HKB0035_3006_T"	"HKB0121_3006_T"	"HKB0159_3006_T"	"HKB0209_3004_T"	"HKB0228_3002_T"	"HKB0558_3000_T"	"HKB0599_3000_T"	"HKB0668_3000_T"	"HKB0097_3000_T"	"HKB0196_3006_T"	"BC_HKB0632_1381_T"	"BC_HKB0915_M1647_T"	"BC_HKB0921_1575_T"	"HKB0044_3006_T"
"OR4K1"	0	0	0	0	0	0.070389327891398	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C22orf42"	2.29865831556452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31034012061215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MBD3L2"	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0
"C2orf53"	0	0	1.23878685958712	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0.575312330687437	0	0	0	0	0	0	0	0.0285691521967709	0.0285691521967709	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4M1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978195629681652	0	0	1.13750352374994	1.48026512205446	0	0	0	0	0.150559676575381	0.150559676575381	0.0840642647884745	0	0	0	1.43829285157915	0	0	0	0	0	0	0	0	0	0	0	1.33913738491959	0	0	0	2.11769504266975	0	0	0	0	0.799087306074004	0	0	1.48542682717024	0	0	0.713695814843359	0	0	1.4905701304462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5P2"	0	0	0	0	0	1.15704371014558	0.584962500721156	0.0426443374084937	0.189033824390017	0.0976107966264223	0	0	0	0	0.0840642647884745	0	0	1.14404636961671	0.443606651475615	0	0	0	0.545968369105292	0.16349873228288	0.176322772640463	0.0840642647884745	0.16349873228288	0.773996325111173	0.150559676575381	0.176322772640463	0	1.20789285164133	0.545968369105292	0.137503523749935	0.356143810225275	0.0840642647884745	0.53605290024021	0.400537929583729	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0.0840642647884745	0.454175893185802	0	0	0.070389327891398	0.124328135002202	0.422233000683048	0	0	1.37295209791183	0	0.111031312388744	0	0.214124805352847	0	0.137503523749935	0.321928094887362	0.27500704749987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46466826700344	2.46205231879643	0.704871964456353	0.782408564927373	0	0.422233000683048	0.855989697308481	0	0	0	0	0	0	0	0.0565835283663675	0	0.0840642647884745	0.111031312388744	0	0	0	0.84799690655495	0.070389327891398	0	0	0	0.189033824390017
"C21orf131"	0	0	0	0	0	0.0285691521967709	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCDC105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831877241191673	0.970853654340484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31034012061215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HIST1H4G"	2.83390207666916	0	0	0	0	0	0	0	0	0	0	0.263034405833794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321928094887362	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0
"OR14I1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0.070389327891398	0	0	0	0	0
"BEND2"	0	0	0	0	0	0	0.0143552929770701	0	0	0.0565835283663675	0	0	0	0	0	0	0.0143552929770701	0.0285691521967709	0	0	0	0	0	0.0426443374084937	0.0426443374084937	0	0.070389327891398	0	0	0.0143552929770701	0	0	0	0	0	0.0285691521967709	0	0	0	0	0.111031312388744	0	0	0	0	0	0.37851162325373	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.0285691521967709	0	0	0	0.0285691521967709	0	0	0.0285691521967709	0.0143552929770701	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0.176322772640463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2H1"	0	0	0	0	0	0.0285691521967709	0	0	0.0285691521967709	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.070389327891398	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.748461233004036	0.594548549550354	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0
"BTNL2"	0	0	2.47508488294878	0	1.89141918684608	0	0.150559676575381	0	0	0.070389327891398	0	0	1.36176835941915	4.10181813422741	0	0	0	0	0.150559676575381	0.0840642647884745	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0.150559676575381	0	0	0	0	0.0976107966264223	0	0	0	2.90881290773955	0	2.38404980679516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0.214124805352847	0.0976107966264223	0	0	0	3.20476675065461	0	0	0	0	1.91456452349394	0	0	0	0	2.5033487351675	0	0	0	3.38818953715608	0	2.33628338786443	0	0	2.02147972741045	0	0	0	0.124328135002202	0	0	0	0	0	0	2	0	1.57531233068744	2.13093086982645	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4594316186373	0	0
"C13orf26"	1.32192809488736	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0.0565835283663675	0	0.0840642647884745	0	0.321928094887362	0	0.0840642647884745	0	0	0	0.150559676575381	0	0	0	0.632268215499513	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0.214124805352847	0.214124805352847	0	0.37851162325373	0.0840642647884745	0	0	0	0.978195629681652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0	0.189033824390017	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0.27500704749987	0	0	0	0	0	0.124328135002202	0	0	0	0
"LOC144742"	0	0	0	0	0	0.0285691521967709	0	0	0.0285691521967709	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0.0285691521967709	0	0	0	0	0	0	0	0.0285691521967709	0	0.0840642647884745	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RX3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0
"HTR3C"	0	0	0	0	0	0	0.0285691521967709	0	0.0285691521967709	0	0	0	0	0	0	0	0	0.0840642647884745	0.070389327891398	0.0426443374084937	0	0.238786859587116	0	0	0	0	0	0	0.0840642647884745	0	0	0.0426443374084937	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0.0285691521967709	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20789285164133	0	0	0	0	0	0	0	0	0.0565835283663675	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33342373372519	0	0	0
"RNASE13"	0	0	0.925999418556223	0	0	0	0.0285691521967709	0	0.0426443374084937	0.111031312388744	0.0426443374084937	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0.0426443374084937	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0.0840642647884745	0	1.0071955014042	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0.0426443374084937	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650764559116902	0	2.03562390973072	0	0	0	1.95233356636969	0	0	0.765534746362977	2.05658352836637	0	0	0	0	0.879705766282288	0	0.0565835283663675	0.0565835283663675	0.0565835283663675	0.0426443374084937	0.0976107966264223	0	0.0426443374084937	0	0	0	0	0	0	0	0	0.0565835283663675	0.0426443374084937	0.0285691521967709	0	0	0	0	0	0	0	0	0
"H1FOO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25096157353322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57531233068744	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0
"IFLTD1"	0	0	0	0	0	0.0840642647884745	0.321928094887362	0.0285691521967709	0	0.070389327891398	0.0565835283663675	0.713695814843359	0	0	0.0565835283663675	0	0.831877241191673	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0.0840642647884745	1.05658352836637	0	0	0.124328135002202	0.0840642647884745	0.0565835283663675	0	0	0.0565835283663675	0	0	0	0	0	0	0	1.40053792958373	0	0	0	0	0	0.0426443374084937	0	0	0.0565835283663675	0	0	0	0	0.0426443374084937	0	0.070389327891398	0	0	0.464668267003444	0	0	0.0840642647884745	0	0	0.7311832415722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0.0565835283663675	0.0426443374084937	0.0285691521967709	0	0	0	0	0	0	0	0.0426443374084937
"MEG8"	0	0	0	0	0	0.27500704749987	0.124328135002202	0	0.286881147788162	0.238786859587116	0	0.55581615506164	1.85598969730848	0	0.526068811667588	0.214124805352847	0	0.344828496997441	0.400537929583729	0.16349873228288	0.27500704749987	0.137503523749935	0.505890929729957	0.895302621333307	0	0.389566811762726	1.63691458035588	0	0	0.20163386116965	0.495695162624069	0.6959938131099	0.400537929583729	0	0.344828496997441	0.516015147003665	0	0	0.214124805352847	0	0.464668267003444	0.22650852980868	0	0	0	2.4541758931858	0	0	0	0	0	0	0.411426245726465	0.37851162325373	0.594548549550354	0	0.333423733725192	0.176322772640463	1.26303440583379	0	0	0	0.150559676575381	0	0.53605290024021	0.137503523749935	0.464668267003444	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04614178164472	0	0	0.687060688339892	0.565597175854225	0.584962500721156	0.333423733725192	0.545968369105292	0.214124805352847	0.31034012061215	0	0	0	0	0	0	0.27500704749987	0.443606651475615	0	0.176322772640463	0.124328135002202	0.250961573533219	0	0	0.150559676575381	0	0	0	0	0.150559676575381
