"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"HKB0004_3006_T"	0.0474855892715124	8.2662785441416e-15	0.020851546468505	0.00326525933475921	0.015835880393017	0.0559426654036996	8.2662785441416e-15	0.490530862944118
"HKB0005_3001_T"	0.008813883815398	9.55976348810477e-15	0.038035291998851	0.0401144154138436	0.0123091058302977	0.119155117380719	9.55976348810477e-15	0.330042975379149
"HKB0006_3006_T"	0.0134187548452446	9.14299044076635e-15	0.0136135520897221	0.0906353273542006	0.123452057007163	0.165299854947698	9.14299044076635e-15	0.00285737456639245
"HKB0007_3005_T"	1.16459804679553e-14	0.000921585599115184	0.173709385711968	0.075737523784636	0.179784483163249	0.0917538520180139	0.0839229701454103	0.0585717910853491
"HKB0008_3006_T"	0.0165189825446795	0.0013566784420696	0.226697666592369	0.214993262549136	0.233211047053494	0.0103536254014909	0.157466610839579	0.020300504299309
"HKB0016_3006_T"	0.0691956828088241	9.98038873075901e-15	0.116185453988153	0.0484670512640148	0.165950936403578	0.231910236517335	0.0594960727094183	0.000114721827699419
"HKB0019_3006_T"	0.00986317309392184	9.65147962492756e-15	0.132889419387956	9.65147962492756e-15	0.000891388293381725	0.0315263042155392	0.00451599254789907	0.426536371365464
"HKB0023_3006_T"	0.0132240271664538	1.1639120737108e-14	0.336370650562195	0.155820088928845	0.192115667726094	0.0527196685886167	0.0116798734707945	0.074339119493314
"HKB0031_3001_T"	0.0640810880572331	1.07878754739619e-14	0.036154814164361	0.0520486873350096	0.0895729193103498	0.0679905027086587	0.103118215507637	1.07878754739619e-14
"HKB0033_3006_T"	0.0403822003534834	0.00951805714173068	0.230004253661942	0.0765384621675132	0.149285028965538	0.11852266046359	0.0408335200858501	0.00958121463849623
"HKB0035_3006_T"	0.0359792198621549	1.07841104674539e-14	0.0184718081777827	0.0621511068707623	0.122091084427111	0.108413900720364	0.022789373615539	0.01366708849475
"HKB0036_3006_T"	0.0430109405364586	9.63047766975274e-15	0.10050213928801	0.00649693956754322	0.0543439797137916	0.0622715416310574	0.00500828688285631	0.409669954024689
"HKB0038_3006_T"	0.0652044588638624	9.86719472244331e-15	0.329593747533047	0.00227704259538057	0.0440752894848297	0.116616244239206	0.00674327032384831	0.122173781367469
"HKB0040_3002_T"	0.0608759139009711	8.88189653877234e-15	0.00378404798301593	0.0510655044813428	6.09157614066244e-13	0.123726791730166	0.433960305678891	0.0576006201963431
"HKB0044_3006_T"	0.00621052288487596	9.46141956173972e-15	0.0183864561017637	0.0164461025938759	0.141302692178484	0.0610191166616878	0.0792788099047684	0.130786147350479
"HKB0049_3006_T"	0.0122892598551674	0.062203982251826	0.298943937472858	0.091360310263602	0.164603653302056	0.0240376662064552	0.126253030092817	0.00810910332649316
"HKB0050_3005_T"	0.0135717582726443	1.15558684427496e-14	0.0148852077368962	0.00729085031084227	0.0851747112331341	0.0159977857817833	0.142427291542269	0.00218427040642456
"HKB0052_3000_T"	0.0442254238893779	0.111499628106672	0.179497230720313	0.0420324594052847	0.16320104008559	0.115058193312042	0.0810542862855363	0.0625905671044623
"HKB0054_3000_T"	0.0230430561295394	0.0470737457797726	0.0631654068470344	0.00183919339868412	0.148635041991058	0.109660208488546	0.352861312762382	0.0470962135079297
"HKB0056_3002_T"	0.0665080451816641	8.67893035171811e-15	0.0287235660673957	0.0207138842436295	0.0360156908365222	0.087472882400141	0.048808999050611	0.306035111767383
