"BC_HKB0728_1447_T"	"BC_HKB0754_1481_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0211_3002_T"	"BC_HKB0740_1454_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0104_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0123_3006_T"	"HKB0124_3003_T"	"HKB0125_3006_T"	"HKB0129_3000_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0160_3000_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0233_3006_T"	"HKB0540_3000_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0692_3000_T"	"HKB0701_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0074_3000_T"	"HKB0127_3006_T"	"HKB0132_3006_T"	"HKB0161_3001_T"	"HKB0207_3001_T"	"HKB0573_3000_T"	"HKB0719_3002_T"
"HEATR4"	3.05484847699562	1.94110631094643	0.124328135002202	0.400537929583729	0.0565835283663675	2.98732086592925	0.454175893185802	0.565597175854225	1.11103131238874	1.02147972741045	0.594548549550354	0.250961573533219	0.124328135002202	0.978195629681652	0.137503523749935	0.367371065648529	0.176322772640463	1.10433665981474	0.454175893185802	0.176322772640463	0.0976107966264223	0.0565835283663675	0.20163386116965	0.0840642647884745	0.27500704749987	0.176322772640463	0.124328135002202	1.03562390973072	0.263034405833794	0.214124805352847	0.516015147003665	0.356143810225275	0.411426245726465	0.495695162624069	0.0840642647884745	0.0426443374084937	0.214124805352847	0.0976107966264223	0.632268215499513	0.31034012061215	0.37851162325373	0.16349873228288	0.75702324650746	0.27500704749987	0	1.11103131238874	0.263034405833794	0.604071323668861	0.37851162325373	0.748461233004036	0.176322772640463	0.0840642647884745	0.238786859587116	0.214124805352847	0.124328135002202	0.454175893185802	1.4541758931858	0.400537929583729	0.6959938131099	0.111031312388744	0.137503523749935	0.298658315564515	1.0496307677246	0.0426443374084937	0.176322772640463	0.0426443374084937	0.189033824390017	0.0143552929770701	0.75702324650746	0.189033824390017	0.189033824390017	0.443606651475615	0.0143552929770701	0.250961573533219	0.286881147788162	0.389566811762726	0.389566811762726	0.389566811762726	0.713695814843359	0.321928094887362	0.263034405833794	0.839959587489532	0.356143810225275	0.0285691521967709	0.150559676575381	0.356143810225275	0.713695814843359	0.189033824390017	0	0.214124805352847	0.632268215499513	0.855989697308481	0.189033824390017	0.464668267003444	0.333423733725192	0.22650852980868	0.0143552929770701	0.0565835283663675	0.263034405833794	0.070389327891398	0.27500704749987	1.04264433740849	0.22650852980868	0.0426443374084937	0.454175893185802	0.765534746362977	0.070389327891398	0.321928094887362	0.111031312388744	0.189033824390017	0.111031312388744	0.443606651475615	0.799087306074004	0.20163386116965	0.0840642647884745	0.321928094887362	0.0840642647884745	0.0565835283663675	0.321928094887362	0.214124805352847	0.070389327891398	0.910732661902913	0.27500704749987	0.250961573533219	0.137503523749935
"CTNNA3"	0	0	0.356143810225275	0.070389327891398	1.85996954822103	0	0.650764559116902	0.411426245726465	0.0976107966264223	0.356143810225275	0.389566811762726	0.6959938131099	0.238786859587116	0.344828496997441	0.111031312388744	0.137503523749935	0.16349873228288	0.070389327891398	0.150559676575381	0.7311832415722	1.63691458035588	0.0143552929770701	0.070389327891398	0.137503523749935	0.367371065648529	0.22650852980868	0.298658315564515	1.53106949272595	0.070389327891398	0.070389327891398	0.22650852980868	0.27500704749987	0.0426443374084937	0.367371065648529	0.263034405833794	0.604071323668861	0.150559676575381	0.948600847493356	0.454175893185802	1.46988597627446	0.594548549550354	0.150559676575381	0.214124805352847	0.070389327891398	0.111031312388744	0.485426827170242	0.0565835283663675	1.87578006306849	0.16349873228288	1.23266075679027	0.422233000683048	0.137503523749935	0.189033824390017	0.584962500721156	1.96716860753263	1.18269229751619	1.01435529297707	0.687060688339892	0.389566811762726	0.286881147788162	2.30451104180995	0.454175893185802	0.613531652917927	0	0.526068811667588	0.704871964456353	0.070389327891398	0.545968369105292	0.27500704749987	0.53605290024021	1.94860084749336	0.16349873228288	0.137503523749935	0.238786859587116	0.16349873228288	0.137503523749935	1.58014548442338	2.75488750216347	0	0.27500704749987	0.321928094887362	0.333423733725192	0.150559676575381	0.150559676575381	0.20163386116965	0.565597175854225	0.641546029087524	0.454175893185802	0.0840642647884745	0.464668267003444	0.20163386116965	0.713695814843359	0.20163386116965	0.286881147788162	0.286881147788162	1.62293035092018	0.55581615506164	0.124328135002202	0.263034405833794	0.0565835283663675	0.855989697308481	0.111031312388744	0.16349873228288	0	0.238786859587116	0.641546029087524	0.298658315564515	1.7311832415722	0.124328135002202	0.124328135002202	0.0976107966264223	0.16349873228288	0.411426245726465	0.124328135002202	0.20163386116965	0.238786859587116	0.516015147003665	0.0285691521967709	0.400537929583729	0.111031312388744	0.910732661902913	0.659924558402378	1.23878685958712	1.29278174922785	0.831877241191673
"SCAND2"	7.29517199198853	6.59380192890496	2.21101219348551	2.14404636961671	2.95046841415012	6.75542173473424	2.03913839390696	2.85399564717639	2.16027483140859	2.57288966842058	2.85598969730848	2.43829285157915	2.86393845042397	2.62993940943954	2.83995958748953	2.24792751344359	2.79701297783614	2.23266075679027	1.99276843076892	2.82781902461732	2.65535182861255	2.16992500144231	2.7158933705476	2.65764000520782	2.92789645372882	2.51601514700366	2.26303440583379	3.07553263116736	2.611172380044	1.92599941855622	1.87578006306849	2.28983446517751	3.05831649559082	2.68257329734758	2.31903981556254	2.78659636189081	2.05311133645956	3.4594316186373	2.41953889151378	1.8073549220576	2.01077983875324	1.98550043030488	3.07210580048042	2.26603689399532	1.88752527074159	2.55336050333533	1.9560566524124	2.29572302453997	2.4905701304462	3.08236196955747	2.31614574229336	2.53605290024021	2.25398926623079	3.19377174339668	2.27798474729977	2.93168305705981	1.46466826700344	1.63691458035588	2.0703893278914	2.88362081628567	1.83995958748953	2.46466826700344	2.37295209791183	2.20476675065461	2.13422093976063	2.75702324650746	2.51601514700366	2.60169651648096	2.73768676140986	2.81557542886257	1.84799690655495	1.91073266190291	1.65992455840238	1.65535182861255	1.92599941855622	2.45680614923047	2.75488750216347	2.65306001710456	2.03913839390696	1.71369581484336	1.96716860753263	2.35614381022528	2.18903382439002	1.66448284036468	2.114367024952	2.65306001710456	1.99276843076892	2.81147103052984	2.3533232911629	2.76977173924945	1.76977173924945	3.05658352836637	2.08746284125034	2.55336050333533	2.877744249949	4.06695024392463	2.6915341649192	2.49825086752783	1.56071495447448	1.4905701304462	2.26002565596146	1.91073266190291	2.98913900736823	2.1407786557828	2.68257329734758	3.62058641045188	2.49825086752783	2.44095219802964	2.12763327972587	2.66220549965362	2.57288966842058	3.54225804976692	2.91073266190291	2.47508488294878	2.14730669878029	2.77820857639809	2.81966818349646	2.55090066464752	2.45154083301783	2.23878685958712	1.85199883711245	2.44890095114513	2.5385381636298	2.7311832415722	2.16992500144231
"GOLGA9P"	1.94485844580754	0	0.124328135002202	0.516015147003665	1.14404636961671	0	0.286881147788162	0.137503523749935	0.333423733725192	0.389566811762726	0.27500704749987	0.250961573533219	0.632268215499513	0.55581615506164	0.286881147788162	0.286881147788162	0.37851162325373	0.176322772640463	0.839959587489532	0.485426827170242	0.545968369105292	0.0976107966264223	0.773996325111173	0.16349873228288	0.31034012061215	0.505890929729957	0.704871964456353	0.400537929583729	0.411426245726465	0.176322772640463	0.298658315564515	0.333423733725192	0.0840642647884745	0.632268215499513	0.333423733725192	0.367371065648529	0.613531652917927	0.505890929729957	0.526068811667588	0.641546029087524	0.238786859587116	0.526068811667588	0.27500704749987	0.464668267003444	0.16349873228288	1.40053792958373	0.250961573533219	0.464668267003444	0.422233000683048	1.40053792958373	0.298658315564515	0.22650852980868	0.526068811667588	0.22650852980868	0.31034012061215	1.03562390973072	0.0840642647884745	1.97452931248388	0.464668267003444	0.475084882948783	0.333423733725192	0.687060688339892	0.604071323668861	0.604071323668861	0.887525270741587	0.454175893185802	0.31034012061215	0.250961573533219	0.790772037862	0.815575428862573	0.632268215499513	0.16349873228288	0.238786859587116	0.739848102699327	0.27500704749987	0.356143810225275	0.189033824390017	0.31034012061215	0.356143810225275	0.485426827170242	0.137503523749935	0.516015147003665	0.16349873228288	0.0426443374084937	0.0840642647884745	0.604071323668861	0.124328135002202	0.454175893185802	0.443606651475615	0.604071323668861	0.400537929583729	0.526068811667588	0.400537929583729	0.495695162624069	0.189033824390017	0.400537929583729	0.124328135002202	0.263034405833794	0.411426245726465	0.298658315564515	0.505890929729957	0.516015147003665	0.613531652917927	0.111031312388744	0.584962500721156	0.389566811762726	0.389566811762726	0.124328135002202	0.367371065648529	0.286881147788162	0.622930350920177	0.475084882948783	0.632268215499513	0.333423733725192	0.0426443374084937	0.678071905112638	0.613531652917927	0.22650852980868	1.11103131238874	0.150559676575381	0.176322772640463	0.650764559116902	0.970853654340484	0.839959587489532	0.37851162325373
"C10orf27"	1.4905701304462	0	0.0285691521967709	0.0840642647884745	0.286881147788162	0	0.0426443374084937	0.111031312388744	0	0	0.411426245726465	0	0	0	0	0	1.43829285157915	0.150559676575381	0.0426443374084937	0	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0.0285691521967709	0.0565835283663675	0	0	0.0426443374084937	0	0	0	0.0426443374084937	0	0	0.0426443374084937	0	0	0.0426443374084937	0	0	0.137503523749935	0	0.0285691521967709	0	0	0	0.0426443374084937	0	0	0.150559676575381	0.0565835283663675	0	0	0.0565835283663675	0	0	0	0	0	0	0.0565835283663675	0	0	0.0565835283663675	0	0	0.0976107966264223	0	0	0	0	0	0.0285691521967709	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0.263034405833794	0	0	0	0	0.400537929583729	0	0	0.0426443374084937	0	0	0	0
"CNGA4"	0	0	0.111031312388744	0.0565835283663675	0.124328135002202	0	0.124328135002202	0.250961573533219	0.0976107966264223	0.124328135002202	0.124328135002202	0.22650852980868	0.070389327891398	0.189033824390017	0.0565835283663675	0.16349873228288	0.124328135002202	0.0285691521967709	0.111031312388744	0.176322772640463	0.22650852980868	0.0285691521967709	0.250961573533219	0.20163386116965	0.526068811667588	0.214124805352847	0.150559676575381	0.176322772640463	0.0143552929770701	0.0976107966264223	0.0285691521967709	0.22650852980868	0.22650852980868	0.176322772640463	0.0426443374084937	0.298658315564515	0.20163386116965	0.0143552929770701	0.111031312388744	0.070389327891398	0.0840642647884745	0.0840642647884745	0.650764559116902	0.137503523749935	0.286881147788162	0.0426443374084937	0.137503523749935	0.137503523749935	0.150559676575381	0.20163386116965	0.0285691521967709	0.070389327891398	0.16349873228288	0.238786859587116	0.150559676575381	0.22650852980868	0.124328135002202	0.298658315564515	0.0426443374084937	0.111031312388744	0.0840642647884745	0.0426443374084937	0.0840642647884745	0.31034012061215	0.189033824390017	0.176322772640463	0.16349873228288	0.070389327891398	0	0.53605290024021	0	0.16349873228288	0.0976107966264223	0.16349873228288	0.27500704749987	0.31034012061215	0.400537929583729	0.250961573533219	0.111031312388744	0.263034405833794	0.137503523749935	0.0976107966264223	0.0285691521967709	0.070389327891398	0.0565835283663675	0.124328135002202	0.0976107966264223	0.356143810225275	0.070389327891398	0.739848102699327	0.0840642647884745	0.16349873228288	0	0.238786859587116	0	0.16349873228288	0.189033824390017	0.150559676575381	0.176322772640463	0.0143552929770701	0.356143810225275	0.0285691521967709	0.111031312388744	0.137503523749935	0.0426443374084937	0.0426443374084937	0.0426443374084937	0.070389327891398	0.0976107966264223	0.238786859587116	0.22650852980868	0.0565835283663675	0.27500704749987	0.0426443374084937	0.124328135002202	0.150559676575381	0.111031312388744	0.0840642647884745	0.250961573533219	0.070389327891398	0.0143552929770701	0.111031312388744	0.070389327891398	0	0.111031312388744
"CRISP1"	0	0	0	0.0426443374084937	0	0	0	0	0.0285691521967709	0	0.0426443374084937	0	0	0	0.0565835283663675	0	0	0	0	0	0.0426443374084937	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.0285691521967709	0	0	0	0	0.0565835283663675	0	0.0565835283663675	0	0.0426443374084937	0	0.0285691521967709	0	0	0	0.790772037862	0	0	0	0	0.0426443374084937	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0.516015147003665	0.111031312388744	0	0.0426443374084937	0	0.150559676575381	0.321928094887362	0	0	0	0	0	0	0	0.0565835283663675	0.0840642647884745	0.632268215499513	0	0	0.0426443374084937	0	0.613531652917927	0	0	0	0.0565835283663675	0.070389327891398	0	0	0	0	0	0	0.0840642647884745	0.214124805352847	0.150559676575381	0.0426443374084937	0	0.070389327891398	0	0	0	0	0	0	0	0	0.0285691521967709	0.0426443374084937	0	0	0.263034405833794	0
"A2BP1"	0	2.03913839390696	0.0426443374084937	0.0840642647884745	0.124328135002202	1.0071955014042	0.0285691521967709	0.344828496997441	0	0.070389327891398	0	0.0143552929770701	0	0	0	0	0	0.0285691521967709	0.0143552929770701	0	0.0426443374084937	0.0143552929770701	0	0	0.0840642647884745	0	0.070389327891398	0.0285691521967709	0.0143552929770701	0	0	0	0.0426443374084937	0.22650852980868	0	0.0143552929770701	0	0	0.575312330687437	0	0	0	0	0	0	0	0.0565835283663675	0.22650852980868	0	0	0.0285691521967709	0.0426443374084937	0	0.16349873228288	0	0.176322772640463	0	0	0	0.0840642647884745	0	0	0	0.16349873228288	0.0565835283663675	0	0	0	0.0840642647884745	0	0.0976107966264223	0	0.124328135002202	0.0143552929770701	0.0426443374084937	0	0	0	0	0.0426443374084937	0.0565835283663675	0.0565835283663675	0.0285691521967709	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0.250961573533219	1.32192809488736	0	0	0	0.124328135002202	0.321928094887362	0	0.0143552929770701	0.0565835283663675	0	0	1.70929063572336	0.0426443374084937	0	0	1.57046293102604	0	0	0.0426443374084937	0	0.137503523749935	0.124328135002202	0	0	0.124328135002202
"APOB"	0	0.150559676575381	0.0285691521967709	0.0565835283663675	0.0976107966264223	0	0	0.111031312388744	0.0143552929770701	0.0426443374084937	0	0.0565835283663675	0.454175893185802	0.0426443374084937	0.0840642647884745	0.0565835283663675	0.0285691521967709	0	0.27500704749987	0.0426443374084937	0.0976107966264223	0	1.57046293102604	0	0.0143552929770701	0.070389327891398	0.137503523749935	0	0.0143552929770701	0	0.0285691521967709	0.0426443374084937	0.0143552929770701	0.176322772640463	0.0285691521967709	0.0285691521967709	0.0426443374084937	0.0143552929770701	0.0840642647884745	0.070389327891398	0.0143552929770701	0.137503523749935	0.0285691521967709	0.0143552929770701	0	2	0.0426443374084937	0.214124805352847	0.0143552929770701	0.37851162325373	0.0285691521967709	0.150559676575381	0.16349873228288	0	0.0565835283663675	0.422233000683048	0.0285691521967709	4.60407132366886	0.356143810225275	0.189033824390017	0.0426443374084937	0.20163386116965	0.238786859587116	0.0426443374084937	0.189033824390017	0.16349873228288	0.0143552929770701	0.0426443374084937	0.0976107966264223	0.0565835283663675	0.214124805352847	0	0	0.0143552929770701	0.27500704749987	0.0285691521967709	0	0	0.070389327891398	0.0565835283663675	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.0285691521967709	0	0.6959938131099	0.0426443374084937	0.070389327891398	0.0285691521967709	0.356143810225275	0.286881147788162	0.0143552929770701	0.0565835283663675	0.0426443374084937	0	0.0143552929770701	0.0143552929770701	0.669026765509631	0	0.0285691521967709	0.0426443374084937	0.0285691521967709	0.0426443374084937	0.0143552929770701	0.0285691521967709	0.0143552929770701	0	0	0	0.0426443374084937	0.0565835283663675	0.111031312388744	0.150559676575381	0.0143552929770701	0.0143552929770701	0.0840642647884745	0.411426245726465	0.400537929583729	0.0565835283663675	0.0143552929770701	0.0143552929770701	0.070389327891398	0.0565835283663675	0.214124805352847	0.31034012061215
"ATP6V1H"	2.81147103052984	3.46466826700344	4.93357263826102	4.96439863220318	5.39574832817903	3.76659516172927	4.94579495674006	6.41869594960205	5.92005505480697	4.99774402605963	6.01547080763938	5.07681559705083	5.23189316164533	6.05831649559082	4.2502036564993	6.35102755219611	5.08915913191124	5.21606678308703	4.80374366850523	5.41717741190639	5.12267271882414	5.34801990922869	5.25625587320273	4.67919857056692	5.14812063112396	4.81455042346181	5.14893410452634	5.4947356048628	4.85249829878989	5.23955079661364	4.29719141656586	4.64154602908752	5.72383156649532	5.25436728144083	4.98913900736823	5.34837407519116	4.9923152518612	5	5.06651978142975	5.3215673760354	5.69543711040537	4.50207595604579	4.71973105674985	5.05006629830629	5.08406426478847	4.95093492831454	4.68650052718322	6.17771851116218	5.08406426478847	4.87921563716567	5.32553033156756	5.29130885982897	5.08915913191124	5.70127180220197	4.67807190511264	5.01256867350306	5.90929308582382	4.55765515472542	5.4239142676731	5.12598165385472	5.22804904788446	4.34766565630097	4.91504279137198	6.16832111573972	4.09845324630927	4.9429835981871	5.10097764772482	6.17412673742093	4.94953493301701	4.51349074558812	5.34518344718767	6.64817779572482	4.79337571126475	4.80271021929134	4.88752527074159	4.89141918684608	5.88215391728701	5.38024459047818	4.834407841807	5.48478262307787	4.17632277264046	5.38646609286931	5.58796498888268	4.69877410890368	6.8636907136601	5.43095427138573	7.14149410089584	5.67101024127845	5.28503224962291	4.73443866613717	5.52387555132852	5.44294349584873	6.63328588725897	6.28262513419167	4.71973105674985	6.49697358099828	4.98595575460751	5.65133876610593	6.01301553583926	5.62614706360372	5.28058520256447	5.14200491598488	4.94626298433245	5.467605550083	5.03033607837096	5.24336442569366	5.92813340782985	6.09803208296053	5.38508585354768	5.22727899446832	4.86591881455221	5.0232553523003	5.21761848535105	5.17272751801285	6.87184364850932	4.74792441623844	4.76553474636298	4.89093302170554	5.30012372456901	4.54843662469604	4.78816365703777	5.05050169744673	4.78659636189081	5.37051305246041	4.64731450954714
"ASB5"	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0.0143552929770701	0	0.0143552929770701	0	0	0.0426443374084937	0	0.0285691521967709	0	0	0	0.0285691521967709	0	0.0143552929770701	0	0.0565835283663675	0.0143552929770701	0	0	0	0.0426443374084937	0	0.0143552929770701	0	0	0	0	0	0.0143552929770701	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.0426443374084937	0	0	0.0285691521967709	0	0	0	0	0.070389327891398	0.111031312388744	0	0	0	0	0.0976107966264223	0.0840642647884745	0.0143552929770701	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0.0426443374084937	0	0	0.0285691521967709	0.0976107966264223	0	0	0	0	0	0	0.0976107966264223	0	0	0.632268215499513	0	0	0.0285691521967709	0	0	0.189033824390017	0	0	0
"OLIG3"	0	0.815575428862573	0.0285691521967709	0	0	0	0.0565835283663675	0	0	0.0285691521967709	0	0	0	0	0.0976107966264223	0	0.985500430304885	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941106310946431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0.111031312388744	0	0	0
"C16orf78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0
"LRRC8E"	3.03210084316702	3.37989816352469	3.39780296186249	4.1168637576909	3.10936055940423	3.22496636500027	2.56803210477128	3.02680005934372	3.82476785314329	3.86690797814317	3.39094277280254	3.79389588254888	2.78659636189081	3.60644222813161	2.88752527074159	3.17951105027151	3.53356334821451	3.1586601753465	3.15218341905505	2.90303827011291	3.04614178164472	2.5033487351675	3.01970191444255	3.41953889151378	3.51727569320958	3.61823865559545	3.25096157353322	3.34056226902641	2.99638874644762	3.05137210172103	2.98550043030489	4.51853513898218	3.73226919950145	3.61353165291793	3.87676249078156	3.5837597536395	3.01792190799726	3.56559717585422	3.82374936030827	3.47767732756531	3.11603199344711	3.4944156103975	2.98367769469807	2.70487196445635	3.33771109212829	2.82781902461732	3.60407132366886	2.67129337248158	3.59931779369823	3.06695024392463	3.25398926623079	3.71369581484336	1.91456452349394	3.21256933885081	2.71369581484336	3.15380533607904	3.99457972421575	1.13093086982645	3.59931779369823	3.4235781709818	3.34766565630097	2.75060650483559	3.02680005934372	4.22265002245148	2.97636363573276	4.5298209465287	2.09761079662642	3.30888505741176	3.43962313755712	3.82171021503467	0.111031312388744	2.48284828306847	3.80632405739003	3.79701297783614	3.34056226902641	3.75808993420181	2.92029330021101	3.47118746038699	3.43162295971329	3.42492208821069	3.58255600301406	3.5385381636298	3.51096191927738	1.93357263826102	3.02680005934372	3.46988597627446	3.37989816352469	3.90689059560852	3.30888505741176	3.39643353125099	3.11103131238874	3.0686708106651	3.4541758931858	3.12598165385472	3.66562016406638	3.46074256378964	2.88752527074159	3.18269229751619	3.99004721957379	3.73009646559547	3.63343121035563	3.09254574154357	3.20945336562895	3.62993940943954	3.30597052098439	3.99819550315325	2.94860084749336	2.66448284036468	3.35191096110308	3.93828579188405	3.50969584193339	3.08406426478847	3.38266725274504	3.08915913191124	3.40599235967584	2.68929916053589	2.62293035092018	3.53106949272595	3.05137210172103	2.53356334821451	2.75915583380027	3.65535182861255	2.52105073690096	2.6915341649192	2.74846123300404
"DNPEP"	3.47248777146274	4.13175409098481	4.95419631038687	5.39711840904258	4.44426950241348	3.27500704749987	5.64414469993285	5.41481206056585	5.48639259427596	4.6564963705535	5.15704371014558	5.5298209465287	5.17552460108987	5.01480160235136	5.58586390346269	6.3094308781034	5.38474058729238	5.53605290024021	5.54504168346746	5.38162946703366	5.49153246180432	5.99932357815082	5.11311703639072	4.6876206320849	5.50143914515887	5.67948009950545	5.20906339534927	5.75542173473424	5.52418907844937	5.0071955014042	6.2309330930394	5.78476569631639	4.96347412397489	5.91121220155861	5.50303064564116	5.30305008468167	5.22187708107703	5.64183500155537	5.42727093517358	5.46695333712393	5.80451826988807	5.15137177625395	5.16551001804135	5.56010351346474	5.94883442557869	5.49089097889429	4.89578731646331	5.5957423394744	4.89965902637744	5.05528243550119	6.24203080192273	5.03342300153745	5.48252564076792	4.72900887033786	5.42425028608405	5.88093036107688	6.06242396907444	5.03298241669943	5.13298804262744	5.26716121802226	5.48188013962029	4.92219784839637	5.72546851263261	4.08491465976794	5.09761079662642	5.19770815795585	6.355967689241	5.36911745859982	5.11603199344711	5.84046323386954	4.78345665436024	5.45285896471381	5.72900887033786	4.96116025813664	5.58616424593091	5.24792751344359	5.32696871158789	5.9205315062779	5.01256867350306	5.69905184401685	5.31034012061215	5.46890909211059	5.48091134604775	4.2364926183813	5.31867837373655	5.57803297169654	6.01145091173575	6.06608919045777	6.03562390973072	5.30231905094883	4.39917109381982	6.04308198189566	5.58014548442338	5.91121220155861	4.52794609890826	5.48317085322987	4.89481776330794	5.29865831556452	6.28558716790947	5.97384083953315	5.88801258540283	5.46890909211059	5.20828313841252	5.66020987335256	5.03298241669943	5.62205181945638	5.56833618213375	5.80761252317263	5.65821148275179	5.40667271575583	5.33019983285091	5.13832300405648	5.41616416473313	5.39746072605472	6.13955135239879	5.15340002773506	5.36806987653208	5.33699741660501	4.82883464946806	4.88068552526112	5.80658184262093	5.25927248703759	5.05874941233552	5.43329332581501	4.80322703643493
"C17orf99"	0	0.75702324650746	0.0143552929770701	0.0285691521967709	0.356143810225275	0	0	0	0.0285691521967709	0.0285691521967709	0	0.070389327891398	0	0	0	0	0.176322772640463	0	0	0.070389327891398	0.111031312388744	0	0	0	0.0285691521967709	0.0565835283663675	0	0	0	0.0565835283663675	0	0.0426443374084937	0	0.0285691521967709	0.0143552929770701	0	0	0.0840642647884745	0	0	0	0	0	0.176322772640463	0	0.0285691521967709	0	0.124328135002202	0	0.16349873228288	0.0143552929770701	0	0	0.0840642647884745	0.356143810225275	0	0	0	0	0	0	0.214124805352847	0	0.0426443374084937	0.0976107966264223	0	0.0285691521967709	0	0	0	0	0	0	0	0.137503523749935	0	0	0.0285691521967709	0	0	0	0.070389327891398	0	0.070389327891398	0.0976107966264223	0	0.137503523749935	0.0840642647884745	0.070389327891398	0.0840642647884745	0	0	0.0285691521967709	0	0	1.13093086982645	0	0.0426443374084937	0	0	0	0.0565835283663675	0.286881147788162	0	0	0	0	0.0285691521967709	0	0	0	0.356143810225275	0.070389327891398	0	0	0	0.124328135002202	0.0565835283663675	0.16349873228288	0	0.16349873228288	0.16349873228288	0	0.124328135002202	0
