"BC_HKB0728_1447_T"	"BC_HKB0754_1481_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0211_3002_T"	"BC_HKB0740_1454_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0104_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0123_3006_T"	"HKB0124_3003_T"	"HKB0125_3006_T"	"HKB0129_3000_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0160_3000_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0233_3006_T"	"HKB0540_3000_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0692_3000_T"	"HKB0701_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0074_3000_T"	"HKB0127_3006_T"	"HKB0132_3006_T"	"HKB0161_3001_T"	"HKB0207_3001_T"	"HKB0573_3000_T"	"HKB0719_3002_T"
"OR10H4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR52A1"	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2Z1"	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR8H1"	0	0	0	0.0840642647884745	0.389566811762726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0
"DEFB129"	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C3"	0	0	0.0565835283663675	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0
"OR6X1"	1.38404980679516	5.44095219802964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR51T1"	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0.20163386116965	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSC2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR8K3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739848102699327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RBMXL3"	0	0	0.0143552929770701	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T34"	0	0	0.214124805352847	0	0.137503523749935	0	0	0	0	0	0	0.070389327891398	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP9.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C22orf42"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443606651475615	0	0.070389327891398	0	0	0	0	0	0.20163386116965	0	0	0.124328135002202	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM24A"	0	2.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4C16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ40434"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2V2"	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4K1"	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
