"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0044_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0079_3000_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3000_T"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0227_3000_N"	"HKB0538_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0064_3004_T"	"HKB0127_3000_N"	"HKB0006_3006_T"	"HKB0033_3006_T"	"HKB0078_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0102_3006_T"	"HKB0141_3000_N"	"HKB0141_3006_T"	"HKB0158_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0222_3006_T"	"HKB0225_3000_N"	"HKB0226_3001_T"	"HKB0230_3006_T"	"HKB0233_3000_N"	"HKB0552_3000_T"	"HKB0562_3000_N"	"HKB0585_3000_T"	"HKB0713_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0161_3001_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0648_3000_N"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0216_3000_N"	"HKB0221_3001_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0719_3002_T"	"HKB0737_3000_T"	"HKB0143_3006_T"	"HKB0226_3000_N"	"HKB0672_3000_N"
"NECAB1"	0.27500704749987	0.956056652412403	0.400537929583729	1.02147972741045	1.17632277264046	1.64616265715789	1.47508488294878	0.678071905112638	1.70043971814109	0.871843648509318	1.36176835941915	0.263034405833794	0.250961573533219	0.575312330687437	1.83592407425437	2.40871186102943	1.55581615506164	0.933572638261024	2.12763327972587	2.29865831556452	1.63226821549951	1.25096157353322	1.56071495447448	0.263034405833794	0.214124805352847	0.333423733725192	2.06350294230616	0.0976107966264223	1.23878685958712	1.81147103052984	3.41006969175638	0.495695162624069	1.0703893278914	2.0496307677246	1.55581615506164	0.871843648509318	2.33342373372519	0.887525270741587	1.59454854955035	4.4032677223393	1.77399632511117	1.84398384404833	1.09085343045111	1.25096157353322	0.400537929583729	3.19692173382033	0.575312330687437	0.16349873228288	0.286881147788162	2.99457972421575	1.39506279951758	1.07724299893246	2.70929063572336	0.604071323668861	0.432959407276106	0.584962500721156	0.356143810225275	2.05311133645956	1.9297909977186	1.95233356636969	2.22032995487956	0.250961573533219	2.46205231879643	1.57531233068744	0.871843648509318	0.584962500721156	1.10433665981474	3.94673086014031	2.75702324650746	2.35614381022528	1.37851162325373	0.400537929583729	1.18903382439002	1.21412480535285	1.04264433740849	2.28095631383106	1.23266075679027	1.48542682717024	1.27500704749987	2.92599941855622	0.807354922057604	1.06350294230616	0.594548549550354	0.176322772640463	0.748461233004036	0.0285691521967709	0.422233000683048	0.0565835283663675	0	0.22650852980868	0.070389327891398	0.22650852980868	0.137503523749935	0.070389327891398	0.0426443374084937	0.0285691521967709	0.0143552929770701	0.432959407276106	0	0.0426443374084937	0.704871964456353	0.189033824390017	1.37295209791183	5.22958792274065	0.0565835283663675	1.15704371014558	0.0143552929770701	0.0426443374084937	1.63691458035588	0.22650852980868	0.613531652917927	0.594548549550354	0	0.214124805352847	0.0426443374084937	0.22650852980868	0.790772037862	0	0.286881147788162	0.214124805352847	0	0.0426443374084937	0.150559676575381	0.0143552929770701	0.0565835283663675	0.0285691521967709	0.124328135002202	0.0426443374084937	0.0143552929770701	0.0565835283663675	0.0840642647884746	0.0143552929770701	0.0426443374084937	0.0285691521967709	0.070389327891398	0.0840642647884746	0.0976107966264223	0.0840642647884746	0.0143552929770701	0.20163386116965	0.137503523749935	0.0143552929770701	2.93168305705981	1.21412480535285
"CFD"	8.17237750101828	6.99378756313484	7.53106949272595	9.25164809208719	10.511090443127	9.57273811686407	7.84008551556895	8.27314285930808	8.08044448343484	9.09539702279256	7.3017705324551	10.5213452466035	8.51502957835657	10.2734342975448	10.1267173770345	10.9474616124585	9.14837489083821	7.98322165074267	9.25875445522313	11.548316202416	10.8639771554508	10.3808722773837	10.1184350027996	10.6483935365782	10.6833104677192	10.6839332585948	9.76661172453648	10.7012804672192	10.1678947837094	9.57931593758001	10.293345191938	7.88526929680122	10.6888709716542	9.91684980991428	8.8483725594775	8.94304222407007	9.54032180596415	8.79226972416655	9.25693987763276	10.7705317568105	11.3261092272116	9.91366734365477	9.45651869842795	10.6768826710132	10.6485732959815	10.2740403005597	10.2221669826235	7.76963952140205	9.25316201248414	9.35407302952735	9.65080045375	9.23744899563932	9.68313498512609	8.85249829878989	11.0068590127634	9.72761418961959	10.5394205667029	8.42513196223688	9.69106300674527	10.9934479323315	10.2982344433074	9.55084296184679	9.53496424980466	7.42936489333515	11.098064990775	11.2959582972365	11.8260439324691	10.5351878789853	10.5088544731331	10.74428725858	8.37343071196884	7.502473820156	8.87519642992251	10.209977222255	10.7244797464511	10.0523642659262	8.90309854187533	10.5389454936521	9.51086304698588	10.5726149695009	10.4432958352299	10.0907608249144	7.64551433582041	7.3264294871223	6.8760257327227	1.92219784839637	6.02369891726641	3.27202318906105	4.29645740737124	4.38818953715608	6.799087306074	5.53387477725855	6.08385158769796	5.73552217729654	5.9429835981871	4.28688114778816	3.56193705962243	7.32939273070908	3.83895176695194	3.22496636500027	7.25587835258279	8.00646634346509	6.78894666657714	3.17791779219584	3.97085365434048	3.12763327972587	1.16992500144231	5.87872534148011	5.21839371107679	7.39686161796992	9.81560744854987	6.30012372456901	3.8923910259134	8.69306872440728	7.67708535055984	7.57341997353256	8.95172182905633	5.44493204894218	5.73199778664374	7.4708621994137	4.55642941544957	4.13832300405648	5.93993176472761	7.15258906928713	6.89663514130291	4.55397480823747	4.30815697511476	4.98777561614291	5.19258872156664	5.0408924306469	4.8171115727957	4.40463068421761	3.32768736417605	4.62702310555406	4.84899843040002	3.83995958748953	7.40105015932136	3.05658352836637	4.61823865559545	4.96901230751632	6.36439733732132	6.34571570878414	10.654976077851	10.1060525090563
"MASP1"	0.650764559116902	0.495695162624069	2.03210084316702	1.30451104180995	1.34482849699744	2.13750352374994	0.903038270112912	1.36737106564853	0.782408564927373	2.16992500144231	0.604071323668861	3.6915341649192	1.71369581484336	3.33913738491959	2.45680614923047	1.6915341649192	2.68257329734758	1.30451104180995	1.76128527336162	3.18269229751619	2.22958792274065	2.94485844580754	1.46988597627446	1.58496250072116	4.49697358099828	2.3533232911629	0.344828496997441	3.38956681176273	0.978195629681652	1.90689059560852	3.08915913191124	1.4276061727819	2.89530262133331	2.71149490665009	1.38956681176273	1.15704371014558	2.09761079662642	1.36176835941915	1.29865831556452	3.07895134139482	0.687060688339892	1.88362081628567	0.84799690655495	1.85996954822103	2.69821847822441	3.61235249875266	1.790772037862	1.27500704749987	2.20163386116965	1.74846123300404	1.34482849699744	0.545968369105292	1.82374936030827	1.71369581484336	2.33628338786443	3.19377174339668	2.44890095114513	1.05658352836637	2.47767732756531	2.71369581484336	2.32481060342048	1.67355642399014	1.88752527074159	0.782408564927373	2.84197311892718	3.65992455840238	4.28762004411207	3.33199177823206	3.07895134139482	2.8011586560937	2.59931779369823	0.739848102699327	1.33913738491959	2.44890095114513	3.22650852980868	2	1.34482849699744	1.90689059560852	1.29278174922785	1.59931779369823	1.38404980679516	1.90303827011291	1.41683974191283	0.298658315564515	0.575312330687437	0.0426443374084937	0.31034012061215	0.111031312388744	0.27500704749987	0.0840642647884746	0.0840642647884746	0.790772037862	0.464668267003444	0.454175893185802	0.263034405833794	0.0840642647884746	0.0285691521967709	1.11769504266975	0.0565835283663675	0.286881147788162	0.286881147788162	0.53605290024021	0.765534746362977	0.0285691521967709	0.0565835283663675	0.0426443374084937	0	0.356143810225275	0.400537929583729	1.43829285157915	1.44890095114513	1.67355642399014	0.0840642647884746	1.54101915313356	0.124328135002202	0.526068811667588	1.73552217729654	0.111031312388744	0.0285691521967709	0.286881147788162	0.150559676575381	0.0565835283663675	0	0.978195629681652	0.918386234446348	0.903038270112912	0.16349873228288	0.790772037862	0.070389327891398	0.669026765509631	0.250961573533219	0.0840642647884746	0.070389327891398	0	0.687060688339892	0.0426443374084937	0.367371065648529	0.22650852980868	0	0.722466024471091	0.124328135002202	0.584962500721156	2.66220549965362	1.48026512205446
"CMA1"	1.67807190511264	2.28095631383106	1.93734439215023	2.50589092972996	2.60880924267552	2.36176835941915	1.90689059560852	1.91073266190291	1.38404980679516	1.55581615506164	2.91073266190291	3.80219321694183	3.16349873228288	3.70376517879341	1.78659636189081	2.65992455840238	3.03913839390696	2.18269229751619	2.65535182861255	2.06350294230616	3.21567859660793	3.24792751344359	2.38128337250378	2.93168305705981	4.15785216914174	2.96716860753263	2.1243281350022	2.38956681176273	2.02502879449152	1.98550043030488	2.13750352374994	3.114367024952	3.6959938131099	2.65535182861255	3.19692173382033	1.37851162325373	2.75488750216347	2.07724299893246	1.52105073690096	2.08065766334523	3.15380533607904	2.99095486039699	3.34198574722862	2.51349074558812	3.9126498648972	2.57773093149008	2.77820857639809	1.63691458035588	1.4594316186373	3.51853513898218	2.8073549220576	1.62760683812965	2.0496307677246	2.78868571061353	2.14730669878029	3.55458885167764	3.29572302453997	3.12763327972587	3.5837597536395	2.41953889151378	2.46988597627446	3.21567859660793	2.11103131238874	2.04264433740849	2.89336221076387	2.82781902461732	3.64961545906341	1.49569516262407	3.07895134139482	3.95326523901484	3.12267271882414	1.25701061820602	1.99276843076892	1.43295940727611	1.46988597627446	2.6915341649192	3.0496307677246	3.20789285164133	2.43028527297778	2.04614178164472	3.4276061727819	2.05311133645956	2.16992500144231	1.33913738491959	0.594548549550354	0	1.13093086982645	0	0.475084882948783	0.214124805352847	1.57046293102604	1.58976348698498	1.07724299893246	1.89917563048051	1.34482849699744	0.22650852980868	0.37851162325373	0.20163386116965	0	0.31034012061215	1.24488705912353	2.57531233068744	1.65992455840238	0.189033824390017	0.31034012061215	0	0	0.659924558402378	2.09761079662642	2.55826763405574	2.40053792958373	2.61823865559545	0	3.08746284125034	1.97819562968165	1.55090066464752	2.82781902461732	0.6959938131099	0.799087306074004	1.83187724119167	0.641546029087524	0.124328135002202	0	2.34198574722862	1.48542682717024	0.584962500721156	1.26303440583379	0.604071323668861	1.21412480535285	0.807354922057604	0.526068811667588	0	0.111031312388744	0.0976107966264223	1.30451104180995	0.124328135002202	0.748461233004036	0	0.7311832415722	1.50589092972996	0.594548549550354	0.545968369105292	2.28392177230762	4.63865311646611
"POPDC2"	2.25096157353322	2.9297909977186	2.43562859405209	2.37573453858316	1.77820857639809	2.54349588342577	2.30451104180995	2.13422093976063	2.21412480535285	3.15055967657538	2.26303440583379	1.50589092972996	2.0071955014042	2.08746284125034	1.15055967657538	1.98185265328974	1.86393845042397	3.0232553523003	2.43028527297778	1.35049724708413	1.86393845042397	1.38404980679516	1.90689059560852	1.40599235967584	1.62293035092018	1.4905701304462	2.13750352374994	1.35049724708413	2.15055967657538	1.60407132366886	0.985500430304885	2.19534759832222	1.29278174922785	1.46466826700344	2.48284828306847	2.64616265715789	1.98550043030488	1.85199883711245	1.84799690655495	1.21412480535285	1.52105073690096	1.76977173924945	1.63691458035588	0.75702324650746	1.02147972741045	1.16992500144231	1.67355642399014	2.39506279951758	1.64616265715789	1.97452931248388	2.72027846523333	2.69821847822441	1.9560566524124	2.13422093976063	1.24488705912353	1.46988597627446	1.43829285157915	2.63923216324928	2.54596836910529	1.58976348698498	2.11769504266975	1.82374936030827	1.80322703643493	2.43829285157915	1.41683974191283	1.58976348698498	1.50080205305716	1.25701061820602	1.98550043030488	1.790772037862	2.01435529297707	2.4905701304462	1.91456452349394	1.93357263826102	1.32192809488736	2.21101219348551	1.799087306074	1.73984810269933	2.17632277264046	1.39506279951758	1.23878685958712	2.31614574229336	3.01792190799726	1.47508488294878	1.92219784839637	1.82781902461732	2.29865831556452	1.59454854955035	1.51096191927738	1.76128527336162	1.02147972741045	2.51853513898218	1.87184364850932	2.10097764772482	1.40053792958373	2.114367024952	1.30451104180995	2.49569516262407	1.28688114778816	1.81557542886257	1.99276843076892	1.41683974191283	2.46466826700344	1.15055967657538	0.863938450423971	2.51349074558812	1.54596836910529	2.63923216324928	2.64616265715789	2.29865831556452	2.19219416528334	2.19534759832222	1.84799690655495	2.40871186102943	2.16349873228288	2.06350294230616	2.58014548442338	2.79285535236249	2.85598969730848	1.65992455840238	1.9297909977186	2.02147972741045	1.87578006306849	1.60880924267552	1.81557542886257	1.85199883711245	1.49569516262407	2.21412480535285	1.65992455840238	1.24488705912353	1.44360665147561	2.29865831556452	1.6959938131099	1.20163386116965	2.25096157353322	1.37295209791183	1.57531233068744	1.55581615506164	2.03210084316702	1.86393845042397	2.4541758931858	1.35614381022528	1.22032995487956	1.89530262133331
"NEGR1"	1.86393845042397	2.19534759832222	2.69376571221778	3.69265037003553	3.27500704749987	2.70708299177171	1.83187724119167	1.59931779369823	1.82781902461732	2.56071495447448	1.96347412397489	4.95512678126137	3.06004738366994	3.64385618977472	3.34908214639109	3.93073733756289	3.52230689287139	1.86393845042397	3.48155728070859	3.51475349843975	3.70376517879341	3.05137210172103	2.7311832415722	4.59753117422421	4.8499992594661	4.15137177625395	2.39231742277876	4.38266725274504	3.4235781709818	3.3533232911629	3.69710657447697	2.83794324189103	3.88264304936184	4.00270252037982	2.75274859140713	2.78450398292957	3.07724299893246	2.40053792958373	2.63226821549951	2.8972404255748	4.71753934339116	3.40871186102943	3.33913738491959	3.76553474636298	4.72027846523333	3.4867143730307	4.50143914515887	2.81147103052984	3.62760683812965	3.69041709553247	3.77610398807316	2.64154602908752	3.72465027173297	3.32912359629157	3.61353165291793	4.13996056954546	4.06695024392463	3.4594316186373	3.58255600301406	4.03474394932473	4.24488705912353	3.57410150808939	3.34482849699744	2.84398384404833	3.57288966842058	4.62117275268344	4.7839804136838	3.62293035092018	4.55887985347544	4.15461561132689	3.40463068421761	1.90689059560852	3.18745105402733	3.27202318906105	3.90689059560852	2.68706068833989	3.45022149589718	4.28762004411207	3.09254574154357	3.4905701304462	4.02591469875079	3.50080205305716	2.9297909977186	4.27127625917593	1.20163386116965	0.748461233004036	2.21101219348551	1.58496250072116	1.71808758396052	2.24184018356467	2.15704371014558	1.40599235967584	1.44360665147561	2.25398926623079	1.96716860753263	1.63226821549951	4.74254523386605	2.3305584000308	2.15055967657538	3.70376517879341	1.88362081628567	2.70929063572336	2.14730669878029	2.18269229751619	1.82374936030827	1.15704371014558	6.24184018356467	0.925999418556223	3.16510798514454	2.81147103052984	2.83187724119167	2.70929063572336	1.92219784839637	2.70265754339091	2.58496250072116	2.56071495447448	2.99276843076892	1.98913900736823	1.37295209791183	2.39231742277876	2.31614574229336	2.22342254993494	2.39506279951758	2.80322703643493	2.66448284036468	2.06350294230616	3.0496307677246	1.76128527336162	1.72246602447109	2.95419631038688	3.83187724119167	2.7158933705476	2.06350294230616	2.16992500144231	1.83592407425437	2.46727948045998	2.53356334821451	2.61823865559545	2.68257329734758	2.44625622988956	1.93734439215023	1.54596836910529	3.70929063572336	4.08321336824898
"ADAMTS8"	1.0071955014042	2.13093086982645	0.432959407276106	1.64154602908752	0.871843648509318	0.84799690655495	1.43295940727611	2.59693514238723	1.13093086982645	1.09085343045111	3.10768786931437	0.53605290024021	3.95419631038688	1.83995958748953	0.0285691521967709	0.333423733725192	0.545968369105292	3.19849415363908	1.40599235967584	0.238786859587116	0.815575428862573	0.176322772640463	0.839959587489532	0.27500704749987	0.55581615506164	0.963474123974886	1.50589092972996	0.22650852980868	1.33913738491959	0.526068811667588	0.389566811762726	1.95977015521147	0.298658315564515	0.454175893185802	1.52606881166759	1.26903314645524	0.687060688339892	3.2585189247113	1.85199883711245	0.111031312388744	0.454175893185802	1.4541758931858	1.81147103052984	0.0840642647884746	0	0.16349873228288	0.855989697308481	2.07382023329167	1.29278174922785	0.604071323668861	1.26903314645524	1.799087306074	1.09761079662642	1.03562390973072	0.516015147003665	0.855989697308481	0.641546029087524	2.27500704749987	1.46466826700344	0.422233000683048	1.07724299893246	1.91456452349394	0.933572638261024	1.06350294230616	0.464668267003444	0.238786859587116	0.659924558402378	0.782408564927373	0.111031312388744	0.0426443374084937	0.526068811667588	0.389566811762726	1.18903382439002	1.73552217729654	0.27500704749987	0.650764559116902	1.06350294230616	0.0840642647884746	1.65992455840238	0.0565835283663675	4.06177619758669	0.970853654340484	1.02856915219677	0.815575428862573	3.84498815668261	0.0285691521967709	0.238786859587116	0.0976107966264223	0.604071323668861	0.464668267003444	0.344828496997441	2.19219416528334	0.22650852980868	0.739848102699327	0.20163386116965	0.176322772640463	0.0565835283663675	1.29278174922785	0.0426443374084937	0.765534746362977	1.94110631094643	0.321928094887362	2.44890095114513	3.1906148602095	0.0426443374084937	0.632268215499513	0.0976107966264223	0.669026765509631	1.0071955014042	1.25096157353322	2.15055967657538	1.4594316186373	0.137503523749935	1.0496307677246	0.400537929583729	1.08406426478847	1.41142624572647	0.722466024471091	0.669026765509631	0.669026765509631	0.782408564927373	0.545968369105292	0.0285691521967709	1.32192809488736	1.30451104180995	0.632268215499513	0.411426245726465	0.604071323668861	1.18903382439002	0.37851162325373	0.189033824390017	0.37851162325373	0.604071323668861	0.238786859587116	4.13422093976063	0.0285691521967709	0.895302621333307	0.137503523749935	0.505890929729957	0.773996325111173	1.07724299893246	0.575312330687437	0.0426443374084937	1.47508488294878
"RAB9B"	1.4905701304462	1.96716860753263	1.63691458035588	1.37295209791183	1.40053792958373	1.4905701304462	1.57046293102604	1.16992500144231	1.35614381022528	1.6959938131099	1.61353165291793	1.37851162325373	1.76553474636298	1.55090066464752	0.443606651475615	1.42223300068305	1.91456452349394	1.38956681176273	1.62293035092018	0.516015147003665	1.1243281350022	1.55581615506164	1.65992455840238	1.46988597627446	1.97085365434048	2.10433665981474	1.4905701304462	1.08406426478847	1.65992455840238	1.21412480535285	1.37295209791183	1.0703893278914	1.55090066464752	1.25701061820602	1.51096191927738	1.48542682717024	1.66448284036468	1.49569516262407	1.4276061727819	0.871843648509318	1.28095631383106	1.62760683812965	1.75702324650746	0.992768430768924	1.38956681176273	0.55581615506164	1.63691458035588	1.85996954822103	1.50080205305716	1.05658352836637	1.4905701304462	1.71369581484336	1.37851162325373	1.72246602447109	1.0071955014042	1.61353165291793	1.68706068833989	1.54596836910529	1.41142624572647	1.08406426478847	1.64616265715789	1.58496250072116	1.4905701304462	1.20789285164133	1.13750352374994	1.46466826700344	1.92219784839637	1.41142624572647	1.75274859140713	1.48026512205446	1.38404980679516	1.31034012061215	1.40053792958373	1.83995958748953	1.36737106564853	1.88752527074159	2.01077983875324	1.18903382439002	1.94110631094643	1.25701061820602	1.85199883711245	1.59454854955035	2.1243281350022	0.389566811762726	1.56559717585423	2.27798474729977	1.36737106564853	1.56071495447448	1.46466826700344	1.32768736417605	0.411426245726465	1.33342373372519	1.36176835941915	1.24488705912353	1.71808758396052	0.584962500721156	1.43295940727611	1.68257329734758	0.411426245726465	0.604071323668861	1.71369581484336	0.389566811762726	1.83187724119167	1.56071495447448	1.78240856492737	2.31614574229336	0.933572638261024	0.367371065648529	1	1.23266075679027	1.6507645591169	0.641546029087524	1.56071495447448	1.28095631383106	0.565597175854225	1.25096157353322	1.36176835941915	1.41142624572647	0.604071323668861	0.895302621333307	0.887525270741587	1	1.01435529297707	0.748461233004036	0.75702324650746	1.0071955014042	1.26303440583379	1.66902676550963	0.584962500721156	0.807354922057604	1.4541758931858	1.29865831556452	0.925999418556223	0.622930350920177	1.14404636961671	0.831877241191673	1.01435529297707	0.687060688339892	1.28688114778816	1.4594316186373	1.31614574229336	1.16992500144231	0.823749360308273	1.72246602447109
"GPR17"	0.0285691521967709	0.0285691521967709	0.0285691521967709	0.0285691521967709	0	0.0285691521967709	0	0	0	0.0840642647884746	0	0.0976107966264223	0	0.0565835283663675	0.16349873228288	0	0.070389327891398	0.0426443374084937	0	0.16349873228288	0.0285691521967709	0.070389327891398	0	0.0426443374084937	0.070389327891398	0.070389327891398	0	0.070389327891398	0.0426443374084937	0.0565835283663675	0.0285691521967709	0.150559676575381	0	0	0.0426443374084937	0.070389327891398	0.070389327891398	0	0.0285691521967709	0.070389327891398	0.0285691521967709	0	0.0426443374084937	0.0285691521967709	0	0	0.0426443374084937	0	0.111031312388744	0	0	0	0.0426443374084937	0	0	0.137503523749935	0.189033824390017	0	0.0840642647884746	0.070389327891398	0	0.070389327891398	0	0.0285691521967709	0	0.0285691521967709	0.27500704749987	0	0.0426443374084937	0	0	0	0	0.0565835283663675	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0.0285691521967709	0	0.070389327891398	0.16349873228288	0	0.189033824390017	0.0285691521967709	0	0	0.0285691521967709	0	0.0285691521967709	0	0.0285691521967709	0	0.0285691521967709	0.0285691521967709	0	0.0285691521967709	0	0	0.0285691521967709	0	0.0285691521967709	0	0	0	0	0	0	0	0.0565835283663675	0	0.0285691521967709	0	0
"S1PR1"	5.05614996110814	4.31397137105902	5.18308946064076	5.25171909260596	5.9759052735237	6.01077983875324	4.19219416528334	4.55826763405574	5.72873684336602	5.30706416225537	3.69710657447697	6.07916474203731	5.02768487693716	6.14812063112396	6.32427057158154	5.93239194006853	5.90110824301451	4.15623479785027	5.73281187208294	6.40854204229686	6.0931798467655	6.13668357769724	6.00090140274153	5.76606505147495	5.61323695471633	5.3823214071145	5.04483123344781	5.5957423394744	5.04875931191986	6.14180061165247	6.27891401949994	5.62877359520165	6.70348834965682	6.62497817956904	6.52277766952458	5.64817779572482	5.81966818349646	4.81044310384517	5.62673115067279	6.02436400911417	5.86641348112345	5.09634619899318	5.44028782084042	5.66448284036468	5.53667461756976	6.10726939359254	5.73984810269933	3.70154905694307	5.72574115650395	5.54008928198252	4.6667565918848	3.76234881564413	6.2635978485439	5.35508676166836	6.22187708107703	6.41396635150775	6.38818953715608	4.56620629346551	6.02657877012771	5.90086680798075	5.13627342985058	5.75141016006437	6.0239206486187	4.25701061820602	6.07553263116736	7.00708334724386	6.40650265681287	5.6667565918848	5.97567603779733	6.53884852074424	5.46858331700683	3.91456452349394	5.03694284479826	4.84297883178833	5.79181407116183	5.29792505250381	5.41006969175638	5.40394936423287	5.16631374788993	6.55382125653269	5.87970576628229	5.64327899631198	5.62380834772639	3.39506279951758	3.54843662469604	2.5385381636298	3.68706068833989	2.0703893278914	3.08406426478847	2.76765479823735	3.5909612413426	3.13750352374994	3.38404980679516	3.90303827011291	3.48026512205446	3.78868571061353	2.81966818349646	5.34624777408278	2.53356334821451	3.5957423394744	3.47638168756724	4.5033487351675	4.24184018356467	2.64154602908752	2.18586654531133	3.12928301694497	2.38681094647222	4.81966818349646	4.50842865253186	4.73930807086039	5.83061027435791	3.78345665436024	3.45811948117451	4.98048235553826	4.44493204894218	4.53977919169849	5.38715571766298	4.88166461932035	4.78240856492737	4.25776496857139	3.54349588342577	3.11103131238874	2.46988597627446	3.98913900736823	4.89093302170554	2.77610398807316	3.31034012061215	3.66789212523023	3.30451104180995	5.54751152364422	3.60169651648096	2.83390207666916	2.43028527297778	2.7311832415722	3.66334461936608	3.87085786436376	4.44691786486603	2.45154083301783	3.10601323762212	4.04351949366274	3.8073549220576	3.77294133783134	5.85124932023306	5.51506901403224
