RunFolder,SampleID,Description
211025_N08_0086_BHMTCVDSX2,I3-11698,I3-11698-P05-E01-SC797757
211025_N08_0086_BHMTCVDSX2,I3-11694,I3-11694-P05-A01-SC797753
211025_N08_0086_BHMTCVDSX2,I3-11697,I3-11697-P05-D01-SC797756
211025_N08_0086_BHMTCVDSX2,I3-11702,I3-11702-P05-A02-SC797761
211025_N08_0086_BHMTCVDSX2,I3-11710,I3-11710-P05-A03-SC797774
211025_N08_0086_BHMTCVDSX2,I3-11709,I3-11709-P05-H02-SC797770
211025_N08_0086_BHMTCVDSX2,I3-11703,I3-11703-P05-B02-SC797762
211025_N08_0086_BHMTCVDSX2,I3-11705,I3-11705-P05-D02-SC797765
211025_N08_0086_BHMTCVDSX2,I3-11704,I3-11704-P05-C02-SC797763
211025_N08_0086_BHMTCVDSX2,I3-11696,I3-11696-P05-C01-SC797755
211025_N08_0086_BHMTCVDSX2,I3-11706,I3-11706-P05-E02-SC797766
211025_N08_0086_BHMTCVDSX2,I3-11701,I3-11701-P05-H01-SC797760
211025_N08_0086_BHMTCVDSX2,I3-11695,I3-11695-P05-B01-SC797754
211028_N01_0464_AHMY5YDSX2,I3-12050,I3-12050-P08-E09-SC818999
211028_N01_0464_AHMY5YDSX2,I3-12025,I3-12025-P08-D06-SC818971
211028_N01_0464_AHMY5YDSX2,I3-12043,I3-12043-P08-F08-SC818992
211028_N01_0464_AHMY5YDSX2,I3-12029,I3-12029-P08-H06-SC818975
211028_N01_0464_AHMY5YDSX2,I3-12031,I3-12031-P08-B07-SC818978
211028_N01_0464_AHMY5YDSX2,I3-12036,I3-12036-P08-G07-SC818984
211028_N01_0464_AHMY5YDSX2,I3-12030,I3-12030-P08-A07-SC818977
211028_N01_0464_AHMY5YDSX2,I3-12047,I3-12047-P08-B09-SC818996
211028_N01_0464_AHMY5YDSX2,I3-12034,I3-12034-P08-E07-SC818982
211028_N01_0464_AHMY5YDSX2,I3-12033,I3-12033-P08-D07-SC818981
211028_N01_0464_AHMY5YDSX2,I3-12032,I3-12032-P08-C07-SC818980
211028_N01_0464_AHMY5YDSX2,I3-12046,I3-12046-P08-A09-SC818995
211028_N01_0464_AHMY5YDSX2,I3-12035,I3-12035-P08-F07-SC818983
211028_N01_0464_AHMY5YDSX2,I3-12037,I3-12037-P08-H07-SC818985
211028_N01_0464_AHMY5YDSX2,I3-12039,I3-12039-P08-B08-SC818987
211028_N01_0464_AHMY5YDSX2,I3-12028,I3-12028-P08-G06-SC818974
211028_N01_0464_AHMY5YDSX2,I3-12048,I3-12048-P08-C09-SC818997
211028_N01_0464_AHMY5YDSX2,I3-12044,I3-12044-P08-G08-SC818993
211028_N01_0464_AHMY5YDSX2,I3-12045,I3-12045-P08-H08-SC818994
211028_N01_0464_AHMY5YDSX2,I3-12049,I3-12049-P08-D09-SC818998
211028_N01_0464_AHMY5YDSX2,I3-12042,I3-12042-P08-E08-SC818991
211028_N01_0464_AHMY5YDSX2,I3-12026,I3-12026-P08-E06-SC818972
211028_N01_0464_AHMY5YDSX2,I3-12040,I3-12040-P08-C08-SC818988
211028_N01_0464_AHMY5YDSX2,I3-12041,I3-12041-P08-D08-SC818990
211028_N01_0464_AHMY5YDSX2,I3-12027,I3-12027-P08-F06-SC818973
211028_N01_0464_AHMY5YDSX2,I3-12038,I3-12038-P08-A08-SC818986
211028_N02_0426_BHMVHTDSX2,I3-11734,I3-11734-P05-A06-SC797810
211028_N02_0426_BHMVHTDSX2,I3-11735,I3-11735-P05-B06-SC797811
211028_N02_0426_BHMVHTDSX2,I3-11737,I3-11737-P05-D06-SC797813
211028_N02_0426_BHMVHTDSX2,I3-11749,I3-11749-P05-H07-SC797831
211028_N02_0426_BHMVHTDSX2,I3-11741,I3-11741-P05-H06-SC797817
211028_N02_0426_BHMVHTDSX2,I3-11746,I3-11746-P05-E07-SC797826
211028_N02_0426_BHMVHTDSX2,I3-11759,I3-11759-P05-B09-SC797849
211028_N02_0426_BHMVHTDSX2,I3-11743,I3-11743-P05-B07-SC797820
211028_N02_0426_BHMVHTDSX2,I3-11751,I3-11751-P05-B08-SC797834
211028_N02_0426_BHMVHTDSX2,I3-11745,I3-11745-P05-D07-SC797825
211028_N02_0426_BHMVHTDSX2,I3-11753,I3-11753-P05-D08-SC797836
211028_N02_0426_BHMVHTDSX2,I3-11744,I3-11744-P05-C07-SC797822
211028_N02_0426_BHMVHTDSX2,I3-11757,I3-11757-P05-H08-SC797847
211028_N02_0426_BHMVHTDSX2,I3-11742,I3-11742-P05-A07-SC797818
211028_N02_0426_BHMVHTDSX2,I3-11736,I3-11736-P05-C06-SC797812
211028_N02_0426_BHMVHTDSX2,I3-11752,I3-11752-P05-C08-SC797835
211028_N02_0426_BHMVHTDSX2,I3-11738,I3-11738-P05-E06-SC797814
211028_N02_0426_BHMVHTDSX2,I3-11760,I3-11760-P05-C09-SC797851
211028_N02_0426_BHMVHTDSX2,I3-11750,I3-11750-P05-A08-SC797833
211028_N02_0426_BHMVHTDSX2,I3-11758,I3-11758-P05-A09-SC797848
211028_N02_0427_AHMYHLDSX2,I3-11711,I3-11711-P05-B03-SC797775
211028_N02_0427_AHMYHLDSX2,I3-11712,I3-11712-P05-C03-SC797777
211028_N02_0427_AHMYHLDSX2,I3-11727,I3-11727-P05-B05-SC797799
211028_N02_0427_AHMYHLDSX2,I3-11717,I3-11717-P05-H03-SC797787
211028_N02_0427_AHMYHLDSX2,I3-11713,I3-11713-P05-D03-SC797778
211028_N02_0427_AHMYHLDSX2,I3-11725,I3-11725-P05-H04-SC797796
211028_N02_0427_AHMYHLDSX2,I3-11722,I3-11722-P05-E04-SC797793
211028_N02_0427_AHMYHLDSX2,I3-11726,I3-11726-P05-A05-SC797798
211028_N02_0427_AHMYHLDSX2,I3-11730,I3-11730-P05-E05-SC797802
211028_N02_0427_AHMYHLDSX2,I3-11733,I3-11733-P05-H05-SC797809
211028_N02_0427_AHMYHLDSX2,I3-11719,I3-11719-P05-B04-SC797789
211028_N02_0427_AHMYHLDSX2,I3-11718,I3-11718-P05-A04-SC797788
211028_N02_0427_AHMYHLDSX2,I3-11720,I3-11720-P05-C04-SC797790
211028_N02_0427_AHMYHLDSX2,I3-11721,I3-11721-P05-D04-SC797791
211028_N02_0427_AHMYHLDSX2,I3-11729,I3-11729-P05-D05-SC797801
211028_N02_0427_AHMYHLDSX2,I3-11714,I3-11714-P05-E03-SC797781
211028_N02_0427_AHMYHLDSX2,I3-11728,I3-11728-P05-C05-SC797800
211028_N04_0408_BHMWHLDSX2,I3-11789,I3-11789-P05-H12-SC797904
211028_N04_0408_BHMWHLDSX2,I3-11799,I3-11799-P06-B02-SC797919
211028_N04_0408_BHMWHLDSX2,I3-11794,I3-11794-P06-E01-SC797909
211028_N04_0408_BHMWHLDSX2,I3-11790,I3-11790-P06-A01-SC797905
211028_N04_0408_BHMWHLDSX2,I3-11798,I3-11798-P06-A02-SC797918
211028_N04_0408_BHMWHLDSX2,I3-11802,I3-11802-P06-E02-SC797922
211028_N04_0408_BHMWHLDSX2,I3-11791,I3-11791-P06-B01-SC797906
211028_N04_0408_BHMWHLDSX2,I3-11807,I3-11807-P06-B03-SC797927
211028_N04_0408_BHMWHLDSX2,I3-11793,I3-11793-P06-D01-SC797908
211028_N04_0408_BHMWHLDSX2,I3-11806,I3-11806-P06-A03-SC797926
211028_N04_0408_BHMWHLDSX2,I3-11811,I3-11811-P06-F03-SC797933
211028_N04_0408_BHMWHLDSX2,I3-11800,I3-11800-P06-C02-SC797920
211028_N04_0408_BHMWHLDSX2,I3-11809,I3-11809-P06-D03-SC797929
211028_N04_0408_BHMWHLDSX2,I3-11803,I3-11803-P06-F02-SC797923
211028_N04_0408_BHMWHLDSX2,I3-11808,I3-11808-P06-C03-SC797928
211028_N04_0408_BHMWHLDSX2,I3-11797,I3-11797-P06-H01-SC797913
211028_N04_0408_BHMWHLDSX2,I3-11792,I3-11792-P06-C01-SC797907
211028_N04_0408_BHMWHLDSX2,I3-11796,I3-11796-P06-G01-SC797911
211028_N04_0408_BHMWHLDSX2,I3-11801,I3-11801-P06-D02-SC797921
211028_N04_0408_BHMWHLDSX2,I3-11805,I3-11805-P06-H02-SC797925
211028_N04_0408_BHMWHLDSX2,I3-11795,I3-11795-P06-F01-SC797910
211028_N04_0408_BHMWHLDSX2,I3-11810,I3-11810-P06-E03-SC797932
211028_N04_0408_BHMWHLDSX2,I3-11804,I3-11804-P06-G02-SC797924
211028_N04_0409_AHMW3JDSX2,I3-11762,I3-11762-P05-E09-SC797856
211028_N04_0409_AHMW3JDSX2,I3-11781,I3-11781-P05-H11-SC797895
211028_N04_0409_AHMW3JDSX2,I3-11770,I3-11770-P05-E10-SC797876
211028_N04_0409_AHMW3JDSX2,I3-11786,I3-11786-P05-E12-SC797901
211028_N04_0409_AHMW3JDSX2,I3-11778,I3-11778-P05-E11-SC797887
211028_N04_0409_AHMW3JDSX2,I3-11769,I3-11769-P05-D10-SC797874
211028_N04_0409_AHMW3JDSX2,I3-11768,I3-11768-P05-C10-SC797871
211028_N04_0409_AHMW3JDSX2,I3-11775,I3-11775-P05-B11-SC797883
211028_N04_0409_AHMW3JDSX2,I3-11773,I3-11773-P05-H10-SC797880
211028_N04_0409_AHMW3JDSX2,I3-11765,I3-11765-P05-H09-SC797863
211028_N04_0409_AHMW3JDSX2,I3-11774,I3-11774-P05-A11-SC797882
211028_N04_0409_AHMW3JDSX2,I3-11767,I3-11767-P05-B10-SC797870
211028_N04_0409_AHMW3JDSX2,I3-11783,I3-11783-P05-B12-SC797898
211028_N04_0409_AHMW3JDSX2,I3-11776,I3-11776-P05-C11-SC797884
211028_N04_0409_AHMW3JDSX2,I3-11777,I3-11777-P05-D11-SC797885
211028_N04_0409_AHMW3JDSX2,I3-11761,I3-11761-P05-D09-SC797852
211028_N04_0409_AHMW3JDSX2,I3-11784,I3-11784-P05-C12-SC797899
211028_N04_0409_AHMW3JDSX2,I3-11766,I3-11766-P05-A10-SC797866
211028_N04_0409_AHMW3JDSX2,I3-11785,I3-11785-P05-D12-SC797900
211028_N04_0409_AHMW3JDSX2,I3-11782,I3-11782-P05-A12-SC797896
211028_N05_0399_AHMY3VDSX2,I3-11833,I3-11833-P06-D06-SC818756
211028_N05_0399_AHMY3VDSX2,I3-11817,I3-11817-P06-D04-SC797945
211028_N05_0399_AHMY3VDSX2,I3-11823,I3-11823-P06-B05-SC816945
211028_N05_0399_AHMY3VDSX2,I3-11821,I3-11821-P06-H04-SC797956
211028_N05_0399_AHMY3VDSX2,I3-11830,I3-11830-P06-A06-SC818753
211028_N05_0399_AHMY3VDSX2,I3-11836,I3-11836-P06-G06-SC818759
211028_N05_0399_AHMY3VDSX2,I3-11831,I3-11831-P06-B06-SC818754
211028_N05_0399_AHMY3VDSX2,I3-11822,I3-11822-P06-A05-SC816909
211028_N05_0399_AHMY3VDSX2,I3-11814,I3-11814-P06-A04-SC797940
211028_N05_0399_AHMY3VDSX2,I3-11837,I3-11837-P06-H06-SC818760
211028_N05_0399_AHMY3VDSX2,I3-11826,I3-11826-P06-E05-SC816948
211028_N05_0399_AHMY3VDSX2,I3-11832,I3-11832-P06-C06-SC818755
211028_N05_0399_AHMY3VDSX2,I3-11815,I3-11815-P06-B04-SC797941
211028_N05_0399_AHMY3VDSX2,I3-11818,I3-11818-P06-E04-SC797946
211028_N05_0399_AHMY3VDSX2,I3-11812,I3-11812-P06-G03-SC797934
211028_N05_0399_AHMY3VDSX2,I3-11834,I3-11834-P06-E06-SC818757
211028_N05_0399_AHMY3VDSX2,I3-11829,I3-11829-P06-H05-SC818752
211028_N05_0399_AHMY3VDSX2,I3-11820,I3-11820-P06-G04-SC797954
211028_N05_0399_AHMY3VDSX2,I3-11813,I3-11813-P06-H03-SC797936
211028_N05_0399_AHMY3VDSX2,I3-11828,I3-11828-P06-G05-SC816950
211028_N05_0399_AHMY3VDSX2,I3-11827,I3-11827-P06-F05-SC816949
211028_N05_0399_AHMY3VDSX2,I3-11816,I3-11816-P06-C04-SC797943
211028_N05_0399_AHMY3VDSX2,I3-11835,I3-11835-P06-F06-SC818758
211028_N05_0399_AHMY3VDSX2,I3-11819,I3-11819-P06-F04-SC797950
211028_N05_0399_AHMY3VDSX2,I3-11825,I3-11825-P06-D05-SC816947
211028_N05_0399_AHMY3VDSX2,I3-11824,I3-11824-P06-C05-SC816946
211028_N05_0400_BHKK3GDSX2,I3-11844,I3-11844-P06-G07-SC818768
211028_N05_0400_BHKK3GDSX2,I3-11860,I3-11860-P06-G09-SC818785
211028_N05_0400_BHKK3GDSX2,I3-11851,I3-11851-P06-F08-SC818776
211028_N05_0400_BHKK3GDSX2,I3-11839,I3-11839-P06-B07-SC818762
211028_N05_0400_BHKK3GDSX2,I3-11861,I3-11861-P06-H09-SC818786
211028_N05_0400_BHKK3GDSX2,I3-11863,I3-11863-P06-B10-SC818788
211028_N05_0400_BHKK3GDSX2,I3-11852,I3-11852-P06-G08-SC818777
211028_N05_0400_BHKK3GDSX2,I3-11856,I3-11856-P06-C09-SC818781
211028_N05_0400_BHKK3GDSX2,I3-11841,I3-11841-P06-D07-SC818765
211028_N05_0400_BHKK3GDSX2,I3-11843,I3-11843-P06-F07-SC818767
211028_N05_0400_BHKK3GDSX2,I3-11842,I3-11842-P06-E07-SC818766
211028_N05_0400_BHKK3GDSX2,I3-11858,I3-11858-P06-E09-SC818783
211028_N05_0400_BHKK3GDSX2,I3-11840,I3-11840-P06-C07-SC818763
211028_N05_0400_BHKK3GDSX2,I3-11855,I3-11855-P06-B09-SC818780
211028_N05_0400_BHKK3GDSX2,I3-11857,I3-11857-P06-D09-SC818782
211028_N05_0400_BHKK3GDSX2,I3-11845,I3-11845-P06-H07-SC818769
211028_N05_0400_BHKK3GDSX2,I3-11838,I3-11838-P06-A07-SC818761
211028_N05_0400_BHKK3GDSX2,I3-11859,I3-11859-P06-F09-SC818784
211028_N05_0400_BHKK3GDSX2,I3-11850,I3-11850-P06-E08-SC818775
211028_N05_0400_BHKK3GDSX2,I3-11847,I3-11847-P06-B08-SC818772
211028_N05_0400_BHKK3GDSX2,I3-11853,I3-11853-P06-H08-SC818778
211028_N05_0400_BHKK3GDSX2,I3-11846,I3-11846-P06-A08-SC818771
211028_N05_0400_BHKK3GDSX2,I3-11849,I3-11849-P06-D08-SC818774
211028_N05_0400_BHKK3GDSX2,I3-11854,I3-11854-P06-A09-SC818779
211028_N05_0400_BHKK3GDSX2,I3-11848,I3-11848-P06-C08-SC818773
211028_N05_0400_BHKK3GDSX2,I3-11862,I3-11862-P06-A10-SC818787
211028_N06_0406_AHKKNGDSX2,I3-11877,I3-11877-P06-H11-SC818805
211028_N06_0406_AHKKNGDSX2,I3-11876,I3-11876-P06-G11-SC818804
211028_N06_0406_AHKKNGDSX2,I3-11867,I3-11867-P06-F10-SC818793
211028_N06_0406_AHKKNGDSX2,I3-11875,I3-11875-P06-F11-SC818801
211028_N06_0406_AHKKNGDSX2,I3-11882,I3-11882-P06-E12-SC818811
211028_N06_0406_AHKKNGDSX2,I3-11864,I3-11864-P06-C10-SC818789
211028_N06_0406_AHKKNGDSX2,I3-11866,I3-11866-P06-E10-SC818791
211028_N06_0406_AHKKNGDSX2,I3-11868,I3-11868-P06-G10-SC818794
211028_N06_0406_AHKKNGDSX2,I3-11884,I3-11884-P06-G12-SC818814
211028_N06_0406_AHKKNGDSX2,I3-11874,I3-11874-P06-E11-SC818800
211028_N06_0406_AHKKNGDSX2,I3-11871,I3-11871-P06-B11-SC818797
211028_N06_0406_AHKKNGDSX2,I3-11865,I3-11865-P06-D10-SC818790
211028_N06_0406_AHKKNGDSX2,I3-11869,I3-11869-P06-H10-SC818795
211028_N06_0406_AHKKNGDSX2,I3-11885,I3-11885-P06-H12-SC818815
211028_N06_0406_AHKKNGDSX2,I3-11870,I3-11870-P06-A11-SC818796
211028_N06_0406_AHKKNGDSX2,I3-11883,I3-11883-P06-F12-SC818813
211028_N06_0406_AHKKNGDSX2,I3-11872,I3-11872-P06-C11-SC818798
211028_N06_0406_AHKKNGDSX2,I3-11886,I3-11886-P07-A01-SC818816
211028_N06_0406_AHKKNGDSX2,I3-11873,I3-11873-P06-D11-SC818799
211028_N06_0406_AHKKNGDSX2,I3-11878,I3-11878-P06-A12-SC818806
211028_N06_0406_AHKKNGDSX2,I3-11889,I3-11889-P07-D01-SC818819
211028_N06_0406_AHKKNGDSX2,I3-11888,I3-11888-P07-C01-SC818818
211028_N06_0406_AHKKNGDSX2,I3-11879,I3-11879-P06-B12-SC818807
211028_N06_0406_AHKKNGDSX2,I3-11880,I3-11880-P06-C12-SC818808
211028_N06_0406_AHKKNGDSX2,I3-11887,I3-11887-P07-B01-SC818817
211028_N06_0406_AHKKNGDSX2,I3-11881,I3-11881-P06-D12-SC818809
211028_N06_0407_BHKK72DSX2,I3-11891,I3-11891-P07-F01-SC818821
211028_N06_0407_BHKK72DSX2,I3-11899,I3-11899-P07-F02-SC818830
211028_N06_0407_BHKK72DSX2,I3-11890,I3-11890-P07-E01-SC818820
211028_N06_0407_BHKK72DSX2,I3-11904,I3-11904-P07-C03-SC818837
211028_N06_0407_BHKK72DSX2,I3-11909,I3-11909-P07-H03-SC818842
211028_N06_0407_BHKK72DSX2,I3-11895,I3-11895-P07-B02-SC818826
211028_N06_0407_BHKK72DSX2,I3-11894,I3-11894-P07-A02-SC818825
211028_N06_0407_BHKK72DSX2,I3-11910,I3-11910-P07-A04-SC818843
211028_N06_0407_BHKK72DSX2,I3-11896,I3-11896-P07-C02-SC818827
211028_N06_0407_BHKK72DSX2,I3-11914,I3-11914-P07-E04-SC818848
211028_N06_0407_BHKK72DSX2,I3-11892,I3-11892-P07-G01-SC818823
211028_N06_0407_BHKK72DSX2,I3-11903,I3-11903-P07-B03-SC818834
211028_N06_0407_BHKK72DSX2,I3-11912,I3-11912-P07-C04-SC818845
211028_N06_0407_BHKK72DSX2,I3-11901,I3-11901-P07-H02-SC818832
211028_N06_0407_BHKK72DSX2,I3-11898,I3-11898-P07-E02-SC818829
211028_N06_0407_BHKK72DSX2,I3-11911,I3-11911-P07-B04-SC818844
211028_N06_0407_BHKK72DSX2,I3-11908,I3-11908-P07-G03-SC818841
211028_N06_0407_BHKK72DSX2,I3-11902,I3-11902-P07-A03-SC818833
211028_N06_0407_BHKK72DSX2,I3-11893,I3-11893-P07-H01-SC818824
211028_N06_0407_BHKK72DSX2,I3-11907,I3-11907-P07-F03-SC818840
211028_N06_0407_BHKK72DSX2,I3-11897,I3-11897-P07-D02-SC818828
211028_N06_0407_BHKK72DSX2,I3-11905,I3-11905-P07-D03-SC818838
211028_N06_0407_BHKK72DSX2,I3-11906,I3-11906-P07-E03-SC818839
211028_N06_0407_BHKK72DSX2,I3-11900,I3-11900-P07-G02-SC818831
211028_N06_0407_BHKK72DSX2,I3-11913,I3-11913-P07-D04-SC818847
211028_N06_0407_BHKK72DSX2,I3-11915,I3-11915-P07-F04-SC818849
211028_N07_0151_AHN22WDSX2,I3-11941,I3-11941-P07-H07-SC818877
211028_N07_0151_AHN22WDSX2,I3-11939,I3-11939-P07-F07-SC818875
211028_N07_0151_AHN22WDSX2,I3-11934,I3-11934-P07-A07-SC818870
211028_N07_0151_AHN22WDSX2,I3-11940,I3-11940-P07-G07-SC818876
211028_N07_0151_AHN22WDSX2,I3-11933,I3-11933-P07-H06-SC818869
211028_N07_0151_AHN22WDSX2,I3-11929,I3-11929-P07-D06-SC818864
211028_N07_0151_AHN22WDSX2,I3-11937,I3-11937-P07-D07-SC818873
211028_N07_0151_AHN22WDSX2,I3-11938,I3-11938-P07-E07-SC818874
211028_N07_0151_AHN22WDSX2,I3-11917,I3-11917-P07-H04-SC818852
211028_N07_0151_AHN22WDSX2,I3-11925,I3-11925-P07-H05-SC818860
211028_N07_0151_AHN22WDSX2,I3-11936,I3-11936-P07-C07-SC818872
211028_N07_0151_AHN22WDSX2,I3-11935,I3-11935-P07-B07-SC818871
211028_N07_0151_AHN22WDSX2,I3-11932,I3-11932-P07-G06-SC818867
211028_N07_0151_AHN22WDSX2,I3-11919,I3-11919-P07-B05-SC818854
211028_N07_0151_AHN22WDSX2,I3-11928,I3-11928-P07-C06-SC818863
211028_N07_0151_AHN22WDSX2,I3-11926,I3-11926-P07-A06-SC818861
211028_N07_0151_AHN22WDSX2,I3-11922,I3-11922-P07-E05-SC818857
211028_N07_0151_AHN22WDSX2,I3-11927,I3-11927-P07-B06-SC818862
211028_N07_0151_AHN22WDSX2,I3-11930,I3-11930-P07-E06-SC818865
211028_N07_0151_AHN22WDSX2,I3-11916,I3-11916-P07-G04-SC818850
211028_N07_0151_AHN22WDSX2,I3-11923,I3-11923-P07-F05-SC818858
211028_N07_0151_AHN22WDSX2,I3-11931,I3-11931-P07-F06-SC818866
211028_N07_0151_AHN22WDSX2,I3-11918,I3-11918-P07-A05-SC818853
211028_N07_0151_AHN22WDSX2,I3-11920,I3-11920-P07-C05-SC818855
211028_N07_0151_AHN22WDSX2,I3-11924,I3-11924-P07-G05-SC818859
211028_N07_0151_AHN22WDSX2,I3-11921,I3-11921-P07-D05-SC818856
211028_N07_0152_BHMWTFDSX2,I3-11954,I3-11954-P07-E09-SC818892
211028_N07_0152_BHMWTFDSX2,I3-11963,I3-11963-P07-F10-SC818904
211028_N07_0152_BHMWTFDSX2,I3-11951,I3-11951-P07-B09-SC818887
211028_N07_0152_BHMWTFDSX2,I3-11957,I3-11957-P07-H09-SC818895
211028_N07_0152_BHMWTFDSX2,I3-11962,I3-11962-P07-E10-SC818902
211028_N07_0152_BHMWTFDSX2,I3-11965,I3-11965-P07-H10-SC818906
211028_N07_0152_BHMWTFDSX2,I3-11956,I3-11956-P07-G09-SC818894
211028_N07_0152_BHMWTFDSX2,I3-11955,I3-11955-P07-F09-SC818893
211028_N07_0152_BHMWTFDSX2,I3-11947,I3-11947-P07-F08-SC818883
211028_N07_0152_BHMWTFDSX2,I3-11960,I3-11960-P07-C10-SC818900
211028_N07_0152_BHMWTFDSX2,I3-11949,I3-11949-P07-H08-SC818885
211028_N07_0152_BHMWTFDSX2,I3-11967,I3-11967-P07-B11-SC818908
211028_N07_0152_BHMWTFDSX2,I3-11964,I3-11964-P07-G10-SC818905
211028_N07_0152_BHMWTFDSX2,I3-11950,I3-11950-P07-A09-SC818886
211028_N07_0152_BHMWTFDSX2,I3-11952,I3-11952-P07-C09-SC818890
211028_N07_0152_BHMWTFDSX2,I3-11948,I3-11948-P07-G08-SC818884
211028_N07_0152_BHMWTFDSX2,I3-11961,I3-11961-P07-D10-SC818901
211028_N07_0152_BHMWTFDSX2,I3-11943,I3-11943-P07-B08-SC818879
211028_N07_0152_BHMWTFDSX2,I3-11966,I3-11966-P07-A11-SC818907
211028_N07_0152_BHMWTFDSX2,I3-11968,I3-11968-P07-C11-SC818910
211028_N07_0152_BHMWTFDSX2,I3-11946,I3-11946-P07-E08-SC818882
211028_N07_0152_BHMWTFDSX2,I3-11953,I3-11953-P07-D09-SC818891
211028_N07_0152_BHMWTFDSX2,I3-11945,I3-11945-P07-D08-SC818881
211028_N07_0152_BHMWTFDSX2,I3-11942,I3-11942-P07-A08-SC818878
211028_N07_0152_BHMWTFDSX2,I3-11944,I3-11944-P07-C08-SC818880
211028_N07_0152_BHMWTFDSX2,I3-11958,I3-11958-P07-A10-SC818898
211028_N08_0087_BHMWC2DSX2,I3-12006,I3-12006-P08-A04-SC818952
211028_N08_0087_BHMWC2DSX2,I3-12000,I3-12000-P08-C03-SC818946
211028_N08_0087_BHMWC2DSX2,I3-12022,I3-12022-P08-A06-SC818968
211028_N08_0087_BHMWC2DSX2,I3-11999,I3-11999-P08-B03-SC818945
211028_N08_0087_BHMWC2DSX2,I3-12015,I3-12015-P08-B05-SC818961
211028_N08_0087_BHMWC2DSX2,I3-12014,I3-12014-P08-A05-SC818960
211028_N08_0087_BHMWC2DSX2,I3-12023,I3-12023-P08-B06-SC818969
211028_N08_0087_BHMWC2DSX2,I3-12024,I3-12024-P08-C06-SC818970
211028_N08_0087_BHMWC2DSX2,I3-12005,I3-12005-P08-H03-SC818951
211028_N08_0087_BHMWC2DSX2,I3-12010,I3-12010-P08-E04-SC818956
211028_N08_0087_BHMWC2DSX2,I3-12013,I3-12013-P08-H04-SC818959
211028_N08_0087_BHMWC2DSX2,I3-12008,I3-12008-P08-C04-SC818954
211028_N08_0087_BHMWC2DSX2,I3-12001,I3-12001-P08-D03-SC818947
211028_N08_0087_BHMWC2DSX2,I3-12004,I3-12004-P08-G03-SC818950
211028_N08_0087_BHMWC2DSX2,I3-12007,I3-12007-P08-B04-SC818953
211028_N08_0087_BHMWC2DSX2,I3-12002,I3-12002-P08-E03-SC818948
211028_N08_0087_BHMWC2DSX2,I3-12021,I3-12021-P08-H05-SC818967
211028_N08_0087_BHMWC2DSX2,I3-12019,I3-12019-P08-F05-SC818965
211028_N08_0087_BHMWC2DSX2,I3-12016,I3-12016-P08-C05-SC818962
211028_N08_0087_BHMWC2DSX2,I3-12012,I3-12012-P08-G04-SC818958
211028_N08_0087_BHMWC2DSX2,I3-12020,I3-12020-P08-G05-SC818966
211028_N08_0087_BHMWC2DSX2,I3-12003,I3-12003-P08-F03-SC818949
211028_N08_0087_BHMWC2DSX2,I3-12011,I3-12011-P08-F04-SC818957
211028_N08_0087_BHMWC2DSX2,I3-12009,I3-12009-P08-D04-SC818955
211028_N08_0087_BHMWC2DSX2,I3-12017,I3-12017-P08-D05-SC818963
211028_N08_0087_BHMWC2DSX2,I3-12018,I3-12018-P08-E05-SC818964
211028_N08_0088_AHMWMWDSX2,I3-11972,I3-11972-P07-G11-SC818914
211028_N08_0088_AHMWMWDSX2,I3-11973,I3-11973-P07-H11-SC818915
211028_N08_0088_AHMWMWDSX2,I3-11990,I3-11990-P08-A02-SC818935
211028_N08_0088_AHMWMWDSX2,I3-11971,I3-11971-P07-F11-SC818913
211028_N08_0088_AHMWMWDSX2,I3-11978,I3-11978-P07-E12-SC818922
211028_N08_0088_AHMWMWDSX2,I3-11982,I3-11982-P08-A01-SC818926
211028_N08_0088_AHMWMWDSX2,I3-11970,I3-11970-P07-E11-SC818912
211028_N08_0088_AHMWMWDSX2,I3-11985,I3-11985-P08-D01-SC818929
211028_N08_0088_AHMWMWDSX2,I3-11991,I3-11991-P08-B02-SC818936
211028_N08_0088_AHMWMWDSX2,I3-11986,I3-11986-P08-E01-SC818930
211028_N08_0088_AHMWMWDSX2,I3-11998,I3-11998-P08-A03-SC818944
211028_N08_0088_AHMWMWDSX2,I3-11992,I3-11992-P08-C02-SC818938
211028_N08_0088_AHMWMWDSX2,I3-11981,I3-11981-P07-H12-SC818925
211028_N08_0088_AHMWMWDSX2,I3-11994,I3-11994-P08-E02-SC818940
211028_N08_0088_AHMWMWDSX2,I3-11988,I3-11988-P08-G01-SC818932
211028_N08_0088_AHMWMWDSX2,I3-11979,I3-11979-P07-F12-SC818923
211028_N08_0088_AHMWMWDSX2,I3-11984,I3-11984-P08-C01-SC818928
