"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"HKB0004_3006_T"	0.029115772812101	0.0140739602711298	0.0364060549468238	0.0283986948436958	8.00127171543723e-15	0.0763483693905301
"HKB0005_3001_T"	9.31879920763385e-12	0.0378445080405818	0.0407366249355412	0.0482038394093306	9.47093408930282e-15	0.121415641177413
"HKB0006_3006_T"	1.12387370333823e-14	0.00457448021207548	0.211688176178766	0.0336698687128171	1.12387370333823e-14	0.0585254151647235
"HKB0007_3005_T"	0.215173858830036	0.164601700376875	1.30635499373765e-14	0.057971812716042	1.30635499373765e-14	0.207870046212946
"HKB0008_3006_T"	0.00481831538992633	0.258857161987932	0.0176368104343503	0.0642183351172205	1.31338107742688e-14	0.0977519026832305
"HKB0016_3006_T"	0.0172093307445679	0.176420595219609	1.4992640566855e-14	0.0308037228942654	1.4992640566855e-14	0.17225103012598
"HKB0019_3006_T"	0.00940667937978877	0.0502808135380201	0.0103953109982881	0.0911326070776919	1.24541906402524e-14	0.108730361678893
"HKB0023_3006_T"	0.038379424087422	9.99856035979287e-15	0.0360818156815467	0.188807831403763	0.00202581502843263	0.070510141682339
"HKB0031_3001_T"	1.53219534286559e-14	0.176112128392097	0.0753819841258256	0.00131593805244516	1.53219534286559e-14	0.0113251830173716
"HKB0033_3006_T"	1.64502159351505e-14	0.0332143486185067	1.64502159351505e-14	0.0286403946153846	1.64502159351505e-14	0.0393834817343943
"HKB0035_3006_T"	0.0628378704205856	0.0802312913390064	0.0294130985079233	0.0855701754598482	0.00958673101958701	1.88137217943456e-14
"HKB0036_3006_T"	0.00696463966437014	0.00549762097520233	0.0867380342319286	0.285159249883586	9.57267170792532e-15	0.0883834561756277
"HKB0038_3006_T"	1.66921277140141e-14	0.0623134095195034	0.000788861300554338	0.0430000531041619	1.66921277140141e-14	0.0659602740642971
"HKB0040_3002_T"	0.390665364783329	0.324839191620343	6.79686450443302e-15	0.0487710405494391	6.79686450443302e-15	0.0405095784296605
"HKB0044_3006_T"	0.162198770945055	0.168755464125306	0.00823890949798388	0.217442961475697	8.82760219157401e-15	0.0745297629532792
"HKB0049_3006_T"	0.0986347426493871	0.0860018480541315	0.0204207381963061	0.0550586864907879	0.0130150457309664	0.0499091099187357
"HKB0050_3005_T"	0.179135906383912	0.264187739682421	1.40650276062046e-14	0.0861340916385733	1.40650276062046e-14	0.0418500566992859
"HKB0052_3000_T"	0.125855640177304	0.114660352008495	0.0227434543359032	0.00954593226501727	0.0176869345408016	0.00549468261979507
"HKB0054_3000_T"	0.330197314169383	0.239756419491241	0.0745911862950263	0.0105757506866094	1.1136685819468e-14	1.1136685819468e-14
"HKB0056_3002_T"	0.11935379348445	0.0879885531246732	0.0535699709848955	0.0491828854987217	8.81196554279434e-15	0.0494103205999412
"HKB0064_3004_T"	0.00563475718822155	0.290337214874467	0.0796762633405269	1.43468722376138e-14	0.0789101581618295	0.0941891554820511
"HKB0065_3006_T"	0.032429948417457	0.123260038349689	0.0366261769213613	0.0139586043356804	1.1532750819529e-14	0.0646976717635884
"HKB0067_3006_T"	4.38808496791453e-05	0.284562660376422	1.70241124193682e-14	0.00270113492449703	1.70241124193682e-14	0.0020216216048225
"HKB0069_3000_T"	0.269039081087177	0.179547863488663	0.00162289940222215	0.118221435830519	1.13961509905103e-14	0.14209103503055
"HKB0070_3002_T"	1.85587640688961e-14	0.153787342009115	0.047162542385214	1.85587640688961e-14	0.0230633334313698	0.0220408859386781
"HKB0074_3000_T"	0.195126159941409	0.151893422939574	0.0598076872133598	0.13275579495275	0.0791040316458247	0.0392049331729661
"HKB0078_3000_T"	6.73157795454996e-12	0.0361698309536653	0.0115348668218547	0.131842628326503	1.37738076653582e-14	0.0486831028788201
"HKB0079_3006_T"	0.270199060297262	0.152560672732872	8.00534908371763e-15	0.0524694272156751	8.00534908371763e-15	0.0524241526341824
"HKB0080_3006_T"	0.0349441021664827	0.00539815788156392	0.0304378392186025	1.40148526616563e-14	1.40148526616563e-14	0.18109356034535
"HKB0082_3006_T"	0.283221148686307	0.234010944491308	0.00378925201859325	0.0624696284792211	1.10413797725142e-14	0.138336398004383
"HKB0084_3000_T"	0.126080247851575	0.115314218727281	0.0182903106216857	1.04055317885715e-14	1.04055317885715e-14	0.0425622058018647
