"BC_HKB0187_1214_T"	"BC_HKB0759_1488_T"	"BC_HKB0915_M1647_T"	"BC_HKB0917_1656_T"	"BC_HKB1366_1663_T"	"BC_HKB2109_1628_T"	"HKB0086_3006_T"	"HKB0089_3001_T"	"HKB0168_3006_T"	"BC_HKB0112_933_T"	"BC_HKB0641_1392_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1370_1673_T"	"BC_HKB1385_1721_T"	"BC_HKB2118_1689_T"	"BC_HKB2127_1726_T"	"HKB0007_3005_T"	"HKB0079_3006_T"	"HKB0143_3006_T"	"HKB0211_3002_T"	"HKB0752_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0555_1321_T"	"BC_HKB0662_1294_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"BC_HKB0876_1543_T"	"BC_HKB0892_1559_T"	"BC_HKB0923_1584_T"	"BC_HKB2106_1619_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0023_3006_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0069_3000_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0161_3001_T"	"HKB0182_3006_T"	"HKB0210_3006_T"	"HKB0233_3006_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0665_3000_T"	"HKB0677_3000_T"	"HKB0710_3000_T"	"HKB0734_3000_T"	"BC_HKB0728_1447_T"	"BC_HKB0754_1481_T"	"BC_HKB0830_1541_T"	"BC_HKB0882_1555_T"	"BC_HKB2107_1620_T"	"BC_HKB2112_1636_T"	"BC_HKB0715_1407_T"	"BC_HKB0733_1459_T"	"BC_HKB0895_1582_T"	"BC_HKB0906_1627_T"	"BC_HKB1372_1697_T"	"BC_HKB2119_1690_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0561_1308_T"	"BC_HKB0567_M1337_T"	"BC_HKB0582_1333_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0779_1486_T"	"BC_HKB0827_1539_T"	"BC_HKB0828_M1542_T"	"BC_HKB0831_1520_T"	"BC_HKB0833_1552_T"	"BC_HKB0838_1563_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB2116_1671_T"	"HKB0008_3006_T"	"HKB0033_3006_T"	"HKB0040_3002_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0070_3002_T"	"HKB0074_3000_T"	"HKB0082_3006_T"	"HKB0088_3000_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"
"MCL1"	6.4235781709818	5.13668357769724	5.17990909001493	5.85872702377863	4.93404464711225	5.22573765346606	7.98976346467233	7.03782146543497	7.57357145348239	5.16591193893569	5.73172632271578	7.24184018356467	5.52356195605701	4.98686597232911	5.64645070648318	5.97888202809642	4.30451104180995	7.56620629346551	7.29764998274399	6.88715967669286	7.46376956972095	7.21868431336217	5.66334461936609	5.69125497865014	6.59081157641784	6.81211311298331	6.15299460549244	5.9136075118231	5.71506967937999	7.11644793551166	5.29902480738432	4.87282875953489	7.43862553808838	7.21800615028443	7.51467460875876	8.00230871799144	7.73856519686154	7.34145210748113	6.78135971352466	7.73165844875181	7.43229133824778	7.72021005053072	7.32075542870647	7.6411124618293	7.91671548146183	7.72226108164229	7.23543987061826	8.10899482412708	7.33413917883824	6.81262657327555	6.75167794568758	7.04176864995163	6.82260269575654	7.4390412883696	7.64925617751731	7.86647530252088	7.0232553523003	7.5682601688014	8.76639639320969	5.64183500155537	5.3212065669699	6.01077983875324	6.05874941233552	5.31251996747495	5.30085587126876	5.83238371654913	5.82298501854688	5.9518675043269	5.68706068833989	5.18150015170461	6.10517519226548	6.51617277552509	6.83731255552431	6.45088131527337	6.33181268381921	6.91981677005279	5.467605550083	6.27258313280605	6.31251996747495	5.14404636961671	5.99684064779537	5.80219321694183	5.23342794374847	5.47670570666818	5.99367436175059	6.02945288578697	5.97682185236069	6.33931557241328	5.30669970727279	8.23926436763136	7.0956080048112	7.77340298969632	7.48454097236277	7.76752238622854	7.30213623462205	7.48679480650665	7.28373660962484	6.85449441815488	7.93887385492602	7.16329744940276	8.06274774578219	7.21839371107679	7.21218021004443	7.56985560833095	8.22549667011225	7.67546311636019	6.95895864285239	7.65126700272935	7.39711840904258	7.54774285452596	7.468338937394	7.08725066461331	7.32138698278217	7.5184564558243	8.13760598424789	8.32602493647025	6.66576226650835	7.25701061820602	8.35124845514114	7.30660857913955	7.37668976451565	7.59036248846375	7.5470487505718	7.0703893278914	7.84121837392389	7.79474076107975	7.0703893278914	7.45869368816353	6.31795521831244	7.13873256972024	7.28243980500639	7.50945832868699	7.05625836513877	7.68439798363757
"LCP1"	4.98686597232911	4.03562390973072	3.3743439890385	3.91169158187234	3.79805051476751	5.04395687279021	6.1261882105221	6.50175758573866	5.28725064325462	4.06781078378962	2.34766565630097	6.75488750216347	5.4541758931858	2.99638874644762	5.98550043030489	4.5668151540109	3.31903981556254	5.70071713282148	6.35772793231062	5.89893387178018	4.88264304936184	6.61500424163503	3.9560566524124	3.59215800212536	4.89093302170554	4.16510798514454	5.03782146543497	4.67919857056692	3.50842865253186	4.66845955691538	5.36282052553426	3.43962313755712	7.61058195849253	7.48026512205446	5.17712050284652	6.4239142676731	5.60584986719498	5.53169336086147	6.24412594328373	5.69097573834328	6.0961353249095	6.70043971814109	5.82629424549963	7.34518344718767	3.93922657772821	6.29351763041742	5.27500704749987	6.05224198118114	5.18189764310839	7.36876834909033	2.02502879449152	4.64904056563445	5.91695427895322	6.11914863981125	8.42676793265554	5.70265754339091	6.12969515665378	8.01463425251559	4.13010717865883	5.37155886261196	4.41953889151378	3.95046841415012	4.30961277245412	2.9126498648972	2.92219784839637	3.65992455840238	3.78135971352466	4.17552460108987	4.06522762277562	3.67581593117227	4.16269343221124	6.05441438791731	5.5915597458278	6.9299093241522	3.28835856219366	4.73552217729654	3.40599235967584	3.37851162325373	3.84197311892718	2.74200621086674	6.28706590735054	3.52230689287139	3.69932952567316	5.89578731646331	3.01256867350306	4.34624777408278	5.02547181462118	5.42592920520858	5.15055967657538	5.98572811041913	5.72710360352266	8.48171871919596	5.78528898070402	6.97269265400426	5.62410089462811	7.10925607307133	7.05169836798623	5.19416586852982	6.48976769700826	6.29755828116819	6.04679660957376	6.04657836662033	6.25719924277855	5.47994190147713	7.06544306293743	5.97636363573276	5.6573541815237	6.04897722522605	5.13381009110603	5.85748342828667	5.84222461287724	4.94673086014031	6.55581615506164	6.02945288578697	8.04756020002569	6.6720009574881	6.65906827484323	5.96324290431883	5.10181813422741	5.38681094647222	5.89433274227769	7.27230318809946	6.03913839390696	5.93168305705981	6.93699120881805	6.31505896631662	5.42492208821069	7.73504824129086	6.04330075436418	6.95814667376272	5.59036248846375	8.2635978485439	6.66718252163475	7.09191135749191
"NOX1"	1.29865831556452	1.06350294230616	1.68706068833989	0.839959587489532	0	1.78659636189081	0.0565835283663675	0	0	2.09085343045111	1.31614574229336	0	0	1.39506279951758	2.32192809488736	2.17312743348066	0.53605290024021	0.0285691521967709	0.124328135002202	0	0	0	1.9297909977186	2.56315813040281	0	0	0.678071905112638	1.11769504266975	0.748461233004036	0	2.10433665981474	0	0	0.0976107966264223	0	0.0285691521967709	0.0143552929770701	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0.176322772640463	0	0	0.356143810225275	0	0	0	0	0	0.641546029087524	0	0.748461233004036	1.11769504266975	0	0.903038270112912	2.02856915219677	0	2.54596836910529	2.59693514238723	2.39506279951758	0	0	1.05658352836637	0	0.7311832415722	1.7311832415722	0	0	1.98913900736823	0	1.56559717585423	0	1.04264433740849	0	0.765534746362977	0	1.01435529297707	0	2.68032435684402	0	0.0285691521967709	0.150559676575381	0	0.0143552929770701	0	0.189033824390017	0	0.0285691521967709	0	0	0	0.0285691521967709	0.0285691521967709	0.20163386116965	0	0	0.0426443374084937	0.0426443374084937	0.0285691521967709	0.0565835283663675	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0
"FAM47A"	0.739848102699327	1.81557542886257	0.495695162624069	1.30451104180995	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0.0565835283663675	0.070389327891398	0	4.83895176695194	0	0	1.16992500144231	0	0	0	0	0	1.8073549220576	0	0	0	0.124328135002202	0.0143552929770701	0	0	0	0	0.0285691521967709	0	0	0	0	0	0.189033824390017	0	0.0285691521967709	0	0	0	0	0	0	0	0	0.0976107966264223	1.02147972741045	0	0	0	0	0	0	0.55581615506164	0	0	0	0	0	1.32768736417605	0	0	0	0	0	0.75702324650746	0.575312330687437	0	0	0	0	2.63226821549951	0	0.55581615506164	0	1.95233356636969	0.16349873228288	0.250961573533219	0.0285691521967709	0.111031312388744	0	0.0565835283663675	0	0	0.16349873228288	0.0976107966264223	0	0	0	0.0565835283663675	0	0.344828496997441	0.0426443374084937	0.0426443374084937	0.070389327891398	0	0.137503523749935	0.0285691521967709	0	0	0.111031312388744	0	0	0	0.0285691521967709	0.0285691521967709	0.111031312388744	0	0	0	0.0976107966264223	0.137503523749935	0	0.0285691521967709	0	0.070389327891398	0.0285691521967709	0.0426443374084937	0	0	0
"C12orf70"	0	0	0	0	0	0	0.286881147788162	0.0976107966264223	0	0	0	0	0	0	0	0	0	0.495695162624069	0.20163386116965	0.0426443374084937	0.070389327891398	0.070389327891398	0	0	0	0	1.13750352374994	0	0	0	0	0	0.333423733725192	0.713695814843359	0.214124805352847	0.150559676575381	0.389566811762726	0.7311832415722	0.137503523749935	0.238786859587116	0.321928094887362	0.0426443374084937	0.7311832415722	0.16349873228288	1.02147972741045	0.0426443374084937	0.111031312388744	0.137503523749935	0.526068811667588	0.214124805352847	0	0	0.0976107966264223	0.137503523749935	0.495695162624069	0.333423733725192	0.422233000683048	0.31034012061215	0.250961573533219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286881147788162	0.0426443374084937	0.189033824390017	0.22650852980868	0.189033824390017	0	0.111031312388744	0.0840642647884745	0.0976107966264223	0.070389327891398	0.214124805352847	0.176322772640463	0.0976107966264223	0.411426245726465	0.31034012061215	0	0.0565835283663675	0	0	0.214124805352847	0.22650852980868	0.0565835283663675	0.124328135002202	0	0.0565835283663675	0.250961573533219	0.22650852980868	0.0976107966264223	0.31034012061215	0.263034405833794	0.75702324650746	0.070389327891398	0	0.070389327891398	0.137503523749935	0.20163386116965	0.137503523749935	0.443606651475615	0.22650852980868	0.0426443374084937	0.321928094887362	0	0	0.0565835283663675	0.0976107966264223
"CCR9"	3.33913738491959	2.75702324650746	2.88947354253111	2.67129337248158	1.58496250072116	1.74846123300404	0	0.0143552929770701	0	3.89044669267991	0.565597175854225	3.30742852519225	2.05658352836637	0.475084882948783	3.22650852980868	0.748461233004036	3.6564963705535	0.0426443374084937	0.070389327891398	0.0426443374084937	0.0426443374084937	0.150559676575381	0.622930350920177	2.52105073690096	0	1.20163386116965	1.95977015521147	4.33127526714661	1.21412480535285	1.94485844580754	1.37295209791183	2.50842865253186	0.0285691521967709	0.0285691521967709	0	0.0285691521967709	0.0143552929770701	0	0.0285691521967709	0.124328135002202	0.111031312388744	0.070389327891398	0	0.0426443374084937	0	0.111031312388744	0.070389327891398	0.070389327891398	0.0840642647884745	0.0285691521967709	0	0	0	0.0426443374084937	0.0840642647884745	0.111031312388744	0.286881147788162	0.0143552929770701	0	1.65535182861255	0.739848102699327	2.47767732756531	0.650764559116902	3.08236196955747	1.81557542886257	1.799087306074	1.77820857639809	1.26303440583379	0.855989697308481	2.02856915219677	2.07724299893246	2.08406426478847	2.51349074558812	2.21723071622067	1.54596836910529	2.19534759832222	0.879705766282288	1.24488705912353	1.28095631383106	2.93922657772821	2.73552217729654	2.3305584000308	1.33913738491959	2.99819550315325	3.07724299893246	1.21412480535285	1.31034012061215	2.40599235967584	4.59275601044103	0.124328135002202	0.0426443374084937	0.53605290024021	0.0285691521967709	0.0426443374084937	0.0565835283663675	0.20163386116965	0	0.0426443374084937	0.0285691521967709	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0	0.150559676575381	0.0565835283663675	0.0565835283663675	0	0.150559676575381	0.0285691521967709	0.0840642647884745	0.0285691521967709	0.0976107966264223	0.0285691521967709	0.0976107966264223	0.137503523749935	0.16349873228288	0.0565835283663675	0.137503523749935	0	0.070389327891398	0.214124805352847	0	0.070389327891398	0.16349873228288	0	0.0285691521967709	0.0565835283663675	0.070389327891398	0.070389327891398	0.16349873228288	0.263034405833794	0.0565835283663675	0
"FXN"	1.55090066464752	0.594548549550354	1.15055967657538	0.321928094887362	0.722466024471091	1.53106949272595	1.37295209791183	2.36457243229586	1.65992455840238	1.4905701304462	1.17632277264046	0.37851162325373	0.20163386116965	0.594548549550354	0	0.526068811667588	0.505890929729957	1.57531233068744	1.57046293102604	1.33913738491959	1.81966818349646	2	0.238786859587116	1.50589092972996	2.15055967657538	0.713695814843359	0.650764559116902	0	0.516015147003665	1.33913738491959	0.22650852980868	0.22650852980868	2.26002565596146	1.52105073690096	1.36737106564853	1.29865831556452	1.70043971814109	1.34482849699744	1.72683121703249	1.81966818349646	1.64616265715789	1.58014548442338	1.84799690655495	2.68481873755322	1.55090066464752	2.03913839390696	1.799087306074	1.80322703643493	1.81557542886257	1.68706068833989	2.15055967657538	1.65992455840238	1.66902676550963	1.53605290024021	1.68706068833989	1.57046293102604	2.08065766334523	1.31034012061215	1.66902676550963	1.55581615506164	0.7311832415722	0.505890929729957	0.632268215499513	0	0	0.400537929583729	1.23266075679027	0.815575428862573	1.78659636189081	0.286881147788162	2.23878685958712	1.84398384404833	0.22650852980868	1.0703893278914	0.879705766282288	0.669026765509631	0.189033824390017	0.286881147788162	0.16349873228288	0.422233000683048	0.6959938131099	0	1.29278174922785	0	0	3.05831649559082	0.855989697308481	0.31034012061215	0.790772037862	1.89530262133331	1.33342373372519	1.63691458035588	1.51601514700366	1.74416109557041	1.72246602447109	1.55581615506164	1.54596836910529	2.20476675065461	2.0036022366802	1.55090066464752	1.94485844580754	1.58976348698498	0.807354922057604	1.11769504266975	1.86789646399265	1.28688114778816	1.8073549220576	1.64616265715789	1.44890095114513	1.34482849699744	1.35049724708413	1.40599235967584	1.32192809488736	1.98185265328974	2.08065766334523	1.52606881166759	1.4905701304462	1.97452931248388	2.02502879449152	1.16992500144231	1.73984810269933	1.77399632511117	1.11769504266975	1.59454854955035	1.4541758931858	1.70929063572336	1.67355642399014	1.40053792958373	1.20789285164133	1.02856915219677	1.26903314645524	1.19534759832222	1.54101915313356	1.68706068833989
"NCRNA00167"	1.76128527336162	2.85598969730848	1.06350294230616	0.722466024471091	1.18903382439002	0.367371065648529	0.238786859587116	0.189033824390017	0.263034405833794	1.87578006306849	1.15704371014558	0	0.464668267003444	2.11769504266975	0.632268215499513	1.9560566524124	1.29865831556452	0.0426443374084937	0.16349873228288	0.333423733725192	0.124328135002202	0.176322772640463	1.51096191927738	1.72683121703249	1.97452931248388	0.632268215499513	1.56559717585423	1.76128527336162	1.70043971814109	0	0	1.87184364850932	0.0565835283663675	0.189033824390017	0.0426443374084937	0.150559676575381	0.124328135002202	0.0840642647884745	0.20163386116965	0.20163386116965	0.298658315564515	0.150559676575381	0.189033824390017	0.124328135002202	0.214124805352847	0.333423733725192	0.124328135002202	0.238786859587116	0.070389327891398	0.20163386116965	0.137503523749935	0.189033824390017	0.16349873228288	0.411426245726465	0.137503523749935	0	0.137503523749935	0.0285691521967709	0.22650852980868	1.71808758396052	2.47767732756531	1.07724299893246	0	0	1.48026512205446	0.879705766282288	0.495695162624069	1.91838623444635	1.77399632511117	0	2.42492208821069	1.36737106564853	2.32481060342048	0.75702324650746	0.622930350920177	0.464668267003444	0.443606651475615	0	0.687060688339892	0	1.58976348698498	1.0071955014042	0.903038270112912	2.31034012061215	2.98185265328974	0.807354922057604	2.1243281350022	3.2585189247113	0.704871964456353	0.356143810225275	0.0426443374084937	0.27500704749987	0.0426443374084937	0.0840642647884745	0.0565835283663675	0.111031312388744	0.22650852980868	0.250961573533219	0.111031312388744	0.124328135002202	0.189033824390017	0.0976107966264223	0.0426443374084937	0.0840642647884745	0.176322772640463	0.0840642647884745	0.070389327891398	0.20163386116965	0.0426443374084937	0.124328135002202	0.111031312388744	0.137503523749935	0.111031312388744	0.189033824390017	0.250961573533219	0.150559676575381	0.0976107966264223	0.0285691521967709	0.411426245726465	0.16349873228288	0.0565835283663675	0.137503523749935	0.189033824390017	0.0285691521967709	0.124328135002202	0	0.176322772640463	0.150559676575381	0.0976107966264223	0.286881147788162	0.189033824390017	0.367371065648529	0.111031312388744	0.16349873228288
"GPR84"	1.15055967657538	0.933572638261024	0	0	1.4541758931858	0.659924558402378	1.72683121703249	0.815575428862573	0.55581615506164	1.06350294230616	0.871843648509318	1.33342373372519	2.86195536414487	1.24488705912353	1.08406426478847	0	1.99638874644762	1.52105073690096	0.739848102699327	0.910732661902913	1.14404636961671	0.722466024471091	1.52105073690096	1.11769504266975	0.992768430768924	0	1	1.56071495447448	1.71369581484336	0	0	1.4905701304462	1.73552217729654	0.948600847493356	2.04264433740849	1.60407132366886	1.4541758931858	1.56559717585423	1.68706068833989	1.75274859140713	2.20789285164133	1.36176835941915	1.85598969730848	2.05311133645956	1.85199883711245	1.51601514700366	0.933572638261024	0.584962500721156	1.48026512205446	0.344828496997441	0	1.02856915219677	0.823749360308273	0.432959407276106	1.98913900736823	1.16349873228288	1.17632277264046	2.06004738366994	0.704871964456353	0	0	1.71369581484336	0.985500430304885	1	0.790772037862	0	2.11769504266975	1.77399632511117	0	0.678071905112638	0	2.30742852519225	1.88752527074159	0	0	0	0	2.52857131887076	0.6959938131099	0	2.08746284125034	3.36876834909033	2.18269229751619	0	0	1.32768736417605	0	0	0	1.80322703643493	0.807354922057604	1.65992455840238	0.839959587489532	1.26303440583379	0.545968369105292	1.41142624572647	1.0703893278914	2.22342254993494	0.575312330687437	1.34482849699744	2.03913839390696	0.150559676575381	1.62293035092018	0.584962500721156	0.565597175854225	0.16349873228288	1.13750352374994	0.176322772640463	0.137503523749935	0.575312330687437	1.71808758396052	0	0.799087306074004	1.59931779369823	2.54101915313356	1.06350294230616	0.831877241191673	0.263034405833794	0.411426245726465	1.47508488294878	0.948600847493356	1.28095631383106	0.263034405833794	0.650764559116902	0.956056652412403	0.704871964456353	0.871843648509318	1.70487196445635	0.650764559116902	1.70043971814109	0.485426827170242	0.910732661902913	1.08406426478847	0.855989697308481
"ERC2"	0	0	0	0	1.84398384404833	0	0.545968369105292	0.22650852980868	0.0976107966264223	0	2.0036022366802	0	0	2.12101540096137	0	0	2.52356195605701	0.137503523749935	0.189033824390017	0.584962500721156	1.50080205305716	0.0976107966264223	0	0.55581615506164	2.20789285164133	1.89141918684608	0	1.38404980679516	0	1.11103131238874	0	0	1.73552217729654	2.27798474729977	0.137503523749935	0.565597175854225	0.839959587489532	0.565597175854225	0.27500704749987	0.0143552929770701	0.20163386116965	0.367371065648529	0.070389327891398	0.55581615506164	0.344828496997441	0.687060688339892	0.250961573533219	0.389566811762726	0.978195629681652	2.13750352374994	0.454175893185802	0.356143810225275	0.613531652917927	1.05658352836637	0.575312330687437	0.389566811762726	0.0840642647884745	0.27500704749987	0.367371065648529	0.27500704749987	0	0	0	0	1.11103131238874	0	0	0	0	0	0	0	0	0.641546029087524	0	0	0	0	0	0	0.985500430304885	0	0.475084882948783	0	0	0.594548549550354	0	0	0	0.678071905112638	0.16349873228288	0.659924558402378	0.22650852980868	0.0840642647884745	0.367371065648529	0.137503523749935	0.37851162325373	0.411426245726465	0.31034012061215	0.0426443374084937	0.286881147788162	0.584962500721156	0.475084882948783	0.0285691521967709	0.0976107966264223	0.137503523749935	0.0976107966264223	0.389566811762726	0.53605290024021	0.124328135002202	0.799087306074004	0.0976107966264223	0.298658315564515	0.400537929583729	0.238786859587116	0.189033824390017	0.070389327891398	1.56559717585423	0.31034012061215	0.137503523749935	0.871843648509318	0.0426443374084937	0.176322772640463	0.526068811667588	0.333423733725192	0.464668267003444	0.238786859587116	0.344828496997441	0.0976107966264223	0.263034405833794	2.88557436437143	0.565597175854225	0.37851162325373	0.0840642647884745
"FOXD4L5"	0	0	0	0	0	0	0	0.0565835283663675	0	3.73768676140986	0	0	0	0	0.782408564927373	0.584962500721156	0	0.263034405833794	0	0.464668267003444	0.0976107966264223	0.0976107966264223	0	0.321928094887362	0	0	0	1.80322703643493	0.575312330687437	0	0.485426827170242	0	0	0	0	0.0426443374084937	0.0285691521967709	0.0426443374084937	0	0	0	0	0	0	0	0.0426443374084937	0	0.0976107966264223	0.214124805352847	0.0285691521967709	0	0.0840642647884745	0	0	0.0426443374084937	0	0	0	0	0	0.321928094887362	0	0.722466024471091	0	0.6959938131099	0	0	0.604071323668861	0.37851162325373	0.16349873228288	0	0	0	0.594548549550354	0.782408564927373	1.11103131238874	0	0	0.485426827170242	0	1.48542682717024	2.1407786557828	0	0	0	0	0	0	1.07724299893246	0	0.0840642647884745	0	0.0426443374084937	0.400537929583729	0	0	0.070389327891398	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0.0285691521967709	0.0426443374084937	0	0	0.0565835283663675	0	0	0	0	0	0	0	0.298658315564515	0	0	0	0	0.0565835283663675	0	0	0	0.111031312388744	0
"KRT6B"	2.82781902461732	1.70929063572336	2.12763327972587	0.871843648509318	3.58616424593091	0.454175893185802	3.71369581484336	1.41142624572647	3.05137210172103	2.83794324189103	0	2.13093086982645	0	1.18903382439002	0	2.22650852980868	0	1.76553474636298	1.4905701304462	0.070389327891398	4.94110631094643	1.46988597627446	1.1243281350022	0.799087306074004	3.4594316186373	4.52919626799939	5.31650781910311	2.31903981556254	4.55887985347544	1.15704371014558	3.17472598770613	0.650764559116902	8.76091949954869	9.56184161992876	3.53231695933277	5.27761287075669	3.20633064787105	4.50080205305716	1.29865831556452	1.23266075679027	7.46295208610836	3.21567859660793	3.76128527336162	3.68706068833989	5.24678809384436	7.31415269388222	9.31698290705338	8.02064665035178	5.83769100042856	0.454175893185802	3.94673086014031	2.15704371014558	1.02147972741045	5.12598165385472	5.12722055048807	3.32768736417605	8.33561366481602	3.86888427302877	4.21567859660793	4.31759350462347	0	1.27500704749987	1.15704371014558	0	1.24488705912353	0	2.38404980679516	3.31179371775365	0	0	2.16992500144231	0.584962500721156	1.33913738491959	0	3.76234881564413	0	2.43295940727611	0	1.26903314645524	0	1.70487196445635	1.55581615506164	0	0	1.67807190511264	0.985500430304885	2.99638874644762	3.94579495674006	0	2.29278174922785	1.93734439215023	1.25701061820602	0.20163386116965	0.704871964456353	3.82984955984469	3.5668151540109	2.89917563048051	3.63343121035563	2.9560566524124	0.0285691521967709	5.4715126480455	3.31034012061215	4.38335869538511	0.6959938131099	0.0285691521967709	3.18745105402733	1.54596836910529	3.41683974191283	1.61823865559545	0.495695162624069	2.46205231879643	0.0976107966264223	0.505890929729957	5.18547014606694	0.0976107966264223	2.76765479823735	1.19534759832222	2.34198574722862	2.44360665147561	2.0703893278914	1.92219784839637	0.31034012061215	0.389566811762726	4.91934008244201	2.02502879449152	2.96162332828694	2.85199883711245	0.773996325111173	3.63226821549951	0.855989697308481	4.9986468390058	0.124328135002202	3.76871365703048	0.765534746362977
"FERMT1"	1.60407132366886	0.815575428862573	0.871843648509318	1.65992455840238	0.443606651475615	0.321928094887362	0.622930350920177	0.286881147788162	1.4276061727819	0.871843648509318	0	1.61823865559545	0.669026765509631	1.38404980679516	0	1.82374936030827	0.956056652412403	1.38404980679516	0.263034405833794	0.298658315564515	2.81352468929781	1.02147972741045	4.24868662687383	0.575312330687437	1.0496307677246	1.62760683812965	1.17632277264046	1.15704371014558	0.970853654340484	0	0.475084882948783	0	2.60644222813161	3.21567859660793	0.333423733725192	1.29865831556452	2.63459326844576	1.04264433740849	2.33913738491959	6.10706011020335	2.49825086752783	1.13750352374994	0.150559676575381	3.6564963705535	0.111031312388744	2.78240856492737	1.80322703643493	3.51475349843975	1.26903314645524	3.01970191444255	2.36457243229586	3.23878685958712	1.24488705912353	3.36457243229586	3.84197311892718	1.85598969730848	4.46270675067016	5.89651405396884	0.956056652412403	1.11769504266975	0	1.9297909977186	1.57531233068744	0	0.839959587489532	0	1.04264433740849	0.422233000683048	0.37851162325373	0	0	1.0071955014042	1.33913738491959	0.37851162325373	2.30742852519225	0	0.941106310946431	0	0	0	0.910732661902913	0.831877241191673	2.02856915219677	2.78031009904338	0	0.713695814843359	1.48026512205446	0	0.622930350920177	0.650764559116902	0.214124805352847	0.400537929583729	0.124328135002202	0.189033824390017	1.14404636961671	0.941106310946431	0.669026765509631	1.83187724119167	2.06004738366994	0.0976107966264223	1.18903382439002	0.565597175854225	1.99276843076892	0.22650852980868	0.124328135002202	0.739848102699327	0.687060688339892	1.0071955014042	1.14404636961671	0.176322772640463	1.51601514700366	0.111031312388744	0.22650852980868	1.91073266190291	0.0426443374084937	0.6959938131099	1.78659636189081	0.887525270741587	0.454175893185802	0.613531652917927	2.63226821549951	0.0426443374084937	0.214124805352847	1.81147103052984	2.93545974780529	1.16349873228288	0.565597175854225	0.432959407276106	1.41683974191283	0.0840642647884745	1.93357263826102	0.111031312388744	1.35049724708413	0.22650852980868
