"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"HKB0004_3006_T"	0.00102079946171303	0.0022094646697325	0.0426765567521045	0.0473783304679517	8.33876994820537e-15	0.0285588059728891	0.197405444038071	0.0280314700084557
"HKB0005_3001_T"	1.23649532094355e-14	1.23649532094355e-14	0.0699135463963545	0.0229535950884658	1.23649532094355e-14	0.0248605712859666	0.168559897000985	0.0347168411218993
"HKB0006_3006_T"	0.00338047846458261	0.00232737409160469	1.45378466899726e-14	0.00038719876138853	1.45378466899726e-14	1.45378466899726e-14	1.45378466899726e-14	0.0382979889311376
"HKB0007_3005_T"	0.167832609228599	0.0209456417067135	0.241836439334312	1.23093906211844e-14	1.23093906211844e-14	0.00370690747048235	0.0482194469378407	0.179768179748553
"HKB0008_3006_T"	0.152227702042401	0.122068281655837	0.00811360255053097	1.22267525164022e-14	1.22267525164022e-14	0.159571731161157	0.0260795827505336	0.147662280145016
"HKB0016_3006_T"	0.148573465587984	0.0498442362641213	0.0397882974800061	1.41047205982543e-14	1.41047205982543e-14	0.0352786797203699	0.0199452642221728	0.14611685499244
"HKB0019_3006_T"	1.31603566176269e-14	0.00769517324702815	0.0827763256404068	0.0585969087203665	1.31603566176269e-14	0.00424300957961283	0.147484711536117	0.151994902455576
"HKB0023_3006_T"	0.0198574389834815	0.00473040026460354	1.51644866881024e-14	0.0352733273613801	1.51644866881024e-14	0.107701824582669	0.18546148537951	0.275607959880144
"HKB0031_3001_T"	0.00155741231403362	0.119151385885967	1.4317197034958e-14	0.0151803420701639	0.00833896096336128	0.172830152788693	0.0256701932368915	0.0122272114097308
"HKB0033_3006_T"	0.000989150209287804	0.11695474368091	2.09498723718364e-14	0.0104358908316151	0.0156746695556168	2.09498723718364e-14	0.0600584293163968	0.17963413623217
"HKB0035_3006_T"	0.130317367222508	1.32009918575107e-14	0.0882108083404984	0.0105799224521986	1.32009918575107e-14	0.032096238728225	0.00775796015094611	0.037156446494318
"HKB0036_3006_T"	0.00441259991624595	0.00640741691585662	0.0881818190182776	0.047612808475405	1.02927969680611e-14	0.00710035908952887	0.175346577624073	0.083245465403925
"HKB0038_3006_T"	0.0267443544675428	0.0305205931735185	0.00813591843330939	0.024214057880744	1.4467974928537e-14	0.0239997019504191	0.147936432752702	0.319924100929574
"HKB0040_3002_T"	0.466063575360109	0.0719154067496821	0.155909627169078	0.0451625944289764	6.36751803648388e-15	0.0632475813383484	0.0121551847450247	0.00661326056124825
"HKB0044_3006_T"	0.137496253352118	7.72457912807091e-15	0.262872191564572	0.00117403681203653	7.72457912807091e-15	8.06082845847588e-06	0.0997604412769113	0.017121919195401
"HKB0049_3006_T"	0.11211483252278	0.176336901248076	1.84546393271751e-14	0.0119010371565502	0.0441384239546641	0.0166462938920434	0.0538446238017923	0.270745499058538
"HKB0050_3005_T"	0.316274622028231	2.76283397694934e-05	0.241971228968621	1.20386813670551e-14	1.20386813670551e-14	0.0954009412719258	0.0226589170438436	0.0105125451823868
"HKB0052_3000_T"	0.273281442459744	0.03317745287114	0.0333706647205226	0.00998935206138273	0.117628967747614	0.0787318575079995	0.0182625312374948	0.10055255936983
"HKB0054_3000_T"	0.496118262063165	0.0576351649667513	0.092005011503749	1.52452398296719e-05	0.0233005821096713	0.0321307375150243	0.0660661099881332	0.0254715633224287
"HKB0056_3002_T"	0.0396852259077997	0.0152170971588662	0.264240208573765	0.148945506946905	9.57890843162448e-15	9.57890843162448e-15	0.0411563428375861	0.0462657581535899
"HKB0064_3004_T"	0.0275642801974517	0.411472705172496	1.42317341229343e-14	0.0374465303262494	0.015602614340186	0.0189447288060083	0.0290379030834228	0.0338019013075948
"HKB0065_3006_T"	0.0580267293114908	9.8279296449285e-15	0.136907581600496	0.0773664864627944	9.8279296449285e-15	0.0370866513436414	0.191020147038883	0.0566458657968564
"HKB0067_3006_T"	0.163427901708447	0.194876359958168	0.0420730632356411	0.0126681727161782	1.66341369211415e-14	0.0550497856696962	1.66341369211415e-14	0.0869330730188559
"HKB0069_3000_T"	0.326422464676029	0.0208956315974124	0.200394403833075	0.00468790027282934	1.00701518391909e-14	0.0541645175208613	0.038258173311132	0.0514368890572796
"HKB0070_3002_T"	0.0507154606370151	0.0969873541998406	1.76489629412174e-14	0.000893778180807135	1.76489629412174e-14	0.017954829364067	0.0438996095475387	1.76489629412174e-14
"HKB0074_3000_T"	0.336897074881031	0.00942460070820137	0.0581431912236753	4.25570941885157e-09	0.06771503270614	0.139225843157659	0.0542965985224109	0.0321000224057364
"HKB0078_3000_T"	0.0207675122693454	0.00485152648681426	1.63265432241426e-14	0.0115474311714057	1.63265432241426e-14	0.0425510183449856	0.068238315929301	0.0781162671615697
"HKB0079_3006_T"	0.189015538186703	0.0420445218945105	0.194580799477339	0.0399871191234548	9.18366216375976e-15	0.0250573521959639	0.0993731525749171	0.0460269473861928
"HKB0080_3006_T"	1.33229043414164e-14	0.00684378005318863	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	1.33229043414164e-14	0.010695493639987
"HKB0082_3006_T"	0.18051637048261	0.0140798999432283	0.388609553342289	9.720913775254e-15	9.720913775254e-15	9.720913775254e-15	0.0769782242152348	0.0504741349752398
"HKB0084_3000_T"	0.082121903808322	1.08690626074059e-14	0.281633195448887	0.0984152093539485	1.08690626074059e-14	0.00574812694690465	0.0742199661472206	0.171459935714181
"HKB0086_3006_T"	1.52319532738755e-14	0.0524104114840425	1.52319532738755e-14	0.023052638866388	1.52319532738755e-14	0.0812620562606784	0.102634207714601	0.129868270618851
"HKB0088_3000_T"	0.0917976221705067	0.0637121332053685	0.0642823737722192	1.39999521475209e-14	1.39999521475209e-14	0.0473624790712052	0.0757889654905679	0.164369457364032
"HKB0089_3001_T"	0.139863669182822	0.101351827216037	0.00604365618646344	0.012765758715896	1.39844875221481e-14	0.0251563113894425	0.00323596376420666	0.0931521036490785
"HKB0091_3001_T"	0.149913494804206	0.023237751901926	0.256675579849299	0.00238630810498587	9.96800228332098e-15	0.154154362226647	0.0432019207507429	0.0234650652423205
"HKB0092_3000_T"	9.87819011522585e-15	9.87819011522585e-15	0.0029565258499839	0.0449009525532608	9.87819011522585e-15	0.0371477320008072	0.0408106254267589	0.0787529033218598
"HKB0094_3006_T"	0.342768981562724	0.00606551900233337	0.118906014797305	1.70751330569815e-14	1.70751330569815e-14	0.0159576864736708	0.00195256827234931	1.70751330569815e-14
"HKB0096_3001_T"	1.3978684496259e-14	0.00357518692378096	1.3978684496259e-14	0.0163929110238491	1.3978684496259e-14	1.3978684496259e-14	1.3978684496259e-14	1.3978684496259e-14
"HKB0097_3000_T"	0.0321215443953155	2.27391671789317e-14	2.27391671789317e-14	0.00187535793336279	2.27391671789317e-14	0.00268396900623165	0.000198552881806652	0.00103324665967403
"HKB0098_3005_T"	0.209036760257649	0.0233992431118072	0.16978771465068	0.0303089776608337	1.30802146805194e-14	0.0428013361146	0.0749707255227995	0.118823738894398
"HKB0100_3006_T"	0.0159853076860186	9.71619923499525e-15	9.71619923499525e-15	0.0263886889872887	9.71619923499525e-15	0.0223978242367169	0.0380955620176803	0.016616498025417
"HKB0101_3000_T"	0.155051896426416	0.015343570381054	4.71219191528188e-12	0.0227768407479108	1.49420473753151e-14	0.0640655585591428	0.0305566235432368	0.205927239865717
"HKB0102_3006_T"	0.0068180738392059	0.0795902452079076	2.26352800960879e-14	0.0303174078313038	0.00535868378903435	0.024323465406872	2.26352800960879e-14	0.0747325348900707
"HKB0104_3006_T"	1.18340589059176e-14	1.18340589059176e-14	1.18340589059176e-14	0.00471024963554346	1.18340589059176e-14	1.18340589059176e-14	1.18340589059176e-14	1.18340589059176e-14
"HKB0106_3006_T"	0.0134138462045918	0.00110918710149308	1.78298988026399e-14	1.78298988026399e-14	1.78298988026399e-14	1.78298988026399e-14	5.6977349012461e-14	0.0209368505711063
"HKB0108_3000_T"	0.0311042662619015	1.30993097977698e-14	1.30993097977698e-14	1.30993097977698e-14	1.30993097977698e-14	1.30993097977698e-14	1.30993097977698e-14	1.30993097977698e-14
"HKB0109_3006_T"	0.00673266371691498	1.67882888106349e-14	0.00377505098514982	1.67882888106349e-14	1.67882888106349e-14	1.67882888106349e-14	1.67882888106349e-14	0.00781079540478973
"HKB0115_3006_T"	0.192780589040129	1.90811034952897e-14	0.13726888700739	1.90811034952897e-14	1.90811034952897e-14	0.0154735490884986	0.0015270816830213	0.0552434636841939
"HKB0120_3000_T"	0.249922323365295	0.14791621758754	0.0223917031768297	0.0279366600068275	0.0920812102860307	0.140521946975661	0.0689688008514797	0.120734065959287
"HKB0121_3006_T"	0.097532284790756	0.011338456694606	0.0969499507272487	0.0199151489345687	1.61089452778135e-14	0.108257032929243	0.0230393527983229	0.0486547135239461
"HKB0123_3006_T"	0.00351269499630047	0.0354046124035483	1.65718817167167e-14	0.0205109102324612	1.65718817167167e-14	1.65718817167167e-14	1.65718817167167e-14	0.0901508934443525
"HKB0124_3003_T"	1.73475643871316e-14	1.73475643871316e-14	1.73475643871316e-14	0.0611409593107186	0.0172675558939319	0.0349534403322342	0.0557321547302327	0.0121167449694872
"HKB0125_3006_T"	1.18735468984333e-14	1.18735468984333e-14	1.18735468984333e-14	0.0299185979419992	1.18735468984333e-14	0.029038496633878	0.074968649538983	0.117906202050692
"HKB0127_3006_T"	0.244608048206	0.0481707816014345	1.54329664200834e-14	1.54329664200834e-14	1.54329664200834e-14	0.12775239597682	0.031936639850192	0.000473719644821407
"HKB0129_3000_T"	0.334481611541886	1.43370024475346e-14	0.021697374109374	0.0172958333322677	0.173368481496443	0.112398223900288	0.0184419577154191	0.010367480139116
"HKB0132_3006_T"	0.106429701032514	1.25836595120081e-14	0.00596255543858708	0.000414628154314682	1.25836595120081e-14	0.0523668801715492	0.0233647576992238	1.25836595120081e-14
"HKB0134_3006_T"	0.0920284925783542	0.0548391892401885	0.185287269755701	0.0377209288907061	8.28129090307887e-15	0.0577341847839824	0.107473133148252	0.0542043908192199
"HKB0137_3002_T"	0.0961051115056103	0.0349786272207756	0.152720247748657	0.00255343276672089	1.43332534581515e-14	0.124721869282975	0.0174144920277321	0.0488596757790054
"HKB0141_3006_T"	0.0318880696549167	0.00134387570754156	2.16228288442328e-14	0.13647798093777	5.70848573771804e-06	0.100738136675995	0.0486386678373072	0.0425260120404141
