"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0023_3000_N"	"HKB0023_3000_N"	"CE6"	5.51152888213842e-06	3.53333175525833e-05	TRUE	"CE6"
"HKB0033_3000_N"	"HKB0033_3000_N"	"CE6"	4.68561577202261e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0035_3000_N"	"HKB0035_3000_N"	"CE6"	0.0022414368464333	0.00420952773598449	TRUE	"CE6"
"HKB0036_3000_N"	"HKB0036_3000_N"	"CE6"	3.69468464522214e-05	0.000123691616383524	TRUE	"CE6"
"HKB0038_3000_N"	"HKB0038_3000_N"	"CE6"	0.00100554674540302	0.00205558670962918	TRUE	"CE6"
"HKB0040_3000_N"	"HKB0040_3000_N"	"CE6"	0.000150367942602089	0.000377849485362402	TRUE	"CE6"
"HKB0044_3000_N"	"HKB0044_3000_N"	"CE6"	0.00326044442226796	0.00579355893495307	TRUE	"CE6"
"HKB0049_3000_N"	"HKB0049_3000_N"	"CE6"	9.81508346443018e-06	5.38240276278651e-05	TRUE	"CE6"
"HKB0050_3000_N"	"HKB0050_3000_N"	"CE6"	2.76702340731525e-05	0.000101457524934893	TRUE	"CE6"
"HKB0052_3004_N"	"HKB0052_3004_N"	"CE6"	4.57696431297991e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0064_3000_N"	"HKB0064_3000_N"	"CE6"	0.000350813772457534	0.000810379814376904	TRUE	"CE6"
"HKB0067_3000_N"	"HKB0067_3000_N"	"CE6"	5.9653653010855e-06	3.53333175525833e-05	TRUE	"CE6"
"HKB0074_3003_N"	"HKB0074_3003_N"	"CE6"	2.89839411916422e-06	2.23176347175645e-05	TRUE	"CE6"
"HKB0094_3000_N"	"HKB0094_3000_N"	"CE6"	8.17578881353429e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0096_3000_N"	"HKB0096_3000_N"	"CE6"	3.50075638382955e-05	0.000118922753627151	TRUE	"CE6"
