"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.37.4133.01A.01R.1100.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.34.5240.01A.01R.1443.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.62.8398.01A.11R.2326.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.55.A48Y.01A.11R.A24H.07"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.62.A470.01A.11R.A24H.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.73.4677.01A.01R.1206.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.44.7671.01A.11R.2066.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.50.5044.01A.21R.1858.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.94.8490.01A.11R.2326.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.63.7023.01A.11R.1949.07"	"TCGA.MP.A4T7.01A.11R.A24X.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.50.5932.01A.11R.1755.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.52.7810.01A.11R.2125.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.75.7031.01A.11R.1949.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.18.3417.01A.01R.1443.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4613.01A.01R.1443.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.18.3406.01A.01R.0980.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.22.5473.01A.01R.1635.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.85.8070.01A.11R.2247.07"	"TCGA.85.A4CL.01A.41R.A26W.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.49.4514.01A.21R.1858.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.66.2795.01A.02R.0980.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.63.5128.01A.01R.1443.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.78.7167.01A.11R.2066.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.05.4397.01A.01R.1206.07"	"TCGA.63.A5MI.01A.12R.A27Q.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.51.4080.01A.01R.1100.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.33.4566.01A.01R.1443.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.NJ.A7XG.01A.12R.A39D.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.NC.A5HD.01A.11R.A26W.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.56.5898.01A.11R.1635.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.58.A46N.01A.11R.A24H.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.NJ.A4YG.01A.22R.A262.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.60.2719.01A.01R.0851.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.NC.A5HG.01A.11R.A26W.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.75.6206.01A.11R.1755.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"TCGA.NC.A5HR.01A.21R.A26W.07"	"TCGA.39.5035.01A.01R.1443.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.70.6723.01A.11R.1820.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.NC.A5HH.01A.11R.A26W.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.78.7147.01A.11R.2039.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.97.7937.01A.11R.2170.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.39.5021.01A.01R.1443.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.18.3411.01A.01R.0980.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.63.A5MU.01A.11R.A26W.07"	"TCGA.51.4079.01A.01R.1100.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.NK.A7XE.01A.12R.A405.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.33.6738.01A.11R.1949.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.33.4586.01A.01R.1443.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.38.4628.01A.01R.1206.07"	"TCGA.85.7710.01A.11R.2125.07"
"S01"	0.00226414675323041	7.39822815680158e-15	0.0267880568552374	9.07440490079238e-15	0.231799108887936	0.0511742057120922	7.20564479299846e-15	9.84015153588669e-15	0.00794140911193125	0.00895437535693577	9.27599146886446e-15	0.276175859103066	0.0554947493877039	0.0783817675547516	0.00147167343028083	0.00984587271714809	0.161040083362603	0.0511260435829599	9.13677045114475e-15	9.31969380879249e-15	0.00180599788592858	0.0720651922140635	0.0589704166508203	8.60890844717912e-15	0.0931946607744522	8.08692276350269e-15	1.02329641223349e-14	6.11082208279624e-15	0.35830322176696	0.167152358849474	8.19734194196987e-15	0.00425066503045338	0.313216832816553	5.89820303393368e-15	0.272929880949389	9.30049148744706e-15	0.181005139345066	9.16812778246967e-15	0.000259992769928828	0.053450632744595	5.71579935178365e-15	1.06070956408665e-14	0.00864760142830983	0.0558161116150708	0.0170328045100245	0.0060593835533696	0.116444531888512	0.185032572697777	1.03826177410721e-14	0.0036250127153981	0.00246252730046859	0.0847244094427443	0.0093420978373264	0.00250009773785458	6.27695179885223e-15	0.00285963940387093	0.0638158174467862	0.095965065902064	0.137906711668805	0.353704813662161	0.000606018922252026	0.167969845738004	0.0254686660022559	0.205700534460979	0.0750597039747765	0.112797868591727	0.0235447077355634	0.0474599143735503	0.0101788509013974	0.242973262236382	7.21257996845172e-15	0.275814974693114	0.201700659908478	0.455631707159827	6.3951984924935e-15	0.0620118071744901	0.0673077313398486	1.00737280717749e-14	0.0809301771772868	0.232894731040424	9.18697991508733e-15	0.0448363964403434	0.171958113833106	0.279904735901305	5.69612859450428e-15	0.0339611994081248	0.0129735337276027	0.0655822296086663	0.155892728941538	0.0285265218941414	1.30285919443371e-14	0.136242233999102	0.0110868635652002	5.72622944153434e-15	8.37048181074375e-15	0.0714951178627425	9.82974312644797e-15	7.99824383170222e-15	0.109483427782651	6.87165626033898e-15	0.0249695941513492	0.0305266043403158	0.00146185987150046	1.06585533123631e-14	0.0449286036266298	0.133898470308556	7.1564478807864e-15	0.0560701546178225	7.62729763631574e-15	0.179729377464727	0.0107685753933339	6.19736563802742e-15	7.18902762092869e-15	6.59378788824714e-15	0.0330373344499404	0.104747729609035	7.22911019066056e-15	0.0266334712316751	6.77607118970759e-15	0.0118177129685704	6.33434219227508e-15	0.0210730738123803	0.0229605738698729	7.68416901868431e-15	0.0109621397336614	7.48416261317353e-15	1.0144047812421e-14	0.0287026738993013	0.0170727479676337	0.192889198309607	0.115303392939945	0.265673269261015	6.33259862795069e-15	0.402874972185257	0.0116484086005197	1.37571008137868e-14	0.0255075849475589	0.0277490200777018	0.171712500820264	9.51532619756961e-15	0.00249839224409405	0.00823228209597224	0.0169547370151738	0.0429383974375014	0.282675985018953	0.00568788498053378	0.265126006890415	0.0397481352291262	0.0767523479759804	0.272729679291956	0.00834872938325216	0.0764289740194646	3.86050833316795e-07	6.93151567904564e-15	0.000954044778406693	0.024216612392223	0.0164328923696328	0.0191829935611052	0.00919480218055035	0.207812981878251	0.0286144008024483	8.74745158786518e-15	7.73792544342791e-15	0.0961645913776074	0.383636248023016	5.0985823322913e-15	1.04830109612467e-14	7.48554825949265e-15	5.86489718005706e-15	0.0635985688130967	9.35908020140995e-15	0.0793106028462819	1.00088409761105e-14	9.50814607908339e-15	0.0916422542697417	0.177301380659028	0.00396741651407126	0.136430078919397	9.36035287630353e-15	0.00189705816218683	0.0240808663490279	0.102732802792037	0.0319651394416602	0.0157228956410634	6.24922209312932e-15	0.101297853953415	7.7608355783025e-15	7.19252132561199e-15	0.0218925151264354	0.0106411227453727	0.0532572729571879	0.206295941008749	0.188505624519711	0.152995047183092	0.180712133285726	0.177776240396308	9.09622660603641e-15	6.62476424580182e-15	0.0988263502826338	0.00513126775426784	7.31286329555266e-15	0.0357979460190123	0.18951047846917	0.0419782025066155	7.37099147004097e-15	0.0933734813411334	0.0941188807143858	0.022390351287168	0.0231799482932736	0.0176218847512305	9.0848217388197e-15	0.0170556775898587	0.25281950496891	8.99979228932727e-15	0.110933433198894	9.91989079283896e-15	0.074715594787873	1.19702999064107e-14	6.95415185139785e-15	0.2043516605867	0.206919187419085	0.0198046179147621	0.032324381758795	0.0791137087773269	9.28633786189117e-15	0.0783502473714439	6.40565723809074e-15	1.06697658309742e-14	0.0905560854556152	0.290356718706563	0.194872416305096	0.000534020563291516	5.72674825411012e-15	0.113270806351537	0.00883896705013279	0.102967379419323	0.0101568373157875	0.181910611821498	0.0941418266689712	0.208621347740437	0.210929992762385	0.0588030097597147	7.58959801885563e-15	9.7936321519714e-15	0.140937149736795	8.51481420719519e-15	0.0197489901000636	8.03556654044058e-07	7.75123160581586e-15	1.07893173221586e-14
"S02"	7.75830623591993e-15	7.39822815680158e-15	8.19078946877212e-15	0.00143048169567222	0.106953643917411	1.16211513738155e-14	7.20564479299846e-15	9.84015153588669e-15	7.17076051184911e-15	7.03092815479992e-15	0.195897996383721	0.0324163429116346	5.77023167993192e-15	0.418077420178779	0.0235393538325391	0.0563306298065654	0.124687438418195	0.00997364411672276	9.13677045114475e-15	9.31969380879249e-15	7.65514290875191e-15	0.688720456368744	6.75538676202083e-15	8.60890844717912e-15	8.39724515043645e-15	8.08692276350269e-15	0.000124206254627681	0.000874374206193742	4.57855533826727e-09	0.0390258524201068	8.19734194196987e-15	0.170696530930628	0.168054699471509	5.89820303393368e-15	0.0710282303560965	0.0115688828655028	1.05243042836625e-14	9.16812778246967e-15	5.80976701878578e-15	0.0925178332560261	5.71579935178365e-15	0.500086437612458	0.177657691585295	0.461197259346005	8.94765642522338e-15	0.0272765739533792	0.577044966175674	0.34441382036986	0.00355516797448878	6.25941207933268e-15	8.02181650636001e-15	7.27234180022699e-15	9.78152100661352e-15	9.92042054678724e-15	6.27695179885223e-15	0.49383582857407	0.562214300341803	0.0490777492098443	0.38505100773848	8.14852109382197e-15	7.94501603803571e-15	6.46981177174542e-15	1.08800242277039e-14	0.0839528972702645	1.05783272802635e-14	0.0127309207332339	0.00146918160673406	9.50705051880293e-15	1.02458277876186e-14	0.0684751897648018	7.21257996845172e-15	6.71394769347588e-15	1.3277808252476e-10	0.0213662131915325	6.3951984924935e-15	0.0114413969296821	1.03892317239611e-14	0.0226939641599618	0.18477607244009	0.213099151847796	9.18697991508733e-15	0.311173720984069	9.45795361252111e-15	0.0996120869121167	5.69612859450428e-15	1.11273017880417e-14	0.000532109040783794	0.617923759571637	0.452429992741882	7.8936847356549e-15	1.30285919443371e-14	0.46600925183746	0.537666371213524	5.72622944153434e-15	8.37048181074375e-15	0.00025702375002732	9.82974312644797e-15	7.99824383170222e-15	0.379632161260299	6.87165626033898e-15	6.99288397015826e-15	1.23728927011679e-14	9.24377619695344e-15	1.06585533123631e-14	0.0111893315739751	8.60623539802295e-15	7.1564478807864e-15	0.679277554875741	7.62729763631574e-15	0.0178674617691137	5.64873789705755e-07	6.19736563802742e-15	0.00382802384236951	0.0247586204966537	1.00786850108659e-14	0.591999108409792	0.000195219725651856	8.85385600309243e-15	6.77607118970759e-15	0.747813598936264	6.33434219227508e-15	0.0814532498196344	1.62407561142504e-05	7.68416901868431e-15	9.38147765528305e-15	7.48416261317353e-15	1.0144047812421e-14	0.215114623347113	0.0904424348313957	0.00860261445018297	0.143708187738579	7.30911765247729e-15	6.33259862795069e-15	0.0481899447359522	7.97230186606568e-15	0.0649795317158228	0.110440937983613	1.09648458174742e-14	0.531297627367818	9.51532619756961e-15	6.49953710077413e-15	0.0131947703074289	0.0154376889529838	0.0196629165446431	6.4702206026311e-12	9.16131079904665e-15	8.31994168645102e-15	0.0357250956362282	0.522666559973415	0.148417856414733	9.37300987125663e-15	1.05938983461719e-14	8.32574489061583e-15	1.091038695876e-13	7.49320437256161e-15	9.84610566170976e-15	9.31282129102457e-15	0.14544147710709	8.84374271678271e-15	6.44407204788062e-15	1.11782547299915e-14	0.390171472629738	0.00464438538584401	0.435713856869299	9.6868334418567e-10	0.578554480638833	0.0257315855121144	7.48554825949265e-15	5.86489718005706e-15	0.548859652591076	9.35908020140995e-15	0.0100273510777476	0.00238790606250396	0.153860735380258	0.627186257698784	0.0133045173162754	1.23454409010388e-14	6.87309729987071e-15	9.36035287630353e-15	7.81379906308814e-15	1.0593999108398e-14	7.61643399774859e-15	0.259964259746349	0.173054906405349	6.24922209312932e-15	1.26928298321646e-14	0.000927712792530266	7.19252132561199e-15	0.0164720383854616	0.079877758754115	7.48574587792515e-15	0.00197612296514973	7.22507534846245e-12	0.0481845086414154	0.00338553707195025	0.082300296675083	9.09622660603641e-15	6.62476424580182e-15	0.165042377481906	7.90698866920529e-15	7.31286329555266e-15	7.06904705006176e-15	0.0214225483571522	0.49835861909032	0.00127853682829278	7.12693305343756e-15	9.56006570744939e-15	0.105140432626852	0.0166917842991973	0.0071745773498025	0.0165019981461951	0.193590105343679	0.0186037411861407	0.0138140886593127	0.392959647595043	9.91989079283896e-15	0.198263190399373	0.298088926117513	6.95415185139785e-15	8.51823866132248e-15	0.0709307727114353	0.0053962979154424	0.141572023615041	0.0383603050913948	9.28633786189117e-15	0.609053183778594	6.40565723809074e-15	0.00014445448929046	0.0670666597946528	1.5232512504516e-08	8.22407170887075e-15	6.18002294423537e-15	5.72674825411012e-15	0.0250368519938347	8.41373772947023e-15	0.557767498634764	6.97025363354904e-15	0.129384194775297	0.318787033983124	0.30433478265246	0.00440931087514199	0.648524574351001	7.58959801885563e-15	0.00201715814749524	0.0609139374866214	7.69100094508855e-09	6.30283828784807e-15	0.447101968195833	0.237707984405718	1.07893173221586e-14
"S03"	3.28635977628528e-09	0.0156392313148724	0.141685380697508	0.0151887926407792	8.78109509159842e-15	0.0728046202486373	7.20564479299846e-15	9.84015153588669e-15	0.00284946616522945	7.03092815479992e-15	9.27599146886446e-15	1.04889252339417e-14	0.0870941601961289	2.96710028996184e-11	1.0049190111759e-14	0.257141368758828	0.0825006347520843	0.430902839558233	9.13677045114475e-15	9.31969380879249e-15	0.013938494307517	0.0209963321650194	0.101144127094621	0.117962684197777	0.101083666126967	8.08692276350269e-15	0.051865334275392	6.11082208279624e-15	0.246508968622978	0.381566324474871	8.19734194196987e-15	1.05916423475818e-14	0.124156483203606	5.89820303393368e-15	8.95505546903865e-15	9.30049148744706e-15	0.171734245604988	0.00224615688301321	5.80976701878578e-15	9.26421919386331e-15	5.71579935178365e-15	5.6561541769148e-15	7.19061903895439e-08	0.0618306190234749	4.04496818349635e-07	0.0717208417515349	0.0269730385544169	0.0395878493335136	0.00570768915079454	6.25941207933268e-15	8.02181650636001e-15	0.370405218846473	9.78152100661352e-15	0.0173430489833216	6.27695179885223e-15	5.82480799019157e-15	4.65925241308155e-15	0.321937551038722	0.0118765522047081	0.0364365233753379	7.94501603803571e-15	0.172028725524968	0.133459526607869	0.177096671903877	0.305213823671831	0.0181610735123189	0.0264060460689549	9.50705051880293e-15	1.02458277876186e-14	0.127781531569504	7.21257996845172e-15	6.71394769347588e-15	0.406615514750285	0.0723648559388531	6.3951984924935e-15	0.144909006190081	0.0898838850499569	1.00737280717749e-14	5.97723726626592e-15	1.64447157397851e-09	9.18697991508733e-15	5.23042345547685e-15	0.226500673079589	0.24027583205531	5.69612859450428e-15	0.075436427028768	0.0500766697862293	4.74152207210998e-15	7.86620654975581e-15	0.0150774347234735	0.0517770785133567	0.025418996938362	6.0971461295389e-15	5.72622944153434e-15	0.0387760313399519	0.022598903901978	0.00306786993286992	0.000973162444638012	0.208609782043779	0.00438774484905313	0.280835454822799	1.23728927011679e-14	0.09352512940302	0.102958292831035	0.397042546288994	0.158875498772903	7.1564478807864e-15	5.05491167695675e-15	7.62729763631574e-15	0.300523339033134	1.16425838630379e-14	0.0824555480038092	7.18902762092869e-15	6.59378788824714e-15	0.0695286140078315	5.22160092719455e-07	0.00406378252146424	0.00703821284260843	0.0709515807378736	4.25606915856933e-15	6.33434219227508e-15	0.0188172573204322	0.133233741608171	0.00120144221994854	9.38147765528305e-15	7.48416261317353e-15	0.120130098893806	9.1891329974103e-15	2.72776897358499e-06	0.00885264961753594	0.0516288142682661	0.0939359857232238	6.33259862795069e-15	0.0133568529507091	5.98577551825012e-09	0.00244537150052929	4.21388481334882e-11	0.179531310747317	0.00927272452487594	9.51532619756961e-15	6.49953710077413e-15	1.05184321029245e-14	0.0438945566379289	8.72223444494146e-15	0.408768607583026	9.16131079904665e-15	0.259445269928268	7.71268324572453e-15	4.25856639051022e-15	0.0656696423806372	0.150917140986284	1.05938983461719e-14	0.235673269433484	0.225793301548303	7.49320437256161e-15	0.165814477897681	0.00907313924171994	0.0637844253552433	0.0178311531429499	0.437886180973246	1.11782547299915e-14	8.74745158786518e-15	0.00112818715923739	0.135257478812648	6.98384677835414e-15	5.0985823322913e-15	1.04830109612467e-14	7.48554825949265e-15	5.86489718005706e-15	4.55833863631882e-15	0.0518451166995146	0.113476158084955	1.00088409761105e-14	7.69621213952226e-05	4.14429699841561e-15	0.340372672238055	1.23454409010388e-14	0.216709267614588	9.36035287630353e-15	7.81379906308814e-15	0.108226221753471	0.218909155321742	7.70938275002997e-15	8.76219143463449e-15	6.24922209312932e-15	1.26928298321646e-14	7.7608355783025e-15	7.19252132561199e-15	7.20066383115207e-15	1.23593313593628e-14	0.0491714524419261	0.0379513002927704	0.258937326676782	0.13883881954769	0.18910574334229	0.257144552702897	9.09622660603641e-15	6.62476424580182e-15	0.0167215709502099	7.90698866920529e-15	0.0145089514816385	0.0666397505672986	0.429914575814354	4.87187594286679e-15	7.37099147004097e-15	0.405485773268458	9.56006570744939e-15	6.9514330858697e-15	0.00564630093238385	1.05158767477771e-14	0.0186371705277129	1.36093791078847e-14	0.155006769376367	8.99979228932727e-15	0.0103721418264824	0.13378724814236	0.0429857117989985	0.063958393434291	0.00528963265201849	0.110809711612521	0.103376303636406	0.198247181727873	2.71839448605919e-05	0.243031311965331	0.0676254757430904	0.00581318292504701	6.40565723809074e-15	0.0142640335041366	1.00428146900681e-14	0.214525120480475	0.00926302941589563	6.18002294423537e-15	0.0350209929785915	0.335282230752454	0.00413976817110757	4.61933993903616e-15	6.97025363354904e-15	0.380978783486257	4.22870251409399e-15	0.0630486522317067	0.107088345046439	4.32518653683776e-15	7.58959801885563e-15	0.00379213409594336	0.0637925086877421	8.51481420719519e-15	0.248569904620983	5.10704108721295e-15	7.75123160581586e-15	0.0243731684252423
